Name,Ideology,Political Position,Founder(s)
Lebanese Kataeb Party,"Anti-communism,Lebanese nationalism,Falangism,Maronite politics,Christian democracy,Social conservatism","Right-wing,far-right,Centre-right","Samy Gemayel,Pierre Gemayel,"
Kurdistan Workers Party,"Plainlist,Anti-capitalism,Kurdish nationalism,Marxism–Leninism,Communism,Democratic confederalism,Jineology,Marxism–Leninism * Libertarian socialism * Anti-capitalism,Communalism,Libertarian socialism",-,"Bahoz Erdal,Murat Karayılan,Sozdar Avesta,Duran Kalkan,Besê Hozat,Abdullah Öcalan POW,Cemîl Bayik,Mustafa Karasu,"
Lebanese Communist Party,"Marxism–Leninism,Communism",Far-left,
Lebanese Forces,"National conservatism,Lebanese nationalism,Christian nationalism,Liberal conservatism",Right-wing,"Samir Geagea,Bachir Gemayel,"
الجبهة اللبنانية lang,"Anti-pan-Arabism,Anti-communism,Lebanese nationalism",-,
Likud,"National liberalism,ubl,Economic liberalism,Zionism,Revisionist Zionism,Liberal conservatism,Right-wing populism,Conservatism","Centre-right,right-wing",
Marada Movement,"Pan-Syrianism,Lebanese nationalism,Christian democracy",Right-wing,"Suleiman Frangieh, Jr.,Suleiman Frangieh,"
March 14 Alliance,"Anti-Syrian Government,Lebanese nationalism",Big tent,
March 8 Alliance,"Arab nationalism,Pro-Syrian government",Big tent,
Society of the Muslim Brothers,"Anti-communism,Salafiyya,Anti-Zionism,Pan-Islamism,Religious conservatism,Sunni Islamism,Social conservatism,Neo-Sufism",Right-wing,
National Liberal Party,"Economic liberalism,National liberalism,Lebanese nationalism",Centre-right,"Camille Dory Chamoun,Robert Khoury,Pierre Geara,Camille Chamoun,"
Palestine Liberation Organization,Palestinian nationalism,-,"Mahmoud Abbas,"
Palestine Liberation Army,"Anti-Zionism,Palestinian nationalism",-,
Palestine Liberation Organization,Palestinian nationalism,-,"Mahmoud Abbas,"
Palestine Liberation Organization,Palestinian nationalism,-,"Mahmoud Abbas,"
Palestinian Liberation Front,Arab nationalism,-,
nobold,"Socialism,Left-wing nationalism,Palestinian nationalism",-,
Peoples Mujahedin Organization,see below,-,"Founders,Ali-Asghar Badizadegan,Mohammad Asgarizadeh,Saeid Mohsen,Ahmad Rezaei,Rasoul Meshkinfam,list collapsed,Mohammad Hanifnejad,"
Lebanese Kataeb Party,"Anti-communism,Lebanese nationalism,Falangism,Maronite politics,Christian democracy,Social conservatism","Right-wing,far-right,Centre-right","Samy Gemayel,Pierre Gemayel,"
Lebanese Kataeb Party,"Anti-communism,Lebanese nationalism,Falangism,Maronite politics,Christian democracy,Social conservatism","Right-wing,far-right,Centre-right","Samy Gemayel,Pierre Gemayel,"
Popular Front for the Liberation of Palestine,"ubl,Marxism–Leninism,Arab nationalism,Revolutionary socialism,One-state solution,Palestinian nationalism,Anti-imperialism,Secularism,Pan-Arabism,Anti-Zionism",Far-left,"Ahmad Saadat,"
Popular Front for the Liberation of Palestine - General Command,"Arab nationalism,Palestinian nationalism",-,"Ahmed Jibril,"
Popular Front for the Liberation of Palestine - General Command,"Arab nationalism,Palestinian nationalism",-,"Ahmed Jibril,"
Popular Resistance Committees,"Palestinianism,Palestinian nationalism,Islamic Fundamentalism,Armed struggle,Anti-Zionism",-,
Progressive Socialist Party,"Social democracy,Democratic socialism,Arab nationalism,Pan-Arabism","Centre,centre-left,Left-wing",
Arab Democratic Party,"Arab nationalism,Pan-Syrianism,Baathism",Left-wing,
Revolutionary Cells,"Feminism,Anti-imperialism,Anti-Zionism,Marxism",-,
Socialist Arab Lebanon Vanguard Party,Baathism,-,
Syrian Social Nationalist Party,"August 2021,ubl,Economic populism,Anti-communism Page needed,Syrian irredentism,Page needed,Antisemitism,officially denied) collapsible list,officially denied),Pan-Syrianism,Social nationalism,Secularism,Syrian nationalism,Anti-Zionism","Syncretic,Left-wing collapsible list","Fares al-Saad,Antoun Saadeh,"
Islamic Unification Movement,Islamism,-,
