Sentence,Label,active,euphimism,details,exaggeration,bragging,litote,repetition,metaphor,he said,apparent denial,apparent concession,blame transfer,other kinds,opinion,irony
"To the extent that federal prosecutors have simply lacked the political will to investigate the CIA , there' s not much Congress can do about it .",assumption,,,,,,,,,,,,,,,
"But legislation could address many of the other factors that allowed the CIA to torture prisoners, destroy evidence and lie to investigators with impunity .",assumption,,,,,,,,,,,,,,,
"There is the CIA's reliance on secret ""torture memos"" written by the Office of Legal Counsel  - which exploited some weaknesses in the legal definition of torture , but depended far more heavily on absurd legal arguments and false representations of fact by the CIA .",assumption,,,,,,,,,,,,,,,
There' s the unethical role of CIA doctors and psychologists in monitoring interrogations .,assumption,,,,,,,,,,,,,,,
"And above all, there remains the CIA's ability to keep all the evidence of its crimes classified .",assumption,,,,,,,,,,,,,,,
"The only explanation the justice department has ever provided for the failure to indict a single CIA officer for torture, war crimes, homicide, destruction of evidence or any of the other crimes the Senate report documents is a bland statement that ""the admissible evidence would not be sufficient to obtain and sustain a conviction beyond a reasonable doubt"" .",testimony,,,,,,,,,,,,,,,
"The justice department refuses to answer questions about the role played by top-secret classification in that decision, or disclose any of the records from the criminal investigations .",anecdote,,,,,,,,,,,,,,,
"But we do know that until the Senate report was released , the Obama administration took the position that every detail of an individual detainee's torture in CIA custody was top secret - including former CIA prisoners' memories of their own treatment, the locations of black sites and the names of all the witnesses .",assumption,,,,,,,,,,,,,,,
"We know the CIA redacted from the report not only the names but even the pseudonyms of nearly every CIA officer and contractor involved in the program, and every country that hosted a black site .",assumption,,,,,,,,,,,,,,,
And we know that every last civil suit brought by CIA torture victims has been dismissed on national security grounds .,assumption,,,,,,,,,,,,,,,
So it's difficult to imagine how a prosecutor could have made a torture case against the CIA without disclosing this evidence - and even harder to imagine the agency allowing its release .,assumption,,,,,,,,,,,,,,,
"In theory, Obama's December 2009 executive order on national security classification should prevent the CIA from using secrecy to place itself beyond the rule of law , since the order specifically forbids classifying information to ""conceal violations of law"" .",testimony,,,,,,,,,,,,,,,
"In practice, though, the prohibition is virtually never enforced .",assumption,,,,,,,,,,,,,,,
"The Obama administration - like the Bush administration before it - takes the position that the CIA's criminal actions can be legitimately classified if they are ""intelligence sources and methods"" .",assumption,,,,,,,,,,,,,,,
"And neither Congress, nor the president, nor the courts have imposed any legal limit on what counts as an intelligence source or method .",assumption,,,,,,,,,,,,,,,
"In practice, the phrase has come to mean ""anything the intelligence community doesn't want you to know."" Congress needs to write a legal definition of ""intelligence sources and methods"" that imposes real limits, and makes clear that it excludes torture and other crimes .",assumption,,,,,,,,,,,,,,,
"Feinstein and her staff deserve tremendous credit for finally breaking through the wall of secrecy that the CIA built around its torture program, in the face of fierce opposition from the agency and the White House .",assumption,,,,,,,,,,,,,,,
"But their investigation did not begin until after the black-site program had already ended, in large part because of leaks to the press .",anecdote,,,,,,,,,,,,,,,
"Despite staffers' scrupulous protection of classified information, the CIA subjected them to unlawful surveillance, tried to have them prosecuted and is still trying to retaliate .",assumption,,,,,,,,,,,,,,,
"Yet the report is still full of unjustified redactions , and the Department of Justice refuses to either reopen its criminal investigations into torture or explain why they were closed in the first place .",assumption,,,,,,,,,,,,,,,
"As it stands right now , torture is a crime - but so is revealing evidence of torture that the CIA wants hidden .",assumption,,,,,,,,,,,,,,,
And it's only the second crime that gets you prosecuted .,assumption,,,,,,,,,,,,,,,
"Yes, let's strengthen the laws against torture .",assumption,,,,,,,,,,,,,,,
But let's also weaken the CIA's power to conceal the evidence .,assumption,,,,,,,,,,,,,,,
But let's also weaken the CIA's power to conceal the evidence .,assumption,,,,,,,,,,,,,,,
It has been a grim start for 2015 as far as European tolerance is concerned .,assumption,,,,,,,,,,,,,,,
Mosques have been attacked in Sweden .,anecdote,,,,,,,,,,,,,,,
"Demonstrations continue in Germany against the ""Islamisation of the west"" .",anecdote,,,,,,,,,,,,,,,
And antisemitism is on the rise .,assumption,,,,,,,,,,,,,,,
We knew something nasty had been unleashed when the European elections last year produced a surge of populist xenophobic parties .,assumption,,,,,,,,,,,,,,,
"Many explanations have been given: the economic crisis, unemployment, the disenfranchisement of the middle classes, anxieties fed by globalisation .",common-ground,,,,,,,,,,,,,,,
Pointing fingers at strangers or supposed intruders has become almost an automatic reflex .,assumption,,,,,,,,,,,,,,,
Anti-immigration parties are having a field day .,assumption,,,,,,,,,,,,,,,
"All our problems come from the outside, from some kind of invasion : that's how the narrative goes .",assumption,,,,,,,,,,,,,,,
In France the novelist Michel Houellebecq is making headlines with a new book imagining the election in 2022 of a Muslim president .,anecdote,,,,,,,,,,,,,,,
"There are , it is true, signs of a democratic revival against racism .",assumption,,,,,,,,,,,,,,,
"In solidarity with Muslims, some citizens have been demonstrating in European cities .",anecdote,,,,,,,,,,,,,,,
"It is perhaps only when the worst happens - arson attacks on mosques, or neo-Nazi groups in the streets  - that people start mobilising for common decency .",assumption,,,,,,,,,,,,,,,
But the trend is worrisome indeed .,assumption,,,,,,,,,,,,,,,
"Europeans seem to be grappling with this one question : how do I live alongside people of a different cultural background, the Other?  In times like this, literature and history can help us see things more clearly .",assumption,,,,,,,,,,,,,,,
"I turned to the Polish writer Ryszard Kapuscinski , who spent most of his life travelling across the developing world and reflecting on how Europeans relate to that huge part of the global population that is non- European, and much poorer than Europeans .",anecdote,,,,,,,,,,,,,,,
"In his book The Other, Kapuscinski  - who had flaws as a journalist, but certainly didn't lack curiosity for different cultures - points out how difficult it is for inhabitants of the old continent to accept that ""the map of the world has changed"" since decolonisation in the 1960s .",testimony,,,,,,,,,,,,,,,
"After dominating the globe for hundreds of years , Europeans still have trouble dealing with the fact that they have become less central, less overpowering .",assumption,,,,,,,,,,,,,,,
"And yet it is a paradox , because Europe produced arguably the first world citizen open to discovering and appreciating foreign cultures : the Greek historian Herodotus, 2,500 years ago .",assumption,,,,,,,,,,,,,,,
I can hear the cringing : how delusional and idealistic it is to bring Herodotus into a 21st-century debate on immigration .,other,,,,,,,,,,,,,,,
"But if roots matter ,then  Europeans must look at themselves more closely .",assumption,,,,,,,,,,,,,,,
"Things were never stable , nor populations fixed in stone .",assumption,,,,,,,,,,,,,,,
Europe is after all the appendix of a great and contrasted landmass - it was always meant to be a crossroads .,common-ground,,,,,,,,,,,,,,,
"We may be baffled by changes , but there were times when we lived with much more diversity in our midst .",assumption,,,,,,,,,,,,,,,
Tony Judt is great to read on this .,assumption,,,,,,,,,,,,,,,
"In his book Postwar, he recalls how ""the European continent was once a complex tapestry of languages, religions, communities, and nations that overlapped .",testimony,,,,,,,,,,,,,,,
"Many of its cities - including some of the smallest, at the intersection of old and new imperial borders, such as Trieste, Sarajevo, Salonica, Czernowitz, Odessa, Vilnius - were truly multicultural, with Catholics, Orthodox, Muslims, Jews and others mingling.""  Judt goes on : ""Between 1914 and 1945, however, this Europe was reduced to ashes."" As a result of war, occupation, border changes, expulsions and genocide, most people ended up living among people like them, in different states .",testimony,,,,,,,,,,,,,,,
"During the cold war, the two halves of Europe lived in ""hermetic national enclaves"" - a world of homogeneity , notes Judt .",testimony,,,,,,,,,,,,,,,
"In the 1960s immigrants arrived in western Europe to provide a workforce, most from former colonies .",anecdote,,,,,,,,,,,,,,,
"Judt calls this a ""new presence of 'others' living in Europe"" , including the millions of Muslims in today's EU .",testimony,,,,,,,,,,,,,,,
"He says this presence ""has outlined not only Europe's discomfort as it is faced with a renewed and growing diversity , but also the ease with which the 'other' dead of Europe's past had crept out of people's minds"" .",testimony,,,,,,,,,,,,,,,
"So there it is : today's intolerance has its roots not just in economic frustration, but in amnesia .",other,,,,,,,,,,,,,,,
"Since 1989 many of Europe's centres have become ""cosmopolitan global cities , whether they like it or not"" , writes Judt .",testimony,,,,,,,,,,,,,,,
"Note the ""whether they like it or not"" .",other,,,,,,,,,,,,,,,
"This book was published 10 years ago, as if in anticipation of what we see today .",assumption,,,,,,,,,,,,,,,
The historian's message is that Europe's future is multicultural .,assumption,,,,,,,,,,,,,,,
Its core values are about being open to the Other .,assumption,,,,,,,,,,,,,,,
The only time Europeans experienced relative demographic homogeneity - that era of supposed tranquillity - was in the wake of Hitler's and Stalin's devastations .,assumption,,,,,,,,,,,,,,,
Such thoughts might not be enough to calm the anti-Muslim crowds .But they could help .,assumption,,,,,,,,,,,,,,,
Such thoughts might not be enough to calm the anti-Muslim crowds .But they could help .,assumption,,,,,,,,,,,,,,,
The prospect of the television election debates elicits from me two incompatible responses .,anecdote,,,,,,,,,,,,,,,
"On the one hand, I believe strongly that the Greens should be invited .",assumption,,,,,,,,,,,,,,,
"If it's on the basis of having a seat in the house , then  they have the same right as Ukip .",assumption,,,,,,,,,,,,,,,
"If it's on the grounds of polling , they have a stronger claim than the Liberal Democrats .",assumption,,,,,,,,,,,,,,,
"If it's on the basis of who Ofcom thinks is a good chap , then Ofcom needs to have a word with itself .",assumption,,,,,,,,,,,,,,,
"I have mild views on how much of a psephological impact the debates have in the first place (some) , and whether it constitutes a democratic deficit not to have them (no) .",assumption,,,,,,,,,,,,,,,
"On the other hand ,  I know how these debates will unfold , if indeed they do : much like a mud wrestle, without the energy, or any prospect of a winner .",assumption,,,,,,,,,,,,,,,
"This election has already turned ""debate"" into a series of ""dids!"" and ""didn'ts!"" .",assumption,,,,,,,,,,,,,,,
"""You caused the crash."" ""Didn't."" ""Did."" ""We reduced the deficit."" ""Didn't."" ""Did."" It is beneath them to perform it, and certainly beneath us all to watch .",other,,,,,,,,,,,,,,,
"Once , finding nothing attractive forthcoming in the political offering , we could turn away to apathy .",assumption,,,,,,,,,,,,,,,
That was the boom-time option .,assumption,,,,,,,,,,,,,,,
"The idea that politicians are identical , and all we've got , once induced a comfortable stupor : now it feels like an anxiety dream .",assumption,,,,,,,,,,,,,,,
Something's Not Right : Insecurity and an Anxious Nation is a report published today by Compass as an overview of the economic situation in which most people find themselves .,assumption,,,,,,,,,,,,,,,
"Its author, Michael Orton, describes a 20-75-5 nation : there' s an intractable fifth of people in poverty, and an unaffected elite numbering approximately 5% , which has held since the 1990s .",testimony,,,,,,,,,,,,,,,
"The difference is that vast space in between, three-quarters of people , who are now beset by named and nameless fears .",testimony,,,,,,,,,,,,,,,
"There are concrete worries about debt, wages, childcare, food, energy and the impossibility of ever being a homeowner , or the inevitability of rent increases for the tenant with no options .",assumption,,,,,,,,,,,,,,,
"To all this is added less measurable , longer-term anxieties : that workplace security is getting weaker , that whatever is bad now will be worse for the next generation ; that the new scale of indebtedness, gargantuan mortgages for those who can get them , student debts running to billions, will result in a new kind of servitude - but to whom? The problem with the status quo , an anti-corporate campaigner said to me once , is that it's not static .",anecdote,,,,,,,,,,,,,,,
It's getting worse .,assumption,,,,,,,,,,,,,,,
Not one of these fears could ever be called unreasonable - the numbers are in .,other,,,,,,,,,,,,,,,
We are clear that real median hourly wages have gone down by 10.2 percent and are now lower than they were in 1997 .,statistics,,,,,,,,,,,,,,,
People on average incomes are at a greater danger of falling into debt than the unemployed .,assumption,,,,,,,,,,,,,,,
"We are now pursuing what Orton calls ""a high living cost, low income, high debt, low savings approach"" .",testimony,,,,,,,,,,,,,,,
"It's rather tactful to call this an ""approach"" .",assumption,,,,,,,,,,,,,,,
"""Hurtling off a cliff"" would work just as well .",assumption,,,,,,,,,,,,,,,
"The prevalence of anxiety as a condition of modern life is undisputed : according to the Office of National Statistics, 20% of people rate their level of anxiety as six or more out of 10, at any one time .",assumption,,,,,,,,,,,,,,,
As many as one in three will suffer from panic attacks at some point in their life .,statistics,,,,,,,,,,,,,,,
"The suggested solutions are usually a triangulation of exercise, drugs and cognitive behavioural therapy .",assumption,,,,,,,,,,,,,,,
"In England last year, 40m prescriptions were issued for antidepressants (which includes anti-anxiety drugs) .",statistics,,,,,,,,,,,,,,,
"CBT and exercise have their disciples, but clearly aren't panaceas .",assumption,,,,,,,,,,,,,,,
"There is no shortage of people - psychologists, sociologists, doctors - looking beyond the frailties of the human mind for wider causes .",assumption,,,,,,,,,,,,,,,
"It is commonplace to cite consumerism and its attendant evils of working too hard to fund it , and missing the things that are important , while you work - and yet however social the problem, the suggested solutions are always individual .",assumption,,,,,,,,,,,,,,,
Stop wanting things ; stop spending ; prioritise ; downsize ; take stock .,assumption,,,,,,,,,,,,,,,
"You can't control the world , so try controlling your negative response to it .",assumption,,,,,,,,,,,,,,,
"It is also commonplace, T-shirt-sloganly common , to say that to be anxious is nothing more than a rational response to precarious conditions ; but what will it take for us to build that into a set of political demands, rather than try to interrogate them away with introspection and positive self-talk?  At the start of a panic attack, you are supposed to commence the catechism : what am I afraid of? How likely is it to happen? Can I do anything to prevent its happening? This questionnaire was devised as a balm , but what if the answers are ""I'm afraid that life will continue to be as hard as it is right now, for my entire life , and be worse for my children."" ""I'm afraid this is extremely likely."" ""I could do everything about it; just not on my own."" What then? Will the leadership debates take on a new piquancy when politics suddenly looks like the only answer?  Norman Tebbit told the Observer that we were going into the ""most awful election campaign that anyone can remember"" .",testimony,,,,,,,,,,,,,,,
"His answer was bread and circuses : ""The public enjoy confrontations,"" he said .",anecdote,,,,,,,,,,,,,,,
"It's so wrong , it's intoxicating .",assumption,,,,,,,,,,,,,,,
"We have taken confrontation, and sometimes enjoyed it, in lieu of a politics that has anything to say about lives as they are mostly lived .",assumption,,,,,,,,,,,,,,,
But it's gone on long enough .,assumption,,,,,,,,,,,,,,,
But it's gone on long enough .,assumption,,,,,,,,,,,,,,,
Campbell Newman's LNP government won power in 2012 in a huge landslide - and polls suggest that most of those gains are expected to be swept away as Queensland politics returns to normality .,anecdote,,,,,,,,,,,,,,,
"In 2012, the sitting Labor government's seats in the parliament were cut savagely from 51 to seven .",anecdote,,,,,,,,,,,,,,,
The LNP opposition increased their seats from 34 to 78 .,anecdote,,,,,,,,,,,,,,,
"In the new parliament, there were seven government members for every member of the opposition and crossbench .",anecdote,,,,,,,,,,,,,,,
"Since 2012 , the LNP has lost two seats to Labor at by-elections , and three other MPs elected for the LNP now sit on the crossbench .",anecdote,,,,,,,,,,,,,,,
"Despite these changes , the LNP has a massive majority and a large swing will be required for a change in government .",assumption,,,,,,,,,,,,,,,
"Because of the huge swing in 2012, it's hard to predict which seats will be the key battlegrounds .",assumption,,,,,,,,,,,,,,,
"In a normal election campaign, you would look first at the seats held by the government by the smallest margins (those seats they came closest to losing at the previous election) .",assumption,,,,,,,,,,,,,,,
"Yet in Queensland, most LNP seats on slim margins are seats traditionally considered to be ""safe"" Labor seats  - if Labor has any chance of taking power , you would expect those seats to fall easily and the election to focus on seats further along the pendulum .",assumption,,,,,,,,,,,,,,,
"At the last election, it was estimated that the LNP won 62.8% of the vote after preferences .",statistics,,,,,,,,,,,,,,,
Recent polls indicate there has been a large swing back to Labor .,statistics,,,,,,,,,,,,,,,
The most recent Newspoll had Labor and the LNP tied on 50% each .,statistics,,,,,,,,,,,,,,,
"These polls suggest that Labor is in with a chance of winning the election , despite the massive number of seats they need to gain .",statistics,,,,,,,,,,,,,,,
"In order to ward off this threat , the LNP will likely need to sacrifice many of its seats in order to focus energy on those seats they can retain .",assumption,,,,,,,,,,,,,,,
Labor needs a uniform swing of approximately 12.5% to win the 36 extra seats they need to win a majority .,statistics,,,,,,,,,,,,,,,
"Current polling suggests that Labor is close to that number , and this suggests that most of the seats that will be key battlegrounds are seats the LNP now holds by margins of 10-15% , but there will be seats that swing more or less than the average .",assumption,,,,,,,,,,,,,,,
"If you focus on those with margins of between 10% and 15% , there are a smattering of seats in Brisbane, as well as four seats on the Gold Coast, one on the Sunshine Coast, one in Townsville and two rural seats near Mackay .",assumption,,,,,,,,,,,,,,,
"In addition ,  the LNP will be fighting on another front against populist and right-wing independents and minor parties .",assumption,,,,,,,,,,,,,,,
The Palmer United Party and Katter's Australian Party will both be running hard .,assumption,,,,,,,,,,,,,,,
"KAP now holds three seats , and there are four independents in the Parliament .",anecdote,,,,,,,,,,,,,,,
"While many seats will be in play , Ashgrove in northern Brisbane - Campbell Newman's seat - is likely to be the focus of the campaign .",assumption,,,,,,,,,,,,,,,
The premier won the seat off Kate Jones in 2012 .,anecdote,,,,,,,,,,,,,,,
Newman had never held a seat in parliament before winning power in 2012 - he made his name as lord mayor of Brisbane .,anecdote,,,,,,,,,,,,,,,
"Jones had been a minister in the Bligh government, and was a high- profile target .",assumption,,,,,,,,,,,,,,,
"In 2012, Newman won Ashgrove with a 12.8% swing, but holds the seat by a margin of only 5.7% - half as big as the expected Labor swing .",statistics,,,,,,,,,,,,,,,
"Local polling suggests that Newman is trailing in local Ashgrove polls behind Jones , who is aiming to win back her former seat .",assumption,,,,,,,,,,,,,,,
"If Newman is seen to be in danger of losing his seat , his party's campaign may struggle to answer questions about who would lead a re-elected LNP government .",assumption,,,,,,,,,,,,,,,
"With Labor needing 5.7 % to win Ashgrove, and 12.5 % to win the overall election , it's entirely conceivable that the government could be re-elected without Newman in the lead .",assumption,,,,,,,,,,,,,,,
That scenario may help Labor reach the vote it needs to win back power .,assumption,,,,,,,,,,,,,,,
That scenario may help Labor reach the vote it needs to win back power .,assumption,,,,,,,,,,,,,,,
An international study released last week has identified that those who work more than 48 hours a week are 11% more likely to drink alcohol at risk levels than those working a standard week .,statistics,,,,,,,,,,,,,,,
"The study was compiled by Finnish researchers , sampling 300,000 subjects across Europe, Australia and North America .",anecdote,,,,,,,,,,,,,,,
Health guidelines suggest that consumption of more than 14 drinks a week for women and 21 drinks for men poses a significant health risk .,statistics,,,,,,,,,,,,,,,
It's no surprise that it's a team of Finnish researchers who are examining the stats around unsafe drinking .,assumption,,,,,,,,,,,,,,,
"Nordic Finland may be a well-known haven of progressive social policy, with an enviable living standard, cradle-to-grave welfare and the world's best education system , but there is one social problem the Finns have not yet licked .",assumption,,,,,,,,,,,,,,,
"Alcohol-related illnesses and incidents (including accidents , violence and suicide in which alcohol has factored) are the most common cause of death for both working age men and women there - and have been so for many years .",statistics,,,,,,,,,,,,,,,
"The study is of useful consideration for Australians, of course - we're afflicted with alcohol problems of our own .",assumption,,,,,,,,,,,,,,,
Australian research released only last July revealed up to 15 people die and more than 430 are admitted to hospital every day in Australia for alcohol-related reasons .,statistics,,,,,,,,,,,,,,,
"That's 5,554 deaths and 157,132 hospital admissions a year, and four times the rate of the road toll .",assumption,,,,,,,,,,,,,,,
That working longer hours has a detrimental effect on an individual's health is well established .,common-ground,,,,,,,,,,,,,,,
"Some have suggested from the results of the Finnish study that alcohol abuse is symptomatic of the ""work hard, play hard"" cultures around professions - especially because workers who shifted into longer-hours jobs during the study were 12% more likely to develop risky drinking habits as a result .",statistics,,,,,,,,,,,,,,,
Some have also suggested that the scarcity of leisure time for people who work long hours may result in habits of using alcohol as a concentrated form of relaxant .,anecdote,,,,,,,,,,,,,,,
"This is the opinion of Cassandra A  Okechukwu, assistant professor at the Harvard School of Public Health who declared of the Finnish findings that ""people are self-medicating"" due to work-life time constraints .",testimony,,,,,,,,,,,,,,,
"Alternatively, Dr Richard Wise, psychologist at Windana Drug and Alcohol Recovery, believes the relationship between work and drinking may be bi- directional .",testimony,,,,,,,,,,,,,,,
"""As stress increases the activity of brain regions responsible for drug seeking and craving , stressful work is often 'addictive' in itself,"" says Wise .",testimony,,,,,,,,,,,,,,,
"""This could be a self-perpetuating cycle - work causes stress , which renders people more prone to addictions to substances and work.""  Significantly ,  the study itself does not claim to prove a causation - leaving open the possibility to discuss the pink elephant that lurks in the room behind all social discussions of problem drinking: the prevalent, if sometimes well-camouflaged, existence of actual alcoholics .",assumption,,,,,,,,,,,,,,,
"Writing in Business Insider , journalist Kevin Loria asked of the study : ""Long hours may not cause dangerous drinking , but why is there a relationship between those two things at all?"" The answer is this : there is not one clear relationship, but potentially several .",assumption,,,,,,,,,,,,,,,
"We know, for example , that those suffering active alcoholism seek out environments that facilitate and camouflage their drinking .",assumption,,,,,,,,,,,,,,,
"Why would the workplace be an exception?  Demanding jobs not only deliver alcoholics out of the worksite just in time for socially-acceptable drinking hours , but the stresses associated with long - hours work provide pretexts aplenty for ""self-medicating"" with booze .",assumption,,,,,,,,,,,,,,,
"Our community continues to excuse the practise of drowning one's sorrows , but forgotten is that active alcoholics often go looking for sorrows in order to drown them .",assumption,,,,,,,,,,,,,,,
"The recovery community calls this phenomenon ""drinking on it"" - it's not hard to find a pretext to slam down some craved-for cold ones at the end of the day if you've just spent 10 hours at a desk .",assumption,,,,,,,,,,,,,,,
"And if there' s one thing an alcoholic can use to deny the extent of their drinking`cond , it's the company of others who share the same problem .",assumption,,,,,,,,,,,,,,,
The common logic of alcohol addiction brings alcoholics together in work environments as much as it does social ones .,assumption,,,,,,,,,,,,,,,
"Yet while study after study identifies alcohol as a health, economic and justice burden on the community, and with the statistical acknowledgement that 3.7 million Australians are currently ""drinking at long-term risky levels"" , we're still - still - struggling to break our social addiction to the old stereotypes of alcoholics being weak-willed, staggering hobos rather than predominantly people with jobs, relationships and families who are sick with a dangerous medical problem .",statistics,,,,,,,,,,,,,,,
"If we choose to believe someone is drinking because they work long hours , we may be ignoring that someone is working long hours because it enables their drinking .",assumption,,,,,,,,,,,,,,,
A failure to identify behaviours symptomatic with alcoholism delays treatment and increases the danger alcoholics pose to themselves and to others .,assumption,,,,,,,,,,,,,,,
"Go back and look at the figures above: 5,500+ deaths and 150,000+ hospital admissions a year are not the result of mere casual tipples .",assumption,,,,,,,,,,,,,,,
They're the stats of widespread abuse that needs more than loose causation and euphemisms to treat it .,assumption,,,,,,,,,,,,,,,
The Finnish study is valuable because it identifies a possible workplace component to the alcohol problem .,assumption,,,,,,,,,,,,,,,
"With 3.7 million Australians presently at risk, the time is now to be realistic that a broader context of alcoholism exists .",assumption,,,,,,,,,,,,,,,
"With 3.7 million Australians presently at risk, the time is now to be realistic that a broader context of alcoholism exists .",assumption,,,,,,,,,,,,,,,
You would be forgiven for thinking that centuries of human society would mean that we were now at a stage where we didn't need help finding another human being whom we could bear to be around and who wanted to get naked with us .,assumption,,,,,,,,,,,,,,,
But you would be mistaken .,assumption,,,,,,,,,,,,,,,
It seems as time progresses we need more and more tactics for tricking someone into a relationship .,assumption,,,,,,,,,,,,,,,
"Some people need pickup artists to help them manipulate women , others think ""science"" will provide the 21st-century love potion .",assumption,,,,,,,,,,,,,,,
"In the latest use of scientists' time, they have found that eating dessert on a date increases the likelihood that there'll be a second date .",anecdote,,,,,,,,,,,,,,,
"This research is flawed on a number of levels, not least because you shouldn't have a meal on a first date: too many food-related potential disasters and not enough alcohol .",assumption,,,,,,,,,,,,,,,
"Plus , if you're on a date with a diabetic , you could be responsible for putting them into a coma , which is likely to hamper the relationship .",assumption,,,,,,,,,,,,,,,
"Instead ,  here are some further helpful dos and don'ts when it comes to dating :.  1) Don't call it dating imp .",other,,,,,,,,,,,,,,,
It's a horrible word and a horrible concept .,assumption,,,,,,,,,,,,,,,
"Instead ,  think of it as going for a drink or to a gallery or whatever, and there being someone else there .",assumption,,,,,,,,,,,,,,,
This relieves the pressure to be attractive and the crushing disappointment that comes with it .,assumption,,,,,,,,,,,,,,,
2) Do get drunk .,assumption,,,,,,,,,,,,,,,
There is no downside to this .,assumption,,,,,,,,,,,,,,,
"OK, there are a couple of downsides .",assumption,,,,,,,,,,,,,,,
"The trick is to get drunk enough to be hilariously funny, intelligent and confident but not so drunk that you lower your standards and impair your ability to get the hell out of there if it becomes boring or creepy .",assumption,,,,,,,,,,,,,,,
"Even if you get so drunk that you dance on a table, start crying or vomit into your lap , you can always blame the booze .",assumption,,,,,,,,,,,,,,,
"If you don't drink , then I'm afraid there is nothing I can do for you : best of luck .",assumption,,,,,,,,,,,,,,,
3) Don't be too self-deprecating .,assumption,,,,,,,,,,,,,,,
"It is a good idea to show that you don't take yourself too seriously and it can be endearing, but keep it to the stories about giving a presentation with your skirt/shirt tucked into your knickers/Y-fronts or when you had a conversation about nobody taking you seriously while you had mustard on your face .",assumption,,,,,,,,,,,,,,,
