Sentence,Label,Portal,active,euphimism,details,exaggeration,bragging,litote,repetition,metaphor,he said,apparent denial,apparent concession,blame transfer,other kinds,opinion,irony
"While we should take these reports with a pinch of salt - NATO commanders accuse their Afghan counterparts of exaggerating - they do point to a simple, stark fact : The insurgency is far from broken , and it will be able to pressure the Afghan state for years to come .",assumption,aljazeera,,,,,,,,,,,,,,,
"In this context, the wave of insurgent attacks might be explained in several ways .",assumption,aljazeera,,,,,,,,,,,,,,,
"First ,  these attacks might be intended to drive a wedge between the Afghan government and its foreign patrons , encouraging the latter to abandon their allies more quickly .",assumption,aljazeera,,,,,,,,,,,,,,,
"As a Taliban spokesman put it bluntly : ""Our objective is to force the foreigners to flee Kabul . Before ,  the foreigners were visible in the provinces . Now that they have limited more of their activities to Kabul , we have also gone to Kabul to target them there."" To some extent, this has worked .",assumption,aljazeera,,,,,,,,,,,,,,,
"Many aid agencies have pulled out their staff, and restricted their movements .",anecdote,aljazeera,,,,,,,,,,,,,,,
Tarnished credibility .,no-unit,aljazeera,,,,,,,,,,,,,,,
"Second ,  the insurgents failed to seriously disrupt either round of this year's Afghan elections , as they had vowed to do , leaving their credibility somewhat tarnished .",assumption,aljazeera,,,,,,,,,,,,,,,
"Prominent attacks - publicised with videos - redress this issue, and project strength at the end of a fighting season .",assumption,aljazeera,,,,,,,,,,,,,,,
They might also be ways of strengthening the insurgency's bargaining position in advance of any peace talks that gain momentum over the next year .,assumption,aljazeera,,,,,,,,,,,,,,,
"Third , the insurgency is not a monolith , and different parts of the Taliban might be responsible for different attacks .",assumption,aljazeera,,,,,,,,,,,,,,,
"The Haqqani Network, a semi- autonomous group with close ties to Pakistani intelligence, has proven most effective at projecting suicide bombings into Kabul .",assumption,aljazeera,,,,,,,,,,,,,,,
"The Haqqanis were blamed for the most deadly atrocity of the past month, the bombing of a volleyball game in which over 50 Afghans were killed .",anecdote,aljazeera,,,,,,,,,,,,,,,
"In the past, moves towards dialogue between the Afghan government and the Taliban have been met with carefully targeted attacks intended less to strengthen bargaining positions than to disrupt such talks altogether .",assumption,aljazeera,,,,,,,,,,,,,,,
"Whatever the explanation , Afghanistan faces an extremely test period .",assumption,aljazeera,,,,,,,,,,,,,,,
"Although the presence of US forces provides a safety net throughout next year , things look more precarious after that .",assumption,aljazeera,,,,,,,,,,,,,,,
"International funding commitments for Afghanistan currently run to 2017 , but that timeline had assumed the insurgency would lose steam by then , allowing ANSF to slim down .",common-ground,aljazeera,,,,,,,,,,,,,,,
"If that isn't possible , the annual $4-6bn bill for the security forces is simply unsustainable .",assumption,aljazeera,,,,,,,,,,,,,,,
"This week's London Conference is an opportunity to secure much greater contributions from regional powers , who have the most at stake if Afghanistan does fall apart once more .",assumption,aljazeera,,,,,,,,,,,,,,,
"China is, for instance, one of the world's largest economies, a direct neighbour of Afghanistan, and a significant investor there .",anecdote,aljazeera,,,,,,,,,,,,,,,
"But if Beijing is unwilling to offer more than a meagre $327m - nearly half the amount Iran pledged in 2012, and far less than Japan or the EU - then how are western governments, with their attention directed to threats from Russia and ISIL , supposed to persuade their own public that, after a decade of war, Afghanistan must stay on financial life-support?",anecdote,aljazeera,,,,,,,,,,,,,,,
"""The London Conference on Afghanistan will provide an opportunity for the government of Afghanistan to set out its commitment to reform,"" states the UK government's official webpage of the upcoming meeting between the new Afghan government and its international donors .",testimony,aljazeera,,,,,,,,,,,,,,,
"The conference is also an opportunity for the international community ""to reaffirm its long-term commitment to supporting Afghanistan's peaceful development"" .",testimony,aljazeera,,,,,,,,,,,,,,,
"Despite the media hype, the London Conference is nothing more than a routine reunion, set by the 2012 Tokyo Mutual Accountability Framework (TMAF) .",assumption,aljazeera,,,,,,,,,,,,,,,
"As part of the agreement, donors pledged support and the Afghan government promised to implement reforms and curb corruption .",anecdote,aljazeera,,,,,,,,,,,,,,,
"The upcoming meeting in the British capital, therefore, is the first in a series of exchanges that will be held every two years, at the ministerial level, between the Afghan and donor governments to assess progress and check TMAF's benchmarks .",anecdote,aljazeera,,,,,,,,,,,,,,,
"Still ,  the December 4 conference has the potential to ease Afghanistan into a stable and increasingly self-sufficient future and render it a reliable global partner for ensuring peace and stability in the region and beyond .",assumption,aljazeera,,,,,,,,,,,,,,,
To utilise this opportunity as more than a routine progress assessment requires a fundamental shift of attitude on both sides .,assumption,aljazeera,,,,,,,,,,,,,,,
"Lack of concrete success in the military, economic development and governance efforts in post - Taliban Afghanistan needs to be sincerely examined and adjustments need to be made .",assumption,aljazeera,,,,,,,,,,,,,,,
"There is multitude of examples in the international community's flawed, if not disingenuous, aid programmes and their monitoring in Afghanistan .",assumption,aljazeera,,,,,,,,,,,,,,,
I was hired by a US consultancy firm to map out the field and offer recommendations for the design of a multimillion dollar governance project .,anecdote,aljazeera,,,,,,,,,,,,,,,
"My report and recommendations , it turned out , were too radical .",anecdote,aljazeera,,,,,,,,,,,,,,,
"""We expected recommendations for cosmetic changes to the ongoing programmes,"" I was told .",anecdote,aljazeera,,,,,,,,,,,,,,,
"""The donor agency does not want to rock the boat.""  On another occasion, I was interviewed by a European consultant for his assessment of the first phase of a programme that had consistently been showcased as a ""success story"" by donors and the Afghan government .",anecdote,aljazeera,,,,,,,,,,,,,,,
"In his three-day field trip to Kabul, he had held meetings with three embassies, the UN, the Afghan head of the implementing agency and me .",anecdote,aljazeera,,,,,,,,,,,,,,,
"Eagerly, I began to point to the flaws of the programme and offered suggestions for improvement .",anecdote,aljazeera,,,,,,,,,,,,,,,
I also offered assistance for site visits .,anecdote,aljazeera,,,,,,,,,,,,,,,
"""Do n't waste your time and mine,"" the septuagenarian consultant told me .",anecdote,aljazeera,,,,,,,,,,,,,,,
"""The donor agency expects a rosy report highlighting only the positive.""  He further clarified that the decision to fund the second phase had already been made and it had more to do with international aid politics, than development logic .",anecdote,aljazeera,,,,,,,,,,,,,,,
"Numbers provide an easy way to illustrate success , especially when seeking international aid budget approval from legislative bodies .",assumption,aljazeera,,,,,,,,,,,,,,,
"While figures indicating Afghanistan's progress towards development are impressive and could not have been achieved without generous international assistance , they conceal a lack of attention to quality .",assumption,aljazeera,,,,,,,,,,,,,,,
About 8 million Afghan children - including over 2.5 million girls - are now in school .,statistics,aljazeera,,,,,,,,,,,,,,,
This is a figure cited regularly as an indication that the programmes are yielding tangible results .,anecdote,aljazeera,,,,,,,,,,,,,,,
The fact that most of them graduate only half-literate is never revealed .,assumption,aljazeera,,,,,,,,,,,,,,,
Here's another feel-good figure : More than 60 percent of the Afghan population now has access to healthcare facilities .,assumption,aljazeera,,,,,,,,,,,,,,,
"The fact that some of those facilities have only received a checkmark because merely a building was constructed and many are staffed only with a nurse, have no diagnostic technology and have terribly anaemic pharmaceutical offerings is often ignored .",assumption,aljazeera,,,,,,,,,,,,,,,
Much has been written about the fact that a hefty portion of the aid money goes back to donor countries because of the donors' insistence to award contracts to their own citizens .,assumption,aljazeera,,,,,,,,,,,,,,,
The contracts move hand to hand and finally local non-governmental agencies are hired to implement projects .,anecdote,aljazeera,,,,,,,,,,,,,,,
"At this point , while at best one-quarter of the original funds remains to be spent on the actual project , quality is grossly compromised and monitoring becomes either too complex or irrelevant .",assumption,aljazeera,,,,,,,,,,,,,,,
The international community has also created an indigenous vehicle for channelling portions of its assistance .,assumption,aljazeera,,,,,,,,,,,,,,,
"Under the guise of ""civil society"", hundreds of Afghan NGOs have been established since 2002 .",assumption,aljazeera,,,,,,,,,,,,,,,
This artificial civil society's lifeline is the donor community in Kabul .,assumption,aljazeera,,,,,,,,,,,,,,,
"Projects and funds are handed to them for implementation and as the closing of fiscal year in donor capitals approaches, generosity in disbursing funds, irrespective of the projects' logic, utility and cost increases .",assumption,aljazeera,,,,,,,,,,,,,,,
Where the funds go .,no-unit,aljazeera,,,,,,,,,,,,,,,
"Granted that when international aid began to pour in , the Afghan state had very small , if any , capacity to absorb and spend it .",assumption,aljazeera,,,,,,,,,,,,,,,
"However ,  after 13 years and millions of dollars spent on public sector capacity building, the bulk of the funds continue to be spent directly by donors and only a little over 20 percent is given to the Afghan government .",statistics,aljazeera,,,,,,,,,,,,,,,
The parallel system and structures offering higher salaries paid in US dollars have lured much of the skilled Afghan human resources .,assumption,aljazeera,,,,,,,,,,,,,,,
"The Afghan administration, thus, has to be grateful to donors for funding training workshops , while in the end, loses its best trained personnel to international organisations, consulting firms and embassies .",assumption,aljazeera,,,,,,,,,,,,,,,
It is often said that rampant Afghan corruption and lack of capacity would result in misuse and waste of donors' funds .,anecdote,aljazeera,,,,,,,,,,,,,,,
"A mere review of reports published by the US oversight agency, Special Inspector General for Afghanistan Reconstruction (SIGAR), reveals the depth and extent of waste, fraud and abuse of the direct US aid to Afghanistan just in reconstruction projects .",statistics,aljazeera,,,,,,,,,,,,,,,
"Similar monitoring of most donors' direct aid will, no doubt, highlight comparable corruption and waste .",assumption,aljazeera,,,,,,,,,,,,,,,
The government of former President Hamid Karzai admittedly failed to launch a genuine fight against corruption .,assumption,aljazeera,,,,,,,,,,,,,,,
Lack of capacity for a governance vision that would make optimum use of international aid was also a defect of the previous leadership .,assumption,aljazeera,,,,,,,,,,,,,,,
"High-level appointments were based not on competence and commitment of individuals, but rather on political affiliations and compromises on the one hand, and submissiveness of a handful of ""yes sir"" entities on the other .",assumption,aljazeera,,,,,,,,,,,,,,,
"Thus ,  both sides - donors and the Afghan government - went on for a decade playing a futile blame game , each accusing the other of corruption and insincerity .",assumption,aljazeera,,,,,,,,,,,,,,,
"Now ,  on the eve of the London Conference, a new page has turned in Afghanistan's leadership and governance .",assumption,aljazeera,,,,,,,,,,,,,,,
The level of optimism among ordinary Afghans is only comparable to the euphoria of the first weeks following the fall of the Taliban regime .,assumption,aljazeera,,,,,,,,,,,,,,,
This renewed domestic hope and confidence in the new leadership must not be let to deflate .,assumption,aljazeera,,,,,,,,,,,,,,,
"Although the new administration has not yet launched its overhauling programme , President Ashraf Ghani's vision and capacity is well known .",assumption,aljazeera,,,,,,,,,,,,,,,
Donors at the London Conference must seize the chance and afford him confidence .,assumption,aljazeera,,,,,,,,,,,,,,,
They must also adapt a fundamentally new approach to dispensing their generous assistance to Afghanistan .,assumption,aljazeera,,,,,,,,,,,,,,,
"A significant funnelling of international aid through the Afghan government (with oversight and accountability benchmarks), a shift of emphasis from quantity to quality, with particular focus on raising the quality of education and finally , a sincere commitment from both sides to the establishment of rule of law will ensure the stability and eventual self-reliance of Afghanistan .",assumption,aljazeera,,,,,,,,,,,,,,,
"A significant funnelling of international aid through the Afghan government (with oversight and accountability benchmarks), a shift of emphasis from quantity to quality, with particular focus on raising the quality of education and finally , a sincere commitment from both sides to the establishment of rule of law will ensure the stability and eventual self-reliance of Afghanistan .",assumption,aljazeera,,,,,,,,,,,,,,,
"After 13 years of the International Security Assistance Force (ISAF), the United States and a number of its NATO partners will start the Resolute Support Mission in Afghanistan .",anecdote,aljazeera,,,,,,,,,,,,,,,
"The number of NATO and US forces is reduced from 140,000 to 13,500  - most of them American - starting January 1 .",anecdote,aljazeera,,,,,,,,,,,,,,,
"How will the new national unity government in Kabul weather the NATO drawdown, despite a resilient insurgency and intensified fighting?  There has been much speculation about the security transition in 2014 in Afghanistan .",assumption,aljazeera,,,,,,,,,,,,,,,
"In 2012, I wrote an Oped for the New York Times , warning that ""Kabul risks political meltdown"" .",anecdote,aljazeera,,,,,,,,,,,,,,,
"Many other analysts have also predicted a sombre year , particularly after the refusal of former President Hamid Karzai to sign the Bilateral Security Agreement (BSA) with the US .",testimony,aljazeera,,,,,,,,,,,,,,,
"However ,  for the time being, we were all proved wrong as the democratic process that began at the Bonn Conference in 2001 , survived , and the country was saved from the brink of a new civil war .",assumption,aljazeera,,,,,,,,,,,,,,,
"Indeed we have achieved important strategic gains in the last few months , starting with the landmark peaceful transfer of political power from one democratically elected leader to another, for the first time in Afghanistan's history .",assumption,aljazeera,,,,,,,,,,,,,,,
"This milestone was made possible by the will of ordinary Afghan people , who twice braved the threat of violence imposed by the Taliban and came out en masse , voting for their candidates of choice .",assumption,aljazeera,,,,,,,,,,,,,,,
"Meanwhile ,  the Taliban has tried hard to undermine the electoral process .",assumption,aljazeera,,,,,,,,,,,,,,,
"By confronting Afghan security forces in 16 different provinces , they wanted to gain significant territory , thus declaring themselves as an alternative governing force in the country .",assumption,aljazeera,,,,,,,,,,,,,,,
"Nevertheless ,  the Afghan security forces have been able to hold ground and push back the insurgent offensives in almost all fronts , which has became a source of pride for the Afghan government and people .",assumption,aljazeera,,,,,,,,,,,,,,,
"This proved wrong skeptics who doubted the capacity of the Afghan security forces to defend their country , which has taken responsibility for security in many provinces since the start of the security transition in 2012 .",anecdote,aljazeera,,,,,,,,,,,,,,,
"Following the inauguration of President Ashraf Ghani and Chief Executive Officer (CEO) Abdullah Abdullah, the BSA was immediately signed, approved by an overwhelming majority of Afghan Members of Parliament .",anecdote,aljazeera,,,,,,,,,,,,,,,
"In addition to the BSA, the signing of the Status of Force Agreement (SOFA) between NATO and the new Afghan government has created a new momentum in the country , while ensuring continued military and financial assistance for the new government .",assumption,aljazeera,,,,,,,,,,,,,,,
"This has inherited an economic crisis, characterised by a fiscal gap resulting from the failures of the previous government .",assumption,aljazeera,,,,,,,,,,,,,,,
Afghanistan's strategic gains are still contingent upon two important factors .,assumption,aljazeera,,,,,,,,,,,,,,,
"Firstly, there must be continued NATO support for the Afghan security forces .",assumption,aljazeera,,,,,,,,,,,,,,,
This is done by building the capacity of the forces ; providing adequate resources such as fire power and particularly air power ; assisting in intelligence gathering ; and logistics support .,assumption,aljazeera,,,,,,,,,,,,,,,
"Without the technical and financial support from the US and NATO countries, the Afghan security forces will not be able to sustain a high rate of casualties against the Taliban .",assumption,aljazeera,,,,,,,,,,,,,,,
"For instance in 2014, an additional 5,000 members of the Afghan security forces were killed either in direct fighting against the Taliban or because of terrorist attacks such as suicide and road side bombings .",statistics,aljazeera,,,,,,,,,,,,,,,
"Secondly, the government has the capacity to reform the security intuitions in order to reduce the level of corruption and eliminate political influence exercised by important power brokers .",assumption,aljazeera,,,,,,,,,,,,,,,
The financing of the Afghan security forces are beyond the Afghan government's resources and is totally dependent on donors' contribution .,assumption,aljazeera,,,,,,,,,,,,,,,
The government could make significant contributions by reducing costs .,assumption,aljazeera,,,,,,,,,,,,,,,
This could be done through reducing corruption and improving management .,assumption,aljazeera,,,,,,,,,,,,,,,
"Meanwhile ,  eliminating political influence in appointments of senior officials and promotion of officers could boost the morale of the security forces and increase their fighting capacity .",assumption,aljazeera,,,,,,,,,,,,,,,
"Alas, despite tremendous strategic gains, the new National Unity Afghan government is struggling with key cabinet appointments, particularly in the security sector , which might have been caused by heavy political influence by power brokers .",assumption,aljazeera,,,,,,,,,,,,,,,
"In fact ,  failures inherited from the previous government such as bad governance, corruption, nepotism and many other symptoms that have caused a growing popular resentment, remain a serious threat to the national unity government .",assumption,aljazeera,,,,,,,,,,,,,,,
"While people admit that improvements in the security and economic sectors require time , they will not tolerate any failure in fixing a dysfunctional government which has failed to address endemic corruption and a culture of impunity .",assumption,aljazeera,,,,,,,,,,,,,,,
"The inability of the new national unity government to implement a comprehensive reform agenda , could undermine the security transition .",assumption,aljazeera,,,,,,,,,,,,,,,
"It is clear to us in Afghanistan that the donor countries will not tolerate anymore corruption and bad governance , which could weaken their financial commitments pledged during the NATO Summit in Wales .",assumption,aljazeera,,,,,,,,,,,,,,,
"Any reduction in funding for the Afghan government could negatively impact the Afghan security forces , while the Taliban will increase their offensive .",assumption,aljazeera,,,,,,,,,,,,,,,
The biggest test for the security transition is ahead of us because the insurgents will further intensify their attacks in the beginning of next spring and we might see a Taliban surge next summer .,assumption,aljazeera,,,,,,,,,,,,,,,
"The Afghan government has little time to prepare itself for the upcoming fighting season , which has impacted the US and NATO military missions in Afghanistan since 2001 .",assumption,aljazeera,,,,,,,,,,,,,,,
"The Afghan government has little time to prepare itself for the upcoming fighting season , which has impacted the US and NATO military missions in Afghanistan since 2001 .",assumption,aljazeera,,,,,,,,,,,,,,,
France's Prime Minister Manuel Valls has said that his country is now at war with radical Islam .,testimony,aljazeera,,,,,,,,,,,,,,,
"""It is a war against terrorism, against jihadism, against radical Islam, against everything that is aimed at breaking fraternity, freedom, solidarity,"" Valls said during a speech on Saturday in Evry, south of Paris .",testimony,aljazeera,,,,,,,,,,,,,,,
"What is ""radical Islam""? Is there such a thing? And how does this affect the ongoing US-led war on extremism - the most tangible form being ISIL who have controlled large segments of land and people in northern Iraq and eastern Syria?  Very few people know that in Islam there are two kinds of ""jihad"" .",assumption,aljazeera,,,,,,,,,,,,,,,
The smaller jihad is the more known - namely the one which reflects the military struggle .,assumption,aljazeera,,,,,,,,,,,,,,,
"But the greater jihad , which is less known , is the internal jihad - or struggle .",assumption,aljazeera,,,,,,,,,,,,,,,
"Few people also know that the Arabic word ""jihad"" is used throughout the Bible as well , although certainly not in the militaristic sense .",assumption,aljazeera,,,,,,,,,,,,,,,
"2 Timothy 4:7 states : ""I have fought the good fight , I have finished the race , I have kept the faith."" The verse in Arabic uses the term ""jihad"" for the word ""fight"" .",assumption,aljazeera,,,,,,,,,,,,,,,
"So whether it is this struggle or the fight for a better world , the militaristic jihad is certainly not a monopoly for Islamists .",assumption,aljazeera,,,,,,,,,,,,,,,
World leaders have correctly pointed out that the fight against ISIL must be waged both on the military and ideological levels .,assumption,aljazeera,,,,,,,,,,,,,,,
But we must be careful about the idea of conflating Islam with radicalism .,assumption,aljazeera,,,,,,,,,,,,,,,
People and ideas might be radical but to target a religion with radicalism adds insult to injury and shifts from the proper focus which is the individually created extremism .,common-ground,aljazeera,,,,,,,,,,,,,,,
"We have heard and seen a lot of the former , but very little has been done to tackle the ideologies behind this extreme group .",assumption,aljazeera,,,,,,,,,,,,,,,
The need to deal with the extreme thoughts connected to this movement was made clear by extremists who carried out the heinous attack against a French satirical newspaper; most likely because of the ideas it has espoused .,assumption,aljazeera,,,,,,,,,,,,,,,
"Whenever violent acts take place , the natural response is to militarily obliterate the group or militia behind it .",common-ground,aljazeera,,,,,,,,,,,,,,,
There might be a good case for a military response but it would be a totally counterproductive effort if it is not accompanied by an equally strong ideological response .,assumption,aljazeera,,,,,,,,,,,,,,,
It might be possible to kill the holders of some of these ideas but everyone knows that you can't kill ideas by using force .,common-ground,aljazeera,,,,,,,,,,,,,,,
Extremist ideology must be tackled in a number of ways .,assumption,aljazeera,,,,,,,,,,,,,,,
The most important ideological response to extremism is the need to show that there are better and more effective ways to deal with the various issues that make extremism popular .,assumption,aljazeera,,,,,,,,,,,,,,,
This includes the need to introduce real political reform in the countries that are of importance to the people that follow these extreme leaders .,assumption,aljazeera,,,,,,,,,,,,,,,
It applies both to the Arab countries whose autocratic leadership has left a large sector of the public without any say in what happens to them .,assumption,aljazeera,,,,,,,,,,,,,,,
But it also applies to the need to continue stemming racism and Islamophobia from many of the western countries where some homegrown terrorism seems to be gaining strength .,assumption,aljazeera,,,,,,,,,,,,,,,
"The issue is complicated by murderous acts like those committed in Paris , which tend to increase rather than decrease anti-Islamic sentiments .",assumption,aljazeera,,,,,,,,,,,,,,,
"In addition to political changes that must be introduced , Arab and Muslim intellectuals and leaders must end their self-imposed silence and speak out clearly and unabashedly .",assumption,aljazeera,,,,,,,,,,,,,,,
There is no reason to keep repeating that these actions are not a reflection of true Islam .,assumption,aljazeera,,,,,,,,,,,,,,,
What is needed is for writers and thinkers to produce concrete and practical thoughts and ideas that can be applicable to the 21st century .,assumption,aljazeera,,,,,,,,,,,,,,,
Today's Arab and Muslim youth need to find alternative role models and alternative ideas that they can adopt in this struggle of ideas that extremists are working tirelessly to defend - and to which the other side is only paying lip service .,assumption,aljazeera,,,,,,,,,,,,,,,
"One successful idea called takween (seen on the local Jordanian website, ammannet.net) has seen an increase in audience as reformed independent writers from various backgrounds (culture, media, women's issues and workers rights) are producing daily analysis that is the anti-thesis to ISIL's ideology .",assumption,aljazeera,,,,,,,,,,,,,,,
The individual efforts by some intellectuals is to be supported but much more is necessary .,assumption,aljazeera,,,,,,,,,,,,,,,
"The anti-extremism military effort can't yield positive results if there isn't a combined change in how ruling governments conduct their affairs (especially on the economic empowerment front) , and how to tackle every one of the extremists' thoughts, ideas and practices .",assumption,aljazeera,,,,,,,,,,,,,,,
"The battle will be long and cumbersome but in order to win , all people of good will must work together to produce what is good and uplifting for a better future for all .",assumption,aljazeera,,,,,,,,,,,,,,,
"The battle will be long and cumbersome but in order to win , all people of good will must work together to produce what is good and uplifting for a better future for all .",assumption,aljazeera,,,,,,,,,,,,,,,
"Many have simply lost faith in global climate negotiations summits such as COP 20 starting in Lima, Peru today .",assumption,aljazeera,,,,,,,,,,,,,,,
"But while the process has not delivered the climate action we need , I would argue that this year key things have changed and that we must continue to demand from our politicians that they listen and act and, by that, safeguard the future of next and current generations on this planet .",assumption,aljazeera,,,,,,,,,,,,,,,
"As nations start the latest global round of climate change negotiations in Lima, Peru today , it is easy to be cynical .",assumption,aljazeera,,,,,,,,,,,,,,,
"Because in the 20 plus years that our governments have been meeting for global climate meetings , emissions have risen more than ever before .",assumption,aljazeera,,,,,,,,,,,,,,,
This year is already predicted to be the warmest since records began .,anecdote,aljazeera,,,,,,,,,,,,,,,
"And yet ,  this is a moment of opportunity .",assumption,aljazeera,,,,,,,,,,,,,,,
"Because things are changing , really changing .",assumption,aljazeera,,,,,,,,,,,,,,,
"In the climate movement, in the economy and in the politics of climate change .",no-unit,aljazeera,,,,,,,,,,,,,,,
"Today, the climate movement all over the world is reenergised .",assumption,aljazeera,,,,,,,,,,,,,,,
The largest ever climate march in New York this September was a powerful symbol for the global rise of a movement that is stopping pipelines and coal plants as well as forcing renewable energy solutions all over the world .,assumption,aljazeera,,,,,,,,,,,,,,,
"In economics , too ,  we live in a different world : Cost-effective, sensible renewable energy solutions have made quantum leaps .",assumption,aljazeera,,,,,,,,,,,,,,,
Renewables are the most economical solution for new power capacity in an ever-increasing number of countries .,assumption,aljazeera,,,,,,,,,,,,,,,
"One hundred percent of new power capacity added in the United States in August was renewable and countries such as Denmark and Germany are producing new ""clean electricity"" records almost every month .",anecdote,aljazeera,,,,,,,,,,,,,,,
China is installing as much solar this year as the US has ever done .,assumption,aljazeera,,,,,,,,,,,,,,,
Bilateral agreement .,no-unit,aljazeera,,,,,,,,,,,,,,,
"The recent bilateral agreement between China and the United States to cut pollution and drive cleaner energy sources is, in addition, a sign of changing politics .",assumption,aljazeera,,,,,,,,,,,,,,,
"Many said that such an agreement was impossible , that it would not happen in our lifetimes .",assumption,aljazeera,,,,,,,,,,,,,,,
And yet it did .,anecdote,aljazeera,,,,,,,,,,,,,,,
Only a fool would argue that the action proposed by these two biggest polluters and biggest economies is enough .,assumption,aljazeera,,,,,,,,,,,,,,,
"It is not enough , experts have already told us , to protect our planet from a potential three or four degree Celsius rise in global temperatures - with all the disastrous consequences that would have for us, our children, and our ecosystems .",assumption,aljazeera,,,,,,,,,,,,,,,
"But the fact that the world's biggest emitters have come together moves us from a ""you go first"" mentality , that had paralysed global climate negotiations for years, to an ""I will act if you will act"" frame .",assumption,aljazeera,,,,,,,,,,,,,,,
"At Lima , others must now follow and our pressure must speed up the action .",assumption,aljazeera,,,,,,,,,,,,,,,
"Because we need an agreement to tackle the climate crisis , which meets the needs of the many not the few .",assumption,aljazeera,,,,,,,,,,,,,,,
"Because it is ordinary people living in flood and drought prone areas, dependent for their livelihoods on fishing, farming and forests, or living in cities engulfed by pollution or in housing that cannot protect them from storms or heat waves , who are bearing the brunt of our experiment with the world's climate .",assumption,aljazeera,,,,,,,,,,,,,,,
"The United Nations  - where every country has a voice, not matter how small, relatively poor or vulnerable - are still the only place where we can hope to secure action that takes full account of these peoples' rights .",assumption,aljazeera,,,,,,,,,,,,,,,
"At Lima, we need governments to make sure that the direction is right .",assumption,aljazeera,,,,,,,,,,,,,,,
They need to agree a goal of ending carbon pollution and deliver renewable energy for all people on this planet by 2050 .,assumption,aljazeera,,,,,,,,,,,,,,,
"And in Lima, governments must agree to renew and review their targets every five years, starting in 2025 .",assumption,aljazeera,,,,,,,,,,,,,,,
"Not just to cut pollution, but to help the vulnerable adapt to climate change, and to support poorer countries to provide sustainable energy access for their populations .",assumption,aljazeera,,,,,,,,,,,,,,,
"Every government should already be preparing their ""intended nationally determined contribution"" - their offer towards the Paris deal .",assumption,aljazeera,,,,,,,,,,,,,,,
"Before March 2015 we must see concrete, ambitious plans from each and every one of the world's polluting nations  - to phase out coal and nuclear power , to install solar and wind energy , to increase energy efficiency, to build cleaner and more livable cities, and to protect forests .",assumption,aljazeera,,,,,,,,,,,,,,,
