الاسم,الإيديولوجيا,الموقف السياسي,المؤسس (المؤسسون)
الحزب الوطني الليبرالي (مترجمه),"ليبرالية اقتصادية ,ليبرالية وطنية ,قومية لبنانية ",وسط اليمين ,"كميل دوري شمعون (مترجمه),روبرت خوري (مترجمه),بيير جيرا (مترجمه),كميل شمعون "
منظمة التحرير الفلسطينية ,قومية فلسطينية ,-,
جيش التحرير الفلسطيني ,"معاداة الصهيونية ,قومية فلسطينية ",-,
منظمة التحرير الفلسطينية ,قومية فلسطينية ,-,
منظمة التحرير الفلسطينية ,قومية فلسطينية ,-,
جبهة التحرير الفلسطينية ,قومية عربية ,-,
نبيل (مترجمه),"اشتراكية ,قومية يسارية ,قومية فلسطينية ",-,
منظمة مجاهدي خلق (مترجمه),انظر أدناه (مترجمه),-,"المؤسسون (مترجمه),محمد أصغر زاده (مترجمه),انهارت القائمة (مترجمه)"
حزب الكتائب اللبنانية (مترجمه),"معاداة الشيوعية ,قومية لبنانية ,الكتائب (مترجمه),مارونية سياسية ,ديمقراطية مسيحية ,محافظة اجتماعية ","يمينية ,يمين متطرف ,وسط اليمين ","سامي الجميل ,بيار الجميل "
حزب الكتائب اللبنانية (مترجمه),"معاداة الشيوعية ,قومية لبنانية ,الكتائب (مترجمه),مارونية سياسية ,ديمقراطية مسيحية ,محافظة اجتماعية ","يمينية ,يمين متطرف ,وسط اليمين ","سامي الجميل ,بيار الجميل "
الجبهة الشعبية لتحرير فلسطين ,"ماركسية لينينية ,قومية عربية ,اشتراكية ثورية ,حل الدولة الواحدة ,قومية فلسطينية ,معاداة الاستعمارية ,علمانية ,وحدة عربية ,معاداة الصهيونية ",أقصى اليسار ,
الجبهة الشعبية لتحرير فلسطين – القيادة العامة ,"قومية عربية ,قومية فلسطينية ",-,أحمد جبريل 
الجبهة الشعبية لتحرير فلسطين – القيادة العامة ,"قومية عربية ,قومية فلسطينية ",-,أحمد جبريل 
لجان المقاومة الشعبية ,"الفلسطينية (مترجمه),قومية فلسطينية ,الأصولية الإسلامية (مترجمه),حرب ,معاداة الصهيونية ",-,
الحزب التقدمي الاشتراكي ,"ديمقراطية اجتماعية ,الاشتراكية الديمقراطية ,قومية عربية ,وحدة عربية ","مركز (توضيح) ,اليسار المعتدل ,يسارية ",
الحزب العربي الديمقراطي (مترجمه),"قومية عربية ,بلاد الشام ,بعثية ",يسارية ,
الخلايا الثورية (مترجمه),"نسوية ,معاداة الاستعمارية ,معاداة الصهيونية ,ماركسية ",-,
حزب طليعة لبنان العربي الاشتراكي ,بعثية ,-,
الحزب السوري القومي الاجتماعي ,"2021 ,قومية اقتصادية ,مطلوب صفحة مناهضة للشيوعية (مترجمه),الوحدوية السورية (مترجمه),الصفحة المطلوبة (مترجمه),معاداة السامية ,رفض رسميًا) قائمة قابلة للطي (مترجمه),نفى رسميا) (مترجمه),بلاد الشام ,قومية يسارية ,علمانية ,القومية السورية ,معاداة الصهيونية ","توفيق بين الأديان ,قائمة يسارية قابلة للطي (مترجمه)",
حركة التوحيد الإسلامي ,إسلاموية ,-,
