Sentence,Label,Year
"Fourth, we call on the families of justice to return  to the Palace of Justice for the availability of Tripoli  that it held the parties, national, progressive and Palestinian resistance,  north, its periodic meeting yesterday, the office of the defectors,  the leadership of the movement of the opening of the  Beddawi camp, and discussed the political, security and social conditions  of the north, especially Lebanon, and the parties and the  resistance issued a statement expressed its increasing concern about the  fighting.The camps, Beirut, the ranks, and the Lebanese -Palestinian -Syrian  Alliance, which is confronted with the last phase benefits, the  withdrawal of the Zionist forces, the land of the south",Cause_Specific,1985
"He pointed out that the Israeli withdrawal in southern Lebanon,  the Palestinian and Lebanese resistance, forced the enemy to withdraw  Lebanon",Main_Consequence,1985
"Sources close to the Presidential Palace say that the beautiful  president expects Israel to withdraw completely the south and that  its previous date is late, perhaps for bargaining and extortion,  and Lebanon carried the acceptance of security arrangements.",Distant_Anecdotal,1985
"In its parallel to move Lebanon, in the direction of  Saudi Arabia, the results are inevitably reaped by the southern  resistance operations, which target the security belt, especially the suicide  bomber, from which the Palestinian Liberation Organization will come out  and its resistance and will support Syria's position constantly confirm  that the resistance has dropped the May agreement and imposed  the Israeli withdrawal a large part of the Lebanese lands",Main_Consequence,1985
We ask the liberation of the south because a comprehensive  resistance can liberate it.,Distant_Expectations_Consequences,1985
"He said that the committee also discussed American statements that  could hold the talks of a Jordanian -Palestinian delegation and  the organized budget and support the Palestinian resistance, the West  Bank and the Gaza Abu Dhabi Sector.Tunisia was transferred to  southern Lebanon and Iraq",Distant_Expectations_Consequences,1985
"After meeting his assistants, the attacks were condemned, the Palestinian  camps are exposed to Lebanon, which aims to enable the  Zionist enemy to guarantee the borders of southern Lebanon and  lock the door of the south in front of the  Palestinian resistance.",Cause_Specific,1985
"The preachers welcomed the return of Tripoli and the port  to the atmosphere of democracy, and they condemned the domination  that took control of it before and warned the exploiters  of the circumstances, wearing the patriotism, praising the Syrian role  Lebanon, demanding the support of the southern national resistance and  the generalization of the Zahleh and Tripoli model, and they  carried the approach of Mr. Yasser Arafat, the head of  the Palestinian Liberation Committee, and accused him of standing behind  the events of Tripoli.Representative of the head of the government,  lawyer, Bassam Al -Dai, to celebrate because they allowed the  field",Cause_General,1985
"The first time is not to let people know details  that took place in the past, the organizational official of  the movement of Amal Al -South, Mr. Mahmoud Fakih is  a justification for the accumulation of weapons, Sidon camps, calling  for sending weapons to the national resistance forehead.On the time  the situation is heading the national solution, and the convergence  parties work to find the homeland continuously fighting, separating and  working",Distant_Expectations_Consequences,1985
"Until his uprising Beirut, the defeat of the Marines and  the escape were conditions for the arrogant Zionist enemy, entered  Lebanon to impose the American national and national forces, the  launch of the national resistance southern Lebanon, and it came  normalized for the uprisings of the Palestinian revolution.",Distant_Historical,1985
"We are not against any national solution, and we will  work to return the unit.You must honor and enhance that  some work to distort the position of the Palestinian rifle",Distant_Expectations_Consequences,1985
"Gaza Abu Amal and the martyrs of the Lebanese national  resistance, Bilal Fahs, and Sanaa Muhaidali, and Sheikh Ragheb Harb  and Wafa Lula and others, the central embryos of the  liberation war on the eighteenth anniversary of the establishment of  the front, the Palestinian women's organization, Al -Bedawi camp, held  an exhibition of handicraftAl -Nahar yesterday launched the men of  the resistance, the attacks of the Israeli army, the South  Lebanon Army, and the attacks continued the villages of Nabatiyeh  and the eastern Bekaa",Distant_Historical,1985
"As for Gemayel and Soskov, they offered the relations and  his Turkish visit to Moscow soon, separating the south, the  situation of the rest of the Lebanese regions was the  past, and before the war ignited Lebanon in general, the  Palestinian resistance was launching its attacks by the Israeli villages,  and the shells fired in its inhabitants starting the south  and bearing the southerners due to displacement, displacement, killing and  destruction",Distant_Historical,1985
"Washib, the delegation of the movement, and Zara Jumblatt, met  the fighting between Amal and the Palestinians, to be Ghalib  Omglu, the Secretary -General of the Lebanese Communist Party, Mr.  George Hawi, called for an end to the bloody fighting  movement, and the Palestinian fighters are only the Israeli enemy,  the Palestinian enemy, the Palestinian revolution, and the national resistance.",Distant_Expectations_Consequences,1986
"We have proven and we will continue to prove the  conquest of South Lebanon, and for the Lebanese national resistance,  and we are with you the way to greet you,  brothers, the occupied Palestinian land",Distant_Evaluation,1986
"It was noted that the Israeli war boats on the  anniversary of the pictures of the daytime, a rhetoric party,  the flood of the camp, was attended by the fans  of the camps, and the Secretary of the Popular Committee  was given the camp, Mr. Hussein Abu Abbash, alive the  Lebanese cohesion of the south.The party distributed the women's union  aid and gifts of the Palestinian resistance men",Distant_Evaluation,1986
"The case, and with the fulfillment of the aspirations of  the people, has any attack, but we also accept that  the Palestinian citizen assaults the Lebanese citizen and that Lebanon  creates a situation that contributes to hitting the Lebanese national  resistance and isolating the southern region of the rest of  the Lebanese regions.To end the occupation and liberate the Lebanese  and Palestinian land",Distant_Expectations_Consequences,1986
"This explained the movements of Yasser Arafat and his statements  clearly revealed his involvement of a plan that struck the  Islamic ranks, forgetting the Palestinian issue, in detail, detailing and  creative in doing what Israel can do, whether to help  its help continues to disrupt the implementation of international decisions  related to the south or the argument of stabbing the  Lebanese national resistance, its back is a way to try  to hit the national and Islamic row supporting the supporter",Distant_Evaluation,1986
"Here, the focus must be facts that occurred before the  invasion, including that Israel prevented the deployment of the Lebanese  army the south and contributed to the facilitation of receiving  the south to the Palestinian resistance.Disturbance",Cause_General,1986
"The struggle was alone, the life of Al -Arbiya carrying  the ladder by the show, a lesson, and other strikes,  and the head of the Defense Committee saw Democratic Liberties,  lawyer, Sinan BragThe work blocks the basic case, which is  Israel's occupation of southern Lebanon and the practices of Israel  occupied lands, which obscures our Palestinian judicial cause and the  heroism of the southern national resistance.",Distant_Evaluation,1986
"Simple weapons can participate in the hope of the south  and the Lebanese Arabs, so his speech was mentioned by  the Egyptians and the Syrians who carried out the operations  of the southern Arabs and fighting it, fighting the Arabs,  so they want to question the Syrian role Lebanon accused  Damascus that its goals were the Palestinian resistance judiciary Lebanon",Distant_Evaluation,1986
"Otherwise, how does the author agree with the Palestinian Liberation  Organization, the public apology to Israel is a statement issued  by, the occupation of the southern villages, the assault of  the people of Lebanon, Beirut, the suburban, the south, the  killing of innocent people, the destruction of buildings, housing houses,  and the attempt of its sources of national decision and  the southern resistance road, the south, meaning that the transfer  of its crime commit Lebanon that political permits and legitimate  positionsAnd the private ends can change or change the reality",Distant_Evaluation,1986
"He praised the role of the Lebanese national resistance, the  Palestinian resistance fighter, to defeat the Israeli occupation, the land  of the south",Distant_Evaluation,1986
"The experience was fought by Lebanon, the Palestinian resistance movement,  before the south, and Beirut, a harsh experience.",Distant_Evaluation,1986
"He criticized the absence of national responsibility, the projects of  Arab consensus, which were spectators hitting the Palestinian and Lebanese  resistance, the southern days of the occupation.",Distant_Evaluation,1986
"And ensuring that he played the national and nationalist and  anti -Zionist role and for the Apricia, and his brother  struggled and the weapon between us and you and in  the Lebanese national forces and the revolutionary Palestinian resistance factions  and between the masses of the Lebanese and Palestinian brotherly  peoples.And the sacrifice, Beirut and all the fronts",Distant_Evaluation,1986
"The work organization to the practitioner of opposition to the  prevailing forces, the national regions, the communist work organization, Lebanon,  said that the neighborhood of the Lebanese national resistance forehead  and the upgrading of the level of true frontal work  remained a struggling policy for the practices of the prevailing  forces, the southern regions, and the call for the establishment  of the relationship Lebanese and Palestinian resistance and stopping the  civil war is a rule of awareness of the military  body and the pluralThe call to the secular democratic solutions  for sectarian liquidation and the practice of a policy opposition  to the prevailing forces.",Distant_Expectations_Consequences,1986
The national areas constitute an integrated national struggle program,Distant_Expectations_Consequences,1986
"He stressed the necessity of an understanding of Israel's strategy  for the region, the world, and regional problems made by  Israel, considering that the slogan of crawling Jerusalem is fictional,  as Jerusalem is a symbol of the Palestinian Islamic liquidation  and that the slogan represents a strategic slogan and that  the qualitative operations of the resistance were able to reveal  the Israeli mask because it dropped the theory of the  South Lebanon Army",Distant_Evaluation,1986
"The necessity was necessary to fulfill the meeting in order  to stimulate the fateful cohesion of the Lebanese national and  Palestinian forces, the rule of participation.",Distant_Expectations_Consequences,1986
"The south, the contractors, have their destiny, the Arab and  international day, liquidating the Palestinian resistance, Lebanon, and ensuring the  security of Israel.",Distant_Expectations_Consequences,1986
"The success of the camp war plan will lead to  the establishment of the beams and the semi -final paralyzing  of the comprehensive resistance against Israel with all its frameworks  and bodies, and the Lebanese Muslims will make a foci  of the conflict, so they will be around them and  will spend a great aspect of the Palestinian issue and  in any hope of reform the political correction of the  Lebanese Muslims another side and will now make the south  towards the comprehensive resistance with all its frameworks and paperThe  Lebanese Muslims extended a paper for the barrier the international  and regional conflict to settle the Palestinian issue in the  interest of the Israelis",Distant_Evaluation,1986
"And because America is behind the type success, and because  Israel and its median, the Lebanese, Palestinian and Arab natural  reactions are now the southern resistance is now taking place  to the positions of belief, the reasons for the moderate  Peres, the view of America and the successful Israel",Distant_Evaluation,1986
The launch of a statement and its third and half  -back.,Main,1986
"The leadership of the Popular Front for the Liberation of  Palestine brought the Lebanese military army, the first assistant, the  first and the corporal, and a soldier to the headquarters  of the Nasserite Popular Organization.",Main,1986
"These were the Palestinian resistance factions.The military south was the  reception of the detained soldiers, Deputy Secretary -General of the  Organization",Main,1986
"As they see the Palestinian judiciary and the heroic resistance  in southern Lebanon, and they shed on you after the  tears of crocodiles",Distant_Evaluation,1986
What is required is to unify the line of the  Lebanese resistance Palestinian resistance in order to liberate the south  and Palestine,Distant_Expectations_Consequences,1986
"Because Lebanon is a permanent war, only eleven years old,  and this week is a week of anniversary.Beirut is a  year that resists it, and what war can describe the  process of a monkey when an Israeli commando is picked  up.",Distant_Evaluation,1986
"He said that the Palestinian revolution, under the leadership of  the Palestinian National Rescue Jebel, whose ranks appeared and surrendered,  tightened the hands of the heroes of the national resistance  Lebanon and wish to achieve more victories because the Zionist  enemy destroyed in southern Lebanon constitutes a victory for the  Lebanese people only a victory for the Arab nation and  its central issue.And the monopoly of medicine, foodstuffs, livelihood and  gasoline",Distant_Expectations_Consequences,1986
"She went on to the difference at the time of  the exchange of random bombing sometimes, but the economy of  the shells, due to the high prices and the occurrence  of everyone's crises, the second episode, the regional storm, its  clouds southern, the points of the meeting of the entire  hurricanes are all the Israeli crisis to the Palestinian tragedy  to the Iranian revolution to the Lebanese resistance to the  Syrian worries",Distant_Evaluation,1986
"The resistance and the inventors serve the feet of the  south’s movement, and on the ground, the target is prevented  by the Lebanese and Palestinian masses, with the shooting of  one of its rational patrols, makes us clear that the  truth is that it is incompatibleEntering the material materials of  their father and continuous provocations",Main_Consequence,1986
"He added that the legitimacy position is clear to return  to the Palestinian resistance to the south, and that the  state is responsible for the security of the Lebanese and  Palestinian citizen, and that the security of the camps must  be the protection of the Lebanese authority when its sovereignty  extends the land",Distant_Expectations_Consequences,1986
"Sixth, not to return to the year and support for  the Lebanese national resistance, and consider the support as a  duty and the right of all Lebanese as an exception,  considering the liberation of the land of the south and  in the western Bekaa and in what other spots are  occupied by a Lebanese duty to distinguish or sort the  basis of the region or the sects of the doctrine  of the party, as the inch of the land of  Lebanon was expensive for all Lebanese Jumma and announces the  meetingFinally, the Palestinian issue is the case of all Arabs,  Muslim and Christian officials, whether whether its sanctity can be  lost, the Jerusalem will affect what events are transient.",Distant_Expectations_Consequences,1986
"The declared cities, the parties to the conflict, the concern,  Lebanon, is only a shrew, a tourist who arranges their  conditions in cooperation with Israel and invalidates the Muslims and  the Palestinians when the circumstances allow and the Palestinian Youth  Organization sowed Sidon a statement that confirmed the necessity of  unifying the energies of the Lebanese and Palestinian national forces  under the banner of the Lebanese national resistance forehead to  confront the Zionist enemy and the tools of the southern  organizationIts national line rejects all the humiliating betrayals of our  people",Distant_Expectations_Consequences,1986
"The Lebanese national resistance is supported by Syria, which is  fighting the battle to liberate the south.",Distant_Evaluation,1986
"Sidon The Islamic Group issued a statement that the Arab  rulers stated that the intensification of the operations of Islamic  resistance southern Lebanese and in the depth of the occupied  Palestinian territories, so that our Israeli enemy was confused and  expedited his departure",Distant_Expectations_Consequences,1986
"His characteristic accused a murmur movement, Amal, an association with  the Zionist enemy, that they blew up the situation around  the southern camps in order to empty the south, withdraw  the Palestinian weapons, and their displacement becomes the south.The Palestinian  National Time revives the loyal efforts made by Syria with  steadfastness and the Lebanese national forces to stop the bleeding",Distant_Evaluation,1986
"As long as Israel occupies the land of the south  and the occupied land is still intending, so let him  recover the land except for the actions of the resistance  after it has now refused to implement any decision of  the international decisions in general through the year and until  the present day.",Distant_Evaluation,1986
"And if the confrontation ends with Abu Ammar, Lebanon, then  the final withdrawal of Syria will be the Palestinian paper  and he will choose completely independently the path of peaceful  settlement wants, and if the confrontation ends with the overcoming  of President Assad, then he will hold the entire Palestinian  heat and his influential speech returned, i.e.",Distant_Expectations_Consequences,1986
"peaceful settlement, and the possibility becomes the search form the  form of security arrangements that allow IsraelSouth withdrawal and an  end to the resistance work and for the activity of  the fundamentalists",Distant_Expectations_Consequences,1986
"Golding was informed of the Lebanese authority that Israel wants  security arrangements and guarantees to protect its northern borders, a  clouds and the ""security belt"" abandoned because it is afraid  that the actions of the resistance will continue against it  after its withdrawal, especially after the resistance line entered a  new element of Hezbollah and the Palestinian guerrillas returned to  the region and these stop their operations, liberating the southThey  will continue to reach the liberation of Palestinian lands and  Jerusalem",Main_Consequence,1986
"This is due to several considerations, the most prominent of  which is Israel, hitting the Palestinian presence, the south has  come to growth.The desire will be during the highlighting of  the terrorist face of Lebanon and its depiction of a  scene of numbers for terrorists and their perpetrator to the  world during persuading the world to give Israel a green  light to strike terrorism to rid torment, pain and danger",Distant_Expectations_Consequences,1986
"South Yemen described it as a major catastrophe and confirmed  the solidarity of the Palestinian mass revolutionary, Atwi to sell  the Anana Frishi south -day tapes, the South Lebanese army  recruits were wounded by an attack by the men of  the resistance, one of its locations, Beit Lev Bint Jbeil",Main_Consequence,1986
"We appreciate the right to appreciate the sacrifices made by  the brother Syria to support the national forces and progressive  Lebanon, especially its support for the Lebanese national resistance from  the Israeli enemy in southern Lebanon, as well as its  political support for the Lebanese, the basisThe abhorrent Israeli occupation  is the initial degree, the existing, strong, Lebanese, Palestinian and  steadfast coalition coalition, and the steadfast Syria.",Distant_Evaluation,1986
"The committee holds a meeting before this afternoon to discuss  ways to spread the strength of the chapter, which will  be led by Captain Walid Sukayeh, which is expected to  start moving at noon.The Israeli invasion, and Beirut came out  with an American agreement, for permission to be able to  exploit the name of Palestine, the resistance, and the camps.",Main,1986
"This we find the features of the scene now and  I was asked for the current situation in the south.The  destruction and burning of the land, Lebanon, despite the struggles",Cause_Specific,1986
"The reality of the West Bank, and in southern Lebanon,  the reality crosses the spirit of the nation and its  aspirations for pride and liberation, is met by another reality  and the foot of the war.",Cause_General,1986
"Fourth, the security of the south is responsible for the  movement of Amal, in recognition of the Lebanese and Palestinian  national forces, their acceptance and movement of hope, requested the  delivery of the used weapons to clashes to the rescue  forest factions and did not ask for themselves.",Distant_Evaluation,1986
"The Palestinian resistance is the forefront of the Mujahideen to  confront Israel, the resistance, it started to operate the policy  of the Arab world and the internal policy of Lebanon.",Distant_Evaluation,1986
"It proves that the current customary role is liquidating the  Mujahid Al -South resistance, liquidating the Palestinian resistance and turning  it into a personal guards of Arafat and limiting its  role to destroy the victory.",Cause_General,1986
"Khaddam Haqqa, the leadership of the Palestinian resistance, represented by  the legitimacy of us in the rescue front, the Lebanese  national parties, and Minister Nabih Berri, as the interest of  the rescue front for the movement of hope is the  bombing of the southern situation as long as the issue  ended Beirut.",Distant_Evaluation,1986
"What do you think of you, and we will answer  the place of the Palestinian, Islamic and Lebanese resistance, the  land of the south and inside Palestine",Distant_Anecdotal,1986
"The source added that the Palestinian camps, Beirut, witnessed a  new bloody permit process, during which the Amal gangs and  the Sidis Major General, with the assistance of the Israeli  intelligence, were able to implement the agreement of the conclusion  of the American envoy Richard Murphy and the right of  the parties to protect the borders of Israel and its  security, the broken resistance of the south and the Bekaa,  the end of the Palestinian presence, Lebanon.",Distant_Anecdotal,1986
"He praised the cooperation of the Lebanese and Palestinian resistance,  the great south of our southern, and said that cooperation  is the largest response to the last period of time.",Distant_Evaluation,1986
"The south had the east of the war Makiya, the  number of hospitals, Lebanon, water, the number of family and  the Machata, the number of dispensaries, the Machata, doctors, and  the legal statements with water, the teachers, the students, the  official and private schools, the number of schools.The glorious of  the Palestinian resistance and participated",Main_Consequence,1986
"The series of attacks launches our resisting people, the foregoing  areas surrounding the camps.The battle of self -defense was fighting  to drop the targets of “the bright conspiracy, the forefront  of which was the resistance against the occupation and the  sinking of the Palestinian issue",Cause_General,1986
"The battle that is now southern Lebanon, especially or the  outskirts of Beirut, is seen by the Marason, fighting the  Palestinian resistance and the Lebanese national resistance.",Cause_Specific,1987
"They returned the armed Palestinians to Lebanon, but they returned  to Syria through the Palestinian national rescue hide",Distant_Evaluation,1987
"And Rai helps keep it burning is a destructive factor  for the Lebanese, the resistance, the south, the Palestinians, and  the Palestinian cause",Distant_Evaluation,1987
"The Deputy Secretary of the Popular Organization, Dr. Osama Saad  and the pillars of the leadership of the Democratic Front,  was attended by the Sidon area, members of the popular  committee, and the leaders of the Palestinian resistance, the south,  and representatives of local and humanitarian social and humanitarian institutions,  and Saad gave a word in which we are pleased  to open the exhibition memories of the divorce of the  democratic forehead, especially at the time when the two Lebanese  national issues pass throughAnd Palestinian conditions are difficult",Distant_Historical,1987
"The nature of the distinguished relations Syria and Lebanon said  Syria and Lebanon one people and the decisions of the  struggle of the repentance of Lebanon and the presentation of  its assistant, President Assad confirmed the unlimited standing of Syria  alongside the poor national resistance.Al -Assad makes us persevere that  the Palestinian issue must win, even though Raf Yasser Arafat,  the American Zionist conspiracy, and the systems of compassion and  the response.",Distant_Expectations_Consequences,1987
"In Baalbek, a member of the leadership of the organizer,  Mr. Salim Al -Haq, spoke a political symposium that held  the headquarters of his people, the anniversary and the goals.Government,  Mr. Rashid Karami, Minister of Labor, President Salim Al -Hoss,  political and social activities, the Bekaa, South and Beirut, the  popular committees.",,1987
"Mahmoud Al -Hajj, the head of his municipality, Eng.",,1987
"Ahmed Al -Kalsh, Mufti of Sidon and the south, Sheikh  Muhammad Salim Jalaluddin, Al -Aqsi MP, the Maronite Maronite Monsignor  Hanna Al -Helou, Deputy Secretary -GeneralDr.",,1987
"Ghassan Hammoud, representatives of the Lebanese national parties, and the  Palestinian resistance factions.",,1987
"The south and popular delegations were the reception, the political  official of the Baath Organization, the South, Eng.",Distant_Evaluation,1987
"Muhammad Muhammadiyah, the commander of the thunderbolt forces, Lebanon, Lt.  Col. Abu Al -Fawz, and the military official, the pioneering  Baath forces, Ahmed Al -Adasi, and the commander of the  security secret, Captain Shadah.",Distant_Evaluation,1987
"Mon Monday, the Fadlallah, the ministerial meetings do not contribute  to the arrival of a Palestinian solution to the West  Bank, the Great Jordan, and that its hideout in the  Golan will open, and that the forehead strengthens inside Palestine  to integrate the south of the south.",Distant_Expectations_Consequences,1987
"The Palestinians did it, they did the land of Lebanon  and at the expense of its people, especially in the  south, and they used to defend the resistance and the  Israelis.",Distant_Evaluation,1987
"The escalation of the Israeli raids considered the Palestinian camps  and villages attacks an open attempt to achieve the remarkable  rising, the processes",Cause_General,1987
"The decision comes at the time of Israel continues to  launch its brutal attacks by Lebanese villages and the southern  Palestinian camps, and the indicators warn of their extensive aggression  against brotherly Lebanon to strike the escalating national resistance and  its liquidation.The Palestinian National and the pressure, the south and  the capital, the capital, communicating and interconnected the starting points,  goals and conflicts",Main_Consequence,1987
"On the fifth anniversary of the ugliest operation, Lebanon is  exposed to its capital, BeirutThe general Zionist aims to strike  the aggressive presence of the resistance and the disturbance of  the balance of the strong in the interest of the  hostile forces, and the cultivation of Elias and the despair  of the souls of our people to pass the plots  of liquidation",Distant_Expectations_Consequences,1987
"The resistance was held, unfortunately, the ceasefire of the Israeli  enemy, the Israeli enemy, concluded another agreement that represented the  withdrawal of the Palestine Liberation Organization and its fighters, Lebanon,  and after the Mujahideen believer resistance was covered in southern  Lebanon, the military vacuum",Main_Consequence,1987
