category,sub-category
,Category:Lebanese military personnel
All articles containing potentially dated statements,
2020s in Iran,Category:2020s establishments in Iran
,Category:2020 in Iran
,Category:2021 in Iran
,Category:2022 in Iran
,Category:2020s controversies in Iran
,Category:2020s elections in Iran
,Category:Presidency of Ebrahim Raisi
,Category:2020s in Iranian sport
,Category:2020s in Tehran
,Category:2020s in Iranian television
1980s in Iran,Category:1980s disestablishments in Iran
,Category:1980s establishments in Iran
,Category:1980 in Iran
,Category:1981 in Iran
,Category:1982 in Iran
,Category:1983 in Iran
,Category:1984 in Iran
,Category:1985 in Iran
,Category:1986 in Iran
,Category:1987 in Iran
,Category:1988 in Iran
,Category:1989 in Iran
,Category:1980s crimes in Iran
,Category:1980s elections in Iran
,Category:Iran–Iraq War
,Category:1980s in Iranian sport
,Category:1980s in Tehran
,Category:1980s in Iranian television
Civil wars of the Industrial era,Category:Afghan Civil War (1928–1929)
,Category:American Civil War
,Category:Boshin War
,Category:Chilean Civil War of 1829–30
,Category:Chilean Civil War of 1891
,Category:Federal War
,Category:Finnish Civil War
,Category:First Carlist War
,Category:First Samoan Civil War
,Category:Irish Civil War
,Category:Reform War
,Category:Russian Civil War
,Category:Second Samoan Civil War
,Category:Spanish Civil War
,Category:Taiping Heavenly Kingdom
,Category:Third Carlist War
People from South Lebanon,Category:People from Nabatieh Governorate
,Category:People from South Governorate
Military of Iran,Category:Iranian military-related lists
,Category:Armed Forces of the Islamic Republic of Iran
,Category:Islamic Republic of Iran Army
,Category:Bilateral military relations of Iran
,Category:Chiefs of Staff of the Iranian Armed Forces
,Category:Counter-terrorism in Iran
,Category:Defence companies of Iran
,Category:Military equipment of Iran
,Category:Military exercises involving Iran
,Category:Military history of Iran
,Category:Iranian missile development program
,Category:Islamic Revolutionary Guard Corps
,Category:Military locations of Iran
,Category:Military aviation in Iran
,Category:Military awards and decorations of Iran
,Category:Military Branch Insignia of Iran
,Category:Military education and training in Iran
,Category:Military installations of Iran
,Category:Military police of Iran
,Category:Military ranks of Iran
,Category:Military units and formations of Iran
,Category:Ministry of Defence and Armed Forces Logistics of the Islamic Republic of Iran
,Category:Military operations involving Iran
,Category:Paramilitary organisations based in Iran
,Category:Iranian military personnel
,Category:Iranian military stubs
Films directed by Andrew Niccol,
2000s political films,Category:2000s political comedy films
,Category:2000s political comedy-drama films
,Category:2000s political drama films
,Category:2000s feminist films
,Category:2000s political thriller films
Wikipedia articles in need of updating from November 2020,
Articles with dead external links from July 2019,
Anti-ISIL factions in Syria,Category:Asa'ib Ahl al-Haq
,Category:Badr Organization
,Category:Free Syrian Army
,Category:Hezbollah
,Category:International Freedom Battalion
,Category:Islamic Revolutionary Guard Corps
,Category:Kurdistan Workers' Party
,Category:People's Protection Units
,Category:Popular Mobilization Forces
,Category:Quds Force
,Category:Syrian Democratic Forces
,Category:Tahrir al-Sham
Lists of military equipment,Category:Lists of military aircraft
,Category:Lists of gun cartridges
,Category:Lists of aircraft carriers
,Category:Lists of armies (land forces) equipment
,Category:Lists of former military equipment
,Category:Lists of NATO reporting names
,Category:Lists of currently active military vehicles
,Category:Lists of military vehicles
,Category:Lists of weapons
,Category:Lists of World War II military equipment
Articles with Curlie links,
CS1: Julian–Gregorian uncertainty,
Articles with unsourced statements from June 2013,
Liberal parties in Lebanon,Category:Armenian Democratic Liberal Party
,Category:Future Movement
Template film date with 1 release date,
Use dmy dates from July 2017,
Populated places in Baabda District,
Commons link is on Wikidata,
Saturn Films films,
Lebanese people of Armenian descent,Category:Armenian emigrants to Lebanon
1985 in Lebanon,Category:1985 establishments in Lebanon
,Category:1985 crimes in Lebanon
Israeli films,Category:Films by Israeli directors
,Category:Lists of Israeli films
,Category:Israeli film series
,Category:American remakes of Israeli films
,Category:Israeli black-and-white films
,Category:Films by Israeli producers
,Category:Israeli films by genre
,Category:Israeli independent films
,Category:Israeli multilingual films
,Category:Israeli–Palestinian conflict films
,Category:Rediscovered Israeli films
,Category:Israeli satirical films
,Category:Israeli sequel films
,Category:Israeli short films
,Category:Israeli film stubs
Articles with hAudio microformats,
Geopolitical rivalry,Category:Arab–Israeli alliance against Iran
,Category:Cold War
,Category:The Great Game
,Category:Hegemony
,Category:The New Great Game
,Category:Roman–Persian Wars
,Category:Second Hundred Years' War
,Category:States by power status
,Category:Superpowers
,Category:Technological races
,Category:United States involvement in regime change
Currencies introduced in 1924,
People with disorders of consciousness,
French crime thriller films,
Organisations of the Iranian Revolution,Category:Islamic Revolutionary Guard Corps
,Category:Muslim Student Followers of the Imam's Line
,Category:Political parties of the Iranian Revolution
,Category:SAVAK
Military operations involving India,Category:Aerial operations and battles involving India
,Category:Battles involving India
,Category:Non-combat military operations involving India
,Category:Operations involving Indian special forces
,Category:Wars involving India
Christianity in Lebanon,Category:Christian buildings and structures in Lebanon
,Category:Christian denominations in Lebanon
,Category:Lebanese Christians
,Category:Christianity in Beirut
,Category:Christian clergy in Lebanon
,Category:Christian communities in Lebanon
,Category:Churches in Lebanon
,Category:Christian missionaries in Lebanon
,Category:Christian monasteries in Lebanon
,Category:Christian political parties in Lebanon
Pound (currency),Category:Pound sterling
Member states of the Union for the Mediterranean,
Articles with dead external links from December 2017,
Articles needing additional references from June 2019,
Articles with unsourced statements from November 2019,
Articles with dead external links from September 2013,
1960 births,
Emmanuel Macron,
Lebanon-related lists,Category:Lists of ambassadors to Lebanon
,Category:Lists of biota of Lebanon
,Category:Lists of buildings and structures in Lebanon
,Category:Lebanon communications-related lists
,Category:Lebanon crime-related lists
,Category:Lebanon diplomacy-related lists
,Category:Economy of Lebanon-related lists
,Category:Lebanon education-related lists
,Category:Lists of events in Lebanon
,Category:Lebanon geography-related lists
,Category:Lists of organisations based in Lebanon
,Category:Lists of Lebanese people
,Category:Lebanon politics-related lists
,Category:Lebanon religion-related lists
,Category:Lebanon sport-related lists
,Category:Lists of tourist attractions in Lebanon
,Category:Videographies of Lebanese artists
Articles with unsourced statements from March 2014,
Articles with dead external links from May 2017,
Armored personnel carriers of the Philippines,
Pages incorrectly using the Blockquote template,
Armenian diaspora by country,Category:Armenian churches by country
,Category:Armenian American
,Category:Armenian Argentine
,Category:Armenians in Azerbaijan
,Category:Armenian diaspora in Bangladesh
,Category:Armenian Canadian
,Category:Armenian diaspora in Cyprus
,Category:Armenian diaspora in Egypt
,Category:Armenian diaspora in Georgia (country)
,Category:Armenian diaspora in India
,Category:Armenian diaspora in Iran
,Category:Armenian diaspora in Israel
,Category:Armenian diaspora in Jordan
,Category:Armenian diaspora in Lebanon
,Category:Armenian diaspora in the State of Palestine
,Category:Armenian diaspora in Romania
,Category:Armenian diaspora in Russia
,Category:Armenian diaspora in Syria
,Category:Armenian immigration to Uruguay
Articles needing additional references from September 2020,
28th-century BC establishments,Category:Buildings and structures completed in the 28th century BC
Shia Islamist groups,Category:Asa'ib Ahl al-Haq
,Category:Badr Organization
,Category:Hezbollah
,Category:Houthis
,Category:Islamic Dawa Party
,Category:Tehran Eight
Wikipedia articles needing page number citations from August 2021,
1979 in Saudi Arabia,Category:1979 establishments in Saudi Arabia
,Category:1979 crimes in Saudi Arabia
,Category:1979 in Saudi Arabian sport
Articles with LNB identifiers,
Incomplete lists from May 2020,
Films set in Sierra Leone,
Arab Winter in Lebanon,Category:Hezbollah involvement in the Syrian civil war
,Category:Syrian civil war spillover in Lebanon
Palestinian refugees,Category:History of the Palestinian refugees
,Category:Palestine refugee camps
NPOV disputes from February 2014,
2020s in Israel,Category:2020s disestablishments in Israel
,Category:2020s establishments in Israel
,Category:2020 in Israel
,Category:2021 in Israel
,Category:2022 in Israel
,Category:2023 in Israel
,Category:2020s crimes in Israel
,Category:2020s in Jerusalem
,Category:2020s in Israeli politics
,Category:2020s in Israeli sport
,Category:2020s in Tel Aviv
,Category:2020s in Israeli television
Coloniae (Roman),Category:Colchester (town)
,Category:Homs
,Category:Sidon
,Category:Sirmium
2012 in Lebanon,Category:2012 disestablishments in Lebanon
,Category:2012 establishments in Lebanon
,Category:2012 crimes in Lebanon
,Category:2012 in Lebanese sport
,Category:2012 in Lebanese television
Politics of Syria,Category:Syrian political people
,Category:Syria politics-related lists
,Category:Politics of the Autonomous Administration of North and East Syria
,Category:Foreign relations of Syria
,Category:Political history of Syria
,Category:Human rights in Syria
,Category:Political movements in Syria
,Category:Political organizations based in Syria
,Category:Political parties in Syria
,Category:Terrorism in Syria
Israeli autobiographers,Category:Israeli memoirists
Articles with unsourced statements from October 2011,
Use dmy dates from April 2018,
Use dmy dates from February 2021,
Syrian civil war spillover in Lebanon,Category:ISIL terrorist incidents in Lebanon
,Category:Terrorist incidents in Lebanon during the Syrian civil war
Wikipedia articles needing clarification from January 2013,
Wikipedia articles needing page number citations from May 2021,
1971 births,
Articles with links needing disambiguation from September 2021,
Roman sites in Lebanon,Category:Ancient Roman buildings and structures in Lebanon
Conflicts in 1860,Category:Cochinchina campaign
,Category:Expedition of the Thousand
,Category:Federal War
,Category:French conquest of Vietnam
,Category:Hispano-Moroccan War (1859–60)
,Category:1860 labor disputes and strikes
,Category:Paiute War
,Category:Reform War
,Category:1860 riots
,Category:Second Opium War
,Category:Taiping Rebellion
Articles needing additional references from July 2009,
Religion-based civil wars,Category:1991 uprisings in Iraq
,Category:Boko Haram insurgency
,Category:Central African Republic Civil War
,Category:Cristero War
,Category:Insurgency in Khyber Pakhtunkhwa
,Category:Internal conflict in Myanmar
,Category:Lebanese Civil War
,Category:Mali War
,Category:Intercommunal conflict in Mandatory Palestine
,Category:Rohingya conflict
,Category:Sri Lankan Civil War
,Category:Taiping Rebellion
,Category:War in Iraq (2013–2017)
,Category:War in the Vendée
Articles with Croatian-language sources (hr),
CS1 uses Korean-language script (ko),
Western Asian countries,Category:Middle Eastern countries
,Category:Former countries in Western Asia
,Category:Akrotiri and Dhekelia
,Category:Armenia
,Category:Republic of Artsakh
,Category:Azerbaijan
,Category:Bahrain
,Category:Egypt
,Category:Georgia (country)
,Category:Iran
,Category:Iraq
,Category:Israel
,Category:Jordan
,Category:Kuwait
,Category:Lebanon
,Category:Northern Cyprus
,Category:Oman
,Category:State of Palestine
,Category:Qatar
,Category:Saudi Arabia
,Category:Syria
,Category:Turkey
,Category:United Arab Emirates
,Category:Yemen
Secretaries-general of Hezbollah,
Articles with NARA identifiers,
Use mdy dates from March 2019,
1921 in the Ottoman Empire,Category:1921 disestablishments in the Ottoman Empire
,Category:1921 establishments in the Ottoman Empire
,Category:1921 disestablishments in Turkey
,Category:1921 establishments in Turkey
,Category:Franco-Turkish War
,Category:Greco-Turkish War (1919–1922)
,Category:Occupation of Smyrna
,Category:1921 in Turkish sport
Articles with dead external links from February 2019,
Articles with unsourced statements from April 2017,
Countries in Asia,Category:Countries in Asia by region
,Category:Former countries in Asia
,Category:Buildings and structures in Asia by country
,Category:Asian culture by country
,Category:Economies of Asia by country
,Category:Education in Asia by country
,Category:Environment of Asia by country
,Category:Geography of Asia by country
,Category:Governments in Asia by country
,Category:Health in Asia by country
,Category:History of Asia by country
,Category:Organizations based in Asia by country
,Category:Asian people by nationality
,Category:Politics of Asia by country
,Category:Asian society by country
,Category:Lists of countries in Asia
,Category:Fictional Asian countries
,Category:Afghanistan
,Category:Armenia
,Category:Azerbaijan
,Category:Bahrain
,Category:Bangladesh
,Category:Bhutan
,Category:Brunei
,Category:Cambodia
,Category:China
,Category:Cyprus
,Category:East Timor
,Category:Egypt
,Category:Georgia (country)
,Category:India
,Category:Indonesia
,Category:Iran
,Category:Iraq
,Category:Israel
,Category:Japan
,Category:Jordan
,Category:Kazakhstan
,Category:Kuwait
,Category:Kyrgyzstan
,Category:Laos
,Category:Lebanon
,Category:Malaysia
,Category:Maldives
,Category:Mongolia
,Category:Myanmar
,Category:Nepal
,Category:Northern Cyprus
,Category:Oman
,Category:Pakistan
,Category:Philippines
,Category:Qatar
,Category:Russia
,Category:Saudi Arabia
,Category:Singapore
,Category:Sri Lanka
,Category:Syria
,Category:Taiwan
,Category:Tajikistan
,Category:Thailand
,Category:Turkey
,Category:Turkmenistan
,Category:United Arab Emirates
,Category:Uzbekistan
,Category:Vietnam
,Category:Yemen
Diplomatic incidents,Category:1982 kidnapping of Iranian diplomats
,Category:Attacks on diplomatic missions
,Category:Berlin Blockade
,Category:Corfu Channel incident
,Category:United States diplomatic cables leak
,Category:Wikipedia categories named after diplomatic crises
Tourism in Lebanon,Category:Airlines of Lebanon
,Category:Airports in Lebanon
,Category:Caving in Lebanon
,Category:Hiking trails in Lebanon
,Category:Hotels in Lebanon
,Category:Outdoor recreation in Lebanon
,Category:Resorts in Lebanon
,Category:Tourist attractions in Lebanon
Wars involving the states and peoples of Asia,Category:Civil wars involving the states and peoples of Asia
,Category:Wars of succession involving the states and peoples of Asia
,Category:Wars involving Afghanistan
,Category:Asian wars in television
,Category:Wars involving Bahrain
,Category:Wars involving Bangladesh
,Category:Wars involving Bhutan
,Category:Wars involving Brunei
,Category:Wars involving Cambodia
,Category:Wars involving the Chagatai Khanate
,Category:Wars involving China
,Category:Conflicts involving the People's Mujahedin of Iran
,Category:Wars involving Cyprus
,Category:Wars involving East Timor
,Category:Wars involving the Golden Horde
,Category:Wars involving the Hasmonean Kingdom
,Category:Wars involving Hezbollah
,Category:Wars involving Hyderabad
,Category:Wars involving the Ilkhanate
,Category:Naval battles involving Travancore
,Category:Wars involving India
