Name,Ideology,Political Position,Relegion,Founder(s),National Affiliation,International Affiliation,Headquarter(s)
['Popular Front for the Liberation of Palestine'],"Arab nationalism,Revolutionary socialism,""[https://www.jewishvirtuallibrary.org/jsource/Terrorism/pflpplat.html Platform of the Popular Front for the Liberation of Palestine (PFLP)]"" (1969). From Walter Laqueur and Barry Rubin, eds., The Israel-Arab Reader (New York: Penguin Books, 2001).,""[http://www.adl.org/terrorism/symbols/popular_front_pa1.asp Popular Front for the Liberation of Palestine (1)] ."" Terrorist Group Symbols Database. Anti-Defamation League.,Anti-Zionism,Palestinian nationalism,One-state solution,Marxism–Leninism,Pan-Arabism,[https://www.bbc.com/news/world-middle-east-30099510 Profile: Popular Front for the Liberation of Palestine] BBC News, 18 November 2014,Anti-imperialism,Secularism,""[https://2001-2009.state.gov/s/ct/rls/rpt/fto/2801.htm Background Information on Foreign Terrorist Organizations] ."" Office of the Coordinator for Counterterrorism, United States Department of State",Far-left,-,"General Secretary:Ahmad Saadat,","DAL,PLO",ICS (defunct),-
['Popular Front for the Liberation of Palestine - General Command'],"Palestinian nationalism,Arab nationalism",-,-,"General Secretary:Ahmed Jibril,",Alliance of Palestinian Forces,-,"Damascus, Syria"
['Popular Front for the Liberation of Palestine - General Command'],"Palestinian nationalism,Arab nationalism",-,-,"General Secretary:Ahmed Jibril,",Alliance of Palestinian Forces,-,"Damascus, Syria"
['Popular Resistance Committees'],"Armed struggle,Palestinianism,Anti-Zionism,Palestinian nationalism,Islamic Fundamentalism",-,-,Amir Qarmoot Abu As-Said (2006-2008)Zuhir al-Qaisi (2011-2012)Ayman al-Shashniya (2012-present)Kamal al-Nirab (2008-2011)Jamal Abu Samhadana (2000-2006):,-,-,-
['Progressive Socialist Party'],"Arab nationalism,Social democracy,Historically:,Pan-Arabism,Democratic socialism","Left-wing,Centre to centre-left,Formerly:",Druze,Walid Jumblatt:,March 14 Alliance (until 2009),"Socialist International,Progressive Alliance","Jabal El Arab Street, Wata El Msaytbeh"
['Arab Democratic Party'],"Arab nationalism,Baathism,Pan-Syrianism",Left-wing,-,Rifaat Eid:,March 8 Alliance,-,Tripoli
['Revolutionary Cells'],"Anti-Zionism,Marxism,Feminism,Anti-imperialism",-,-,Rifaat Eid:,-,-,-
['Socialist Arab Lebanon Vanguard Party'],Baathism,-,-,Abd al-Majid al-Rafei:,-,Iraqi-led Baath Party,"Beirut, Lebanon"
['Syrian Social Nationalist Party'],"Economic populism,Historical:,Antisemitism,Fascism (accused,,date,Pan-Syrianism,Anti-Zionism,Page needed,Social nationalism,See: Adel Beshara (ed.), Antun Saadeh: the Man, his thought (2007),Antun Saadeh, The Genesis of Nations, (Dar al-Fikr, Beirut),Syrian irredentism,Antun Saadeh, ""The Explanation of the Principles"". URL: http://www.ssnp.com/new/library/saadeh/principles/,August 2021,Secularism,officially denied),Syrian nationalism",Left-wing,-,"General Secretary:Fares al-Saad,Founder:Antoun Saadeh,","March 8 Alliance,National Progressive Front",-,"Damascus (Syria),Beirut (Lebanon)"
"['Islamic Unification Movement', 'حركة التوحيد الإسلامي']",Islamism,-,-,Hashem MinqaraBilal ShaabanSaid Shaaban:,-,-,Bab al-Tabbaneh (Tripoli)
