category,sub-category
,Category:Economy of Somalia
,Category:Economy of Sudan
,Category:Economy of Syria
,Category:Transport in the Arab League
,Category:Economy of Tunisia
,Category:Economy of the United Arab Emirates
,Category:Economy of Yemen
Political parties established in 1936,Category:Kataeb Party
,Category:New Zealand National Party
,Category:Unified Socialist Party of Catalonia
People from Matn District,
Aftermath of the Arab Spring,Category:2018–2021 Arab protests
,Category:Arab Winter
,Category:Syrian civil war
"Bureau of Alcohol, Tobacco, Firearms and Explosives in fiction",
Syrian Social Nationalist Party,Category:Syrian Social Nationalist Party politicians
Articles to be split from October 2021,
Lebanese Mexican,Category:Lebanese people of Mexican descent
,Category:Mexican people of Lebanese descent
,Category:Melkite Greek Catholic Church in Mexico
Articles with links needing disambiguation from August 2021,
Phoenician sites in Lebanon,Category:Sidon
Massacres in Syria,Category:Massacres of the Syrian civil war
,Category:Ethnic cleansing by the Islamic State of Iraq and the Levant
,Category:Massacres in Syrian Kurdistan
,Category:Persecution by ISIL
Articles with dead external links from January 2017,
Laws of war,Category:Crime of aggression
,Category:Armistices
,Category:Ceasefires
,Category:War crimes
,Category:Declarations of war
,Category:International humanitarian law
,Category:Iraq War legal issues
,Category:Jihad
,Category:Law of war legal terminology
,Category:Prize warfare
,Category:Ultimata
,Category:Warriors
Articles with specifically marked weasel-worded phrases from October 2009,
Military units and formations established in the 1970s,Category:Military units and formations established in 1970
,Category:Military units and formations established in 1971
,Category:Military units and formations established in 1972
,Category:Military units and formations established in 1973
,Category:Military units and formations established in 1974
,Category:Military units and formations established in 1975
,Category:Military units and formations established in 1976
,Category:Military units and formations established in 1977
,Category:Military units and formations established in 1978
,Category:Military units and formations established in 1979
Wikipedia articles needing clarification from September 2020,
1982 in Israel,Category:1982 disestablishments in Israel
,Category:1982 establishments in Israel
,Category:1982 kidnapping of Iranian diplomats
,Category:1982 in Israeli politics
,Category:1982 in Israeli sport
,Category:1982 in Israeli television
Conflicts in 1921,Category:Franco-Syrian War
,Category:Franco-Turkish War
,Category:Iraqi revolt of 1920
,Category:Irish War of Independence
,Category:1921 labor disputes and strikes
,Category:Rif War
,Category:1921 riots
,Category:Russian Revolution in Ukraine
,Category:Silesian Uprisings
,Category:Turkish War of Independence
,Category:Ukrainian–Soviet War
Articles with WORLDCATID identifiers,
Organizations designated as terrorist by Saudi Arabia,Category:Houthis
,Category:Islamic Revolutionary Guard Corps
,Category:Islamic State of Iraq and the Levant
,Category:Muslim Brotherhood
,Category:Al-Nusra Front
Protests in Syria,Category:Revolutions in Syria
,Category:Riots and civil disorder in Syria
Historical regions,Category:Historical regions by country
,Category:Lists of historical regions
,Category:Subdivisions of former countries
,Category:Ancient Near East
,Category:Barbary Coast
,Category:Coele-Syria
,Category:Eastern Arabia
,Category:Former enclaves
,Category:Former exclaves
,Category:Former administrative divisions of countries
,Category:Former empires
,Category:Former territorial entities
,Category:Gaul
,Category:Hebrew Bible regions
,Category:Historical regions of Anatolia
,Category:Former disputed land areas
,Category:Lazica
,Category:Lazistan
,Category:Mesopotamia
,Category:Moab
,Category:New Testament regions
,Category:Ruthenia
,Category:Former states and territories
Paramilitary organisations based in Iran,Category:Iranian security organisations
,Category:Rebel groups in Iran
Organizations designated as terrorist by Lithuania,
Near Eastern countries,Category:Bahrain
,Category:Egypt
,Category:Iran
,Category:Iraq
,Category:Israel
,Category:Jordan
,Category:Kuwait
,Category:Lebanon
,Category:Oman
,Category:State of Palestine
,Category:Qatar
,Category:Saudi Arabia
,Category:Syria
,Category:Turkey
,Category:United Arab Emirates
,Category:Yemen
Israel history-related lists,Category:Israeli–Palestinian conflict-related lists
,Category:Lists of depopulated towns and villages of subdistricts of Mandatory Palestine
,Category:Lists of monuments and memorials in Israel
,Category:Timelines of cities in Israel
Islamic terrorism in Lebanon,Category:ISIL terrorist incidents in Lebanon
,Category:Islamic State of Iraq and the Levant
,Category:Jihadist groups in Lebanon
Articles with unsourced statements from January 2018,
1970s in Saudi Arabia,Category:1970s establishments in Saudi Arabia
,Category:1970 in Saudi Arabia
,Category:1971 in Saudi Arabia
,Category:1972 in Saudi Arabia
,Category:1973 in Saudi Arabia
,Category:1974 in Saudi Arabia
,Category:1975 in Saudi Arabia
,Category:1976 in Saudi Arabia
,Category:1977 in Saudi Arabia
,Category:1978 in Saudi Arabia
,Category:1979 in Saudi Arabia
,Category:1970s crimes in Saudi Arabia
,Category:1970s in Saudi Arabian sport
Interlanguage link template existing link,Category:COVID-19
,Category:COVID-19 pandemic
Articles to be expanded from August 2015,
Arab nationalist rebellions,Category:1936–1939 Arab revolt in Palestine
,Category:Aden Emergency
,Category:Algerian War
,Category:Arab Revolt
,Category:Dhofar Rebellion
,Category:Egyptian Revolution of 1952
,Category:Khuzestan conflict
Articles with NKC identifiers,
2020s conflicts,Category:Ongoing conflicts
,Category:2019–2021 Persian Gulf crisis
,Category:2020s civil wars
,Category:War in Afghanistan (2001–2021)
,Category:2020s battles
,Category:Conflicts in 2020
,Category:Conflicts in 2021
,Category:2020s coups d'état and coup attempts
,Category:Insurgency in Khyber Pakhtunkhwa
,Category:ISIL insurgency in Iraq (2017–present)
,Category:2020s labor disputes and strikes
,Category:Mali War
,Category:2020s riots
,Category:Russo-Ukrainian War
,Category:Somali Civil War (2009–present)
,Category:Transnistria conflict
,Category:War in Donbas
,Category:Yemeni Crisis (2011–present)
Webarchive template wayback links,Category:Alps
,Category:Assassinations in Iran
,Category:Fictional gemstones and jewelry
,Category:Gemstones
,Category:Gemstones in fiction
,Category:Gemstones in popular culture
,Category:Gemstones in religion
States and territories established in 1943,
Wikipedia articles needing factual verification from August 2012,
Articles with unsourced statements from November 2011,
CS1 maint: archived copy as title,
Articles with unsourced statements from June 2010,
United Arab Republic,Category:Ambassadors to the United Arab Republic
,Category:Elections in the United Arab Republic
,Category:Members of the National Assembly of the United Arab Republic
,Category:Treaties of the United Arab Republic
Wars involving Lebanon,Category:1948 Arab–Israeli War
,Category:1982 Lebanon War
,Category:Lebanese Civil War
,Category:War on Terror
,Category:Wars involving Hezbollah
Self-propelled rocket launchers,Category:Tracked self-propelled rocket launchers
,Category:Wheeled self-propelled rocket launchers
1985 establishments in Lebanon,
CS1 errors: missing periodical,
Conflicts in 1978,Category:Attacks in 1978
,Category:Eritrean War of Independence
,Category:Guatemalan Civil War
,Category:1978 labor disputes and strikes
,Category:Mozambican Civil War
,Category:Ogaden War
,Category:Rhodesian Bush War
,Category:South African Border War
,Category:Uganda–Tanzania War
Articles with unsourced statements from March 2017,
Bilateral relations of Saudi Arabia,Category:Bilateral military relations of Saudi Arabia
,Category:Afghanistan–Saudi Arabia relations
,Category:Albania–Saudi Arabia relations
,Category:Algeria–Saudi Arabia relations
,Category:Argentina–Saudi Arabia relations
,Category:Armenia–Saudi Arabia relations
,Category:Australia–Saudi Arabia relations
,Category:Austria–Saudi Arabia relations
,Category:Azerbaijan–Saudi Arabia relations
,Category:Bahrain–Saudi Arabia relations
,Category:Bangladesh–Saudi Arabia relations
,Category:Belarus–Saudi Arabia relations
,Category:Belgium–Saudi Arabia relations
,Category:Bolivia–Saudi Arabia relations
,Category:Bosnia and Herzegovina–Saudi Arabia relations
,Category:Brazil–Saudi Arabia relations
,Category:Bulgaria–Saudi Arabia relations
,Category:Burundi–Saudi Arabia relations
,Category:Cameroon–Saudi Arabia relations
,Category:Canada–Saudi Arabia relations
,Category:Cape Verde–Saudi Arabia relations
,Category:Central African Republic–Saudi Arabia relations
,Category:Chad–Saudi Arabia relations
,Category:Chile–Saudi Arabia relations
,Category:China–Saudi Arabia relations
,Category:Colombia–Saudi Arabia relations
,Category:Croatia–Saudi Arabia relations
,Category:Cyprus–Saudi Arabia relations
,Category:Czech Republic–Saudi Arabia relations
,Category:Democratic Republic of the Congo–Saudi Arabia relations
,Category:Denmark–Saudi Arabia relations
,Category:Djibouti–Saudi Arabia relations
,Category:Ecuador–Saudi Arabia relations
,Category:Egypt–Saudi Arabia relations
,Category:Equatorial Guinea–Saudi Arabia relations
,Category:Eritrea–Saudi Arabia relations
,Category:Ethiopia–Saudi Arabia relations
,Category:Finland–Saudi Arabia relations
,Category:France–Saudi Arabia relations
,Category:The Gambia–Saudi Arabia relations
,Category:Germany–Saudi Arabia relations
,Category:Ghana–Saudi Arabia relations
,Category:Greece–Saudi Arabia relations
,Category:Guinea–Saudi Arabia relations
,Category:Honduras–Saudi Arabia relations
,Category:Hungary–Saudi Arabia relations
,Category:India–Saudi Arabia relations
,Category:Indonesia–Saudi Arabia relations
,Category:Iran–Saudi Arabia relations
,Category:Iraq–Saudi Arabia relations
,Category:Ireland–Saudi Arabia relations
,Category:Israel–Saudi Arabia relations
,Category:Italy–Saudi Arabia relations
,Category:Ivory Coast–Saudi Arabia relations
,Category:Japan–Saudi Arabia relations
,Category:Jordan–Saudi Arabia relations
,Category:Kazakhstan–Saudi Arabia relations
,Category:Kenya–Saudi Arabia relations
,Category:Kuwait–Saudi Arabia relations
,Category:Lebanon–Saudi Arabia relations
,Category:Libya–Saudi Arabia relations
,Category:Malaysia–Saudi Arabia relations
,Category:Maldives–Saudi Arabia relations
,Category:Mali–Saudi Arabia relations
,Category:Malta–Saudi Arabia relations
,Category:Mauritania–Saudi Arabia relations
,Category:Mexico–Saudi Arabia relations
,Category:Montenegro–Saudi Arabia relations
,Category:Morocco–Saudi Arabia relations
,Category:Myanmar–Saudi Arabia relations
,Category:Nepal–Saudi Arabia relations
,Category:Netherlands–Saudi Arabia relations
,Category:New Zealand–Saudi Arabia relations
,Category:Niger–Saudi Arabia relations
,Category:Nigeria–Saudi Arabia relations
,Category:North Macedonia–Saudi Arabia relations
,Category:Norway–Saudi Arabia relations
,Category:Oman–Saudi Arabia relations
,Category:Pakistan–Saudi Arabia relations
,Category:State of Palestine–Saudi Arabia relations
,Category:Panama–Saudi Arabia relations
,Category:Peru–Saudi Arabia relations
,Category:Philippines–Saudi Arabia relations
,Category:Poland–Saudi Arabia relations
,Category:Portugal–Saudi Arabia relations
,Category:Qatar–Saudi Arabia relations
,Category:Romania–Saudi Arabia relations
,Category:Russia–Saudi Arabia relations
,Category:Saudi Arabia–Senegal relations
,Category:Saudi Arabia–Serbia relations
,Category:Saudi Arabia–Sierra Leone relations
,Category:Saudi Arabia–Singapore relations
,Category:Saudi Arabia–Slovakia relations
,Category:Saudi Arabia–Slovenia relations
,Category:Saudi Arabia–Somalia relations
,Category:Saudi Arabia–South Africa relations
,Category:Saudi Arabia–South Korea relations
,Category:Saudi Arabia–South Sudan relations
,Category:Saudi Arabia–Spain relations
,Category:Saudi Arabia–Sudan relations
,Category:Saudi Arabia–Suriname relations
,Category:Saudi Arabia–Sweden relations
,Category:Saudi Arabia–Switzerland relations
,Category:Saudi Arabia–Syria relations
,Category:Saudi Arabia–Thailand relations
,Category:Saudi Arabia–Togo relations
,Category:Saudi Arabia–Trinidad and Tobago relations
,Category:Saudi Arabia–Tunisia relations
,Category:Saudi Arabia–Turkey relations
,Category:Saudi Arabia–Uganda relations
,Category:Saudi Arabia–Ukraine relations
,Category:Saudi Arabia–United Arab Emirates relations
,Category:Saudi Arabia–United Kingdom relations
,Category:Saudi Arabia–United States relations
,Category:Saudi Arabia–Uruguay relations
,Category:Saudi Arabia–Uzbekistan relations
,Category:Saudi Arabia–Venezuela relations
,Category:Saudi Arabia–Yemen relations
,Category:Saudi Arabia–Yugoslavia relations
,Category:Saudi Arabia–Zambia relations
Films about the Israel Defense Forces,
Articles using small message boxes,Category:Data East arcade games
,Category:Historic defensive lines
,Category:Historical simulation games
,Category:Indonesian Super League-winning players
,Category:Konami arcade games
,Category:Lists of villages in Andhra Pradesh
,Category:Members of the Canadian Association of Journalists
,Category:Nintendo arcade games
,Category:People acquitted of robbery
,Category:People convicted of rape
,Category:Purgatory in fiction
,Category:Scottish cannibals
,Category:Species made extinct by deliberate extirpation efforts
,Category:Universal Entertainment games
,Category:Yugoslav secret police agents
Israeli war drama films,
Israeli–Lebanese conflict films,
Military units and formations established in 1976,
Articles with unsourced statements from October 2007,
States and territories established in the 14th century BC,
Bahrain–Lebanon relations,Category:Bahraini expatriates in Lebanon
,Category:Lebanese expatriates in Bahrain
Living people,Category:Lists of living people
,Category:Living people on EN wiki who are dead on other wikis
Articles with unsourced statements from November 2007,
CS1 maint: bot: original URL status unknown,
France–Kuwait relations,Category:France–Kuwait military relations
,Category:French expatriates in Kuwait
War casualties by war,Category:Deaths by war
,Category:Prisoners of war by conflict
,Category:War in Afghanistan (2001–2021) casualties
,Category:Balkan Wars casualties
,Category:Cold War casualties
,Category:Iraq War casualties
,Category:Second Boer War casualties
,Category:Second Intifada casualties
,Category:People killed in the War on Terror
,Category:Vietnam War casualties
,Category:World War I casualties
,Category:World War II casualties
Articles with unsourced statements from May 2020,
Organisations designated as terrorist by Australia,Category:Al-Qaeda in the Arabian Peninsula
,Category:Al-Qaeda in the Islamic Maghreb
,Category:Boko Haram
,Category:Hezbollah
,Category:Islamic Movement of Uzbekistan
,Category:Islamic State of Iraq and the Levant
,Category:Lashkar-e-Taiba
,Category:Al-Nusra Front
Organisations designated as terrorist by Japan,Category:Hezbollah
,Category:Islamic State of Iraq and the Levant
,Category:Jemaah Islamiyah
,Category:Lashkar-e-Taiba
,Category:Al-Nusra Front
,Category:People's Mujahedin of Iran
,Category:Revolutionary People's Liberation Party/Front
,Category:Shining Path
Battles of the Lebanese Civil War,
Napoleonic Wars,Category:Battles of the Napoleonic Wars
,Category:Campaigns of the Napoleonic Wars
,Category:Coalition Wars
,Category:Aftermath of the Napoleonic Wars
,Category:Antiquities acquired by Napoleon
,Category:Armies of Napoleonic Wars
,Category:Artillery of the Napoleonic Wars
,Category:British military medals of the Napoleonic Wars
,Category:Columns related to the Napoleonic Wars
,Category:Dano-Swedish War of 1808–09
,Category:Napoleon's planned invasion of the United Kingdom
,Category:Finnish War
,Category:French campaign in Egypt and Syria
,Category:Historians of the Napoleonic Wars
,Category:Hundred Days
,Category:People of the Napoleonic Wars
,Category:Rome in the Napoleonic Wars
,Category:Napoleonic-era ships
,Category:War of the Third Coalition
,Category:Napoleonic Wars treaties
,Category:War of 1812
,Category:Works about the Napoleonic Wars
,Category:Napoleonic Wars stubs
Neighbourhoods of Beirut,
Articles with short description,Category:Articles with long short description
,Category:Short description is different from Wikidata
,Category:Short description matches Wikidata
,Category:Short description with empty Wikidata description
,Category:Television episode articles with short description
CS1 Italian-language sources (it),
Articles with unsourced statements from July 2009,
1920 in the Ottoman Empire,Category:1920 disestablishments in the Ottoman Empire
,Category:1920 establishments in the Ottoman Empire
,Category:1920 establishments in Turkey
,Category:Franco-Turkish War
,Category:Greco-Turkish War (1919–1922)
,Category:Occupation of Smyrna
,Category:1920 in Turkish sport
,Category:Turkish–Armenian War
Articles with failed verification from February 2015,
Wars involving Egypt,Category:Battles involving Egypt
,Category:1948 Arab–Israeli War
,Category:Anglo-Egyptian War
,Category:Gulf War
,Category:Mahdist War
,Category:Wars involving the Mamluk Sultanate (Cairo)
,Category:Nigerian Civil War
,Category:Wars involving Ottoman Egypt
,Category:Russo-Turkish War (1877–1878)
,Category:Six-Day War
,Category:Suez Crisis
,Category:'Urabi revolt
,Category:War of Attrition
,Category:Wars involving ancient Egypt
,Category:Egypt in World War I
,Category:Egypt in World War II
,Category:Yemeni Civil War (2014–present)
,Category:Yom Kippur War
France–Iran relations,Category:French expatriates in Iran
,Category:Iranian expatriates in France
,Category:Ambassadors of France to Iran
,Category:Ambassadors of Iran to France
,Category:French Iranologists
,Category:French people imprisoned in Iran
,Category:French people of Iranian descent
,Category:Iranian people of French descent
,Category:People's Mujahedin of Iran
Articles with dead external links from May 2016,
Articles needing additional references from November 2017,
Pan-Islamism,Category:Al-Qaeda
,Category:Asa'ib Ahl al-Haq
,Category:Caliphalism
,Category:Caliphates
,Category:Islamic concepts of religious geography
,Category:Jamaat-e-Islami Pakistan
,Category:Mujahideen
Anti-tank missiles of the Cold War,
Articles needing additional references from September 2015,
CS1 French-language sources (fr),
Lebanese nationalism,Category:Lebanese nationalists
,Category:National symbols of Lebanon
,Category:Lebanese nationalist parties
,Category:Phoenicianism
Populated places in Tyre District,
Use dmy dates from November 2019,
Arab rebellions,Category:Arab nationalist rebellions
,Category:2018–2021 Arab protests
,Category:Arab Spring
,Category:Egyptian Revolution of 1919
,Category:Intifadas
,Category:Arab rebellions in Iraq
,Category:Mahdist War
,Category:Arab militant groups
,Category:Qatif conflict
,Category:Arab rebellions in Syria
,Category:'Urabi revolt
,Category:Rebellions in Yemen
Use dmy dates from October 2021,
Use mdy dates from July 2012,
Crime films based on actual events,Category:Biographical films about criminals
,Category:Documentary films about crime
,Category:Films based on the Leopold and Loeb murder
,Category:Films based on the 2008 Mumbai attacks
,Category:Organized crime films based on actual events
,Category:Rwandan genocide films
,Category:Films based on the September 11 attacks
Articles to be split from July 2020,
Articles with unsourced statements from October 2018,
Political parties in Syria,Category:Syrian politicians by party
,Category:Political party alliances in Syria
,Category:Political parties in the Autonomous Administration of North and East Syria
,Category:Defunct political parties in Syria
,Category:Federalist parties in Syria
,Category:Political parties of minorities in Syria
,Category:Nationalist parties in Syria
,Category:Socialist parties in Syria
,Category:Wikipedia categories named after political parties in Syria
Articles with unsourced statements from June 2021,
Cold War military history of the United States,Category:Cold War military equipment of the United States
,Category:Cold War military installations of the United States
,Category:Iran hostage crisis
History of Lebanon,Category:History of Lebanon by period
,Category:History of Lebanon by topic
,Category:Archaeology of Lebanon
,Category:Archives in Lebanon
,Category:History of Beirut
,Category:Defunct mass media in Lebanon
,Category:Defunct organisations based in Lebanon
,Category:Disestablishments in Lebanon
,Category:Establishments in Lebanon
,Category:Former buildings and structures in Lebanon
,Category:Former populated places in Lebanon
,Category:History of Sidon
,Category:Historic sites in Lebanon
,"Category:History of Tripoli, Lebanon"
Articles with unsourced statements from November 2018,
National sports teams established in 1933,
Armenian Secret Army for the Liberation of Armenia,
Armoured personnel carriers of the Cold War,
Articles with unsourced statements from November 2021,
Articles covered by WikiProject Wikify from January 2013,
Populated coastal places in Lebanon,Category:Sidon
Articles needing additional references from June 2012,
Use dmy dates from December 2020,
March 1978 events in Asia,
Use dmy dates from March 2020,
1990s in Israel,Category:1990s disestablishments in Israel
,Category:1990s establishments in Israel
,Category:1990 in Israel
,Category:1991 in Israel
