category,sub-category
,Category:Mountain ranges of Korea
,Category:Pamir Mountains
,Category:Tian Shan
Air-to-surface missiles of the United States,Category:Guided bombs of the United States
,Category:Cold War air-to-surface missiles of the United States
Articles with HDS identifiers,
Articles with FAST identifiers,
Tank destroyers,Category:Tank destroyers by period
,Category:Tank destroyers by country
Articles with unsourced statements from December 2019,
2000s in Saudi Arabia,Category:2000s disestablishments in Saudi Arabia
,Category:2000s establishments in Saudi Arabia
,Category:2000 in Saudi Arabia
,Category:2001 in Saudi Arabia
,Category:2002 in Saudi Arabia
,Category:2003 in Saudi Arabia
,Category:2004 in Saudi Arabia
,Category:2005 in Saudi Arabia
,Category:2006 in Saudi Arabia
,Category:2007 in Saudi Arabia
,Category:2008 in Saudi Arabia
,Category:2009 in Saudi Arabia
,Category:2000s crimes in Saudi Arabia
,Category:2000s in Saudi Arabian sport
,Category:2000s in Saudi Arabian television
2010s in Saudi Arabia,Category:2010s disestablishments in Saudi Arabia
,Category:2010s establishments in Saudi Arabia
,Category:2010 in Saudi Arabia
,Category:2011 in Saudi Arabia
,Category:2012 in Saudi Arabia
,Category:2013 in Saudi Arabia
,Category:2014 in Saudi Arabia
,Category:2015 in Saudi Arabia
,Category:2016 in Saudi Arabia
,Category:2017 in Saudi Arabia
,Category:2018 in Saudi Arabia
,Category:2019 in Saudi Arabia
,Category:2010s crimes in Saudi Arabia
,Category:2010s in Saudi Arabian sport
,Category:2010s in Saudi Arabian television
,Category:Military intervention in Yemen
Middle Eastern diaspora in Lebanon,Category:Armenian diaspora in Lebanon
,Category:Lebanese people of Middle Eastern descent
Ottoman period in Lebanon,Category:Ottoman architecture in Lebanon
,Category:Emirs of Mount Lebanon
,Category:Ma'n dynasty
,Category:Ottoman governors of Sidon
Ongoing conflicts,Category:Ongoing insurgencies
,Category:2019–2021 Persian Gulf crisis
,Category:Afghanistan conflict (1978–present)
,Category:Arab Winter
,Category:Central African Republic Civil War
,Category:Colombian conflict
,Category:Crisis in Venezuela
,Category:Cross-Strait conflict
,Category:War in Darfur
,Category:Ethiopian civil conflict (2018–present)
,Category:Hezbollah–Israel conflict
,Category:Insurgency in Khyber Pakhtunkhwa
,Category:ISIL insurgency in Iraq (2017–present)
,Category:Kashmir conflict
,Category:Kurdish–Turkish conflict (1978–present)
,Category:Libyan Crisis (2011–present)
,Category:Nagorno-Karabakh conflict
,Category:Russo-Ukrainian War
,Category:Somali Civil War
,Category:Syrian civil war
,Category:Transnistria conflict
,Category:Ukrainian crisis
,Category:War in Donbas
,Category:Yemeni Civil War (2014–present)
,Category:Yemeni Crisis (2011–present)
Christian democratic parties in Asia,Category:Kataeb Party
1943 establishments in Asia,Category:1943 establishments in British India
,Category:1943 establishments in Ceylon
,Category:1943 establishments in China
,Category:1943 establishments in Cyprus
,Category:1943 establishments in India
,Category:1943 establishments in Iran
,Category:1943 establishments in Iraq
,Category:1943 establishments in Japan
,Category:1943 establishments in Korea
,Category:1943 establishments in Lebanon
,Category:1943 establishments in Mandatory Palestine
,Category:1943 establishments in Sikkim
,Category:1943 establishments in Southeast Asia
,Category:1943 establishments in the Soviet Union
,Category:1943 establishments in Turkey
Islamic Revolutionary Guard Corps,Category:Islamic Revolutionary Guard Corps clerics
,Category:Islamic Revolutionary Guard Corps military branches
,Category:Islamic Revolutionary Guard Corps officers
,Category:Military Branch Insignia of IRGC
,Category:Military units and formations of Army of the Guardians of the Islamic Revolution
,Category:Ships of the Islamic Revolutionary Guard Corps
Use dmy dates from January 2017,
December 2017 events in Asia,Category:December 2017 crimes in Asia
,Category:December 2017 sports events in Asia
,Category:December 2017 events in China
,Category:December 2017 events in India
,Category:December 2017 events in Indonesia
,Category:December 2017 events in Iran
,Category:2017–2018 Iranian protests
,Category:December 2017 events in Japan
,Category:December 2017 events in Pakistan
,Category:December 2017 events in the Philippines
,Category:December 2017 events in Russia
,Category:December 2017 events in South Korea
,Category:December 2017 events in Syria
,Category:December 2017 events in Yemen
2000s war drama films,Category:2000s war comedy-drama films
Articles with BIBSYS identifiers,
All articles with failed verification,
Wikipedia articles needing page number citations from December 2016,
Members of the 14th Knesset (1996–1999),
Articles needing additional references from August 2012,
Articles needing additional references from May 2017,
Use dmy dates from September 2014,
Syrian civil war,Category:Major phases of the Syrian civil war
,Category:Syrian civil war by governorate
,Category:Syrian civil war by year
,Category:Anti-government factions of the Syrian civil war
,Category:Autonomous Administration of North and East Syria
,Category:Cities and towns during the Syrian civil war
,Category:Consequences of the Syrian civil war
,Category:Syrian civil war crimes
,Category:Foreign involvement in the Syrian civil war
,Category:Lists of the Syrian civil war
,Category:Military operations of the Syrian civil war
,Category:Military units and factions of the Syrian civil war
,Category:Organizations of the Syrian civil war
,Category:People of the Syrian civil war
,Category:Syrian civil war orders of battle
,Category:Syrian civil war templates
,Category:Terrorism in the Syrian civil war
,Category:Timelines of the Syrian civil war
,Category:Works about the Syrian civil war
AC with 0 elements,
2013 in Lebanon,Category:2013 disestablishments in Lebanon
,Category:2013 establishments in Lebanon
,Category:2013 crimes in Lebanon
,Category:2013 in Lebanese sport
,Category:2013 in Lebanese television
Articles with unsourced statements from March 2021,
Israel–Lebanon border,Category:Israel–Lebanon border crossings
Articles with incomplete citations from October 2019,
Military units and formations disestablished in 2000,
Wikipedia articles incorporating text from the 1911 Encyclopædia Britannica,
Civil wars involving the states and peoples of Asia,Category:1947–1948 civil war in Mandatory Palestine
,Category:Afghan Civil War (1928–1929)
,Category:Afghan Civil War (1996–2001)
,Category:Afghanistan conflict (1978–present)
,Category:Boshin War
,Category:Civil wars of the Byzantine Empire
,Category:Cambodian Civil War
,Category:Chinese Civil War
,Category:Civil wars in Iraq
,Category:Crisis of the Sixteenth Century
,Category:Cross-Strait conflict
,Category:Internal conflict in Bangladesh
,Category:Internal conflict in Myanmar
,Category:Iranian civil wars
,Category:Insurgency in Khyber Pakhtunkhwa
,Category:Korean War
,Category:Lebanese Civil War
,Category:Civil wars in Malaysia
,Category:Nepalese Civil War
,Category:Papua conflict
,Category:Civil wars of Persia
,Category:Russian Civil War
,Category:Sri Lankan Civil War
,Category:Syrian civil war
,Category:Taiping Heavenly Kingdom
,Category:Timurid civil wars
,Category:Transition from Ming to Qing
,Category:Transition from Sui to Tang
,Category:Transition from Yuan to Ming
Articles with dead external links from October 2010,
Populated places in Beirut Governorate,Category:Beirut
,Category:Neighbourhoods of Beirut
Organizations designated as terrorist by Serbia,
20th century in Asia,Category:20th-century establishments in Asia
,Category:20th-century disestablishments in Asia
,Category:20th century in Asia by city
,Category:20th-century crimes in Asia
,Category:20th-century disasters in Asia
,Category:20th-century elections in Asia
,Category:20th-century Asian people
,Category:Years of the 20th century in Asia
,Category:20th century in Southeast Asia
,Category:1900s in Asia
,Category:1910s in Asia
,Category:1920s in Asia
,Category:1930s in Asia
,Category:1940s in Asia
,Category:1950s in Asia
,Category:1960s in Asia
,Category:1970s in Asia
,Category:1980s in Asia
,Category:1990s in Asia
,Category:20th century in Afghanistan
,Category:20th century in Armenia
,Category:20th century in Azerbaijan
,Category:20th century in Bahrain
,Category:20th century in Bangladesh
,Category:20th century in Bhutan
,Category:20th century in British Overseas Territories
,Category:20th century in the British Empire
,Category:20th century in Mandatory Palestine
,Category:20th century in Ceylon
,Category:20th century in China
,Category:20th century in Cyprus
,Category:20th century in French India
,Category:20th century in French Indochina
,Category:20th century in Georgia (country)
,Category:20th century in Hejaz
,Category:20th century in India
,Category:20th century in Iran
,Category:20th century in Iraq
,Category:20th century in Israel
,Category:20th century in Japan
,Category:20th century in Jordan
,Category:20th century in Kazakhstan
,Category:20th century in Korea
,Category:20th century in Kuwait
,Category:20th century in Kyrgyzstan
,Category:20th century in Lebanon
,Category:20th century in Macau
,Category:20th century in the Maldives
,Category:20th century in Mandatory Syria
,Category:20th century in Mongolia
,Category:20th century in Nepal
,Category:20th century in Oman
,Category:20th century in the Ottoman Empire
,Category:20th century in Ottoman Syria
,Category:20th century in Pakistan
,Category:20th century in the Palestinian territories
,Category:20th century in Qatar
,Category:20th century in Russia
,Category:20th century in the Russian Empire
,Category:20th century in Saudi Arabia
,Category:20th century in Sikkim
,Category:20th century in the Sinai Peninsula
,Category:20th century in South Korea
,Category:20th century in Sri Lanka
,Category:20th century in Syria
,Category:20th century in Taiwan
,Category:20th century in Tajikistan
,Category:20th century in Tibet
,Category:20th century in the Trucial States
,Category:20th century in Turkey
,Category:20th century in Turkmenistan
,Category:20th century in the United Arab Emirates
,Category:20th century in Uzbekistan
,Category:20th century in Yemen
Metro-Goldwyn-Mayer films,Category:American International Pictures films
,Category:Atlantic Entertainment Group films
,Category:Metro-Goldwyn-Mayer cartoon studio films
,Category:Casino Royale (2006 film)
,Category:Die Another Day
,Category:Empire International Pictures films
,Category:The Evil Dead (franchise) films
,Category:G.I. Joe (film series)
,Category:Golan-Globus films
,Category:Goldwyn Pictures films
,Category:The Hobbit (film series)
,Category:Jeepers Creepers (film series)
,Category:Legally Blonde (franchise)
,Category:Metro Pictures films
,Category:Metro-Goldwyn-Mayer animated films
,Category:Metro-Goldwyn-Mayer direct-to-video films
,Category:Orion Pictures films
,Category:The Pink Panther films
,Category:PolyGram Filmed Entertainment films
,Category:Producers Releasing Corporation films
,Category:Quantum of Solace
,Category:Rocky (film series)
,Category:Metro-Goldwyn-Mayer short films
,Category:Skyfall
,Category:Species (film series)
,Category:Stargate films
,Category:The Addams Family films
,Category:The Thin Man films
,Category:United Artists films
,Category:The Wizard of Oz (1939 film)
,Category:The World Is Not Enough
NPOV disputes from August 2016,
Articles with dead external links from June 2015,
ISO 4217,Category:Redirects from ISO 4217 codes
Members of the 13th Knesset (1992–1996),
Articles with unsourced statements from April 2010,
Articles with unsourced statements from May 2012,
Articles with EMU identifiers,
Statelessness,Category:Independent athletes
,Category:Stateless people
,Category:Stateless nationalism
Iran–Lebanon relations,Category:Iranian expatriates in Lebanon
,Category:Lebanese expatriates in Iran
,Category:1982 kidnapping of Iranian diplomats
,Category:Ambassadors of Iran to Lebanon
,Category:Ambassadors of Lebanon to Iran
,Category:Hezbollah
,Category:Iranian people of Lebanese descent
,Category:Lebanese people of Iranian descent
Articles lacking reliable references from April 2021,
Foreign involvement in the Syrian civil war,Category:International reactions to the Syrian civil war
,Category:Islamic State of Iraq and the Levant by country
,Category:American involvement in the Syrian civil war
,Category:Australian involvement in the Syrian civil war
,Category:British involvement in the Syrian civil war
,Category:Canadian involvement in the Syrian civil war
,Category:Foreigners killed in the Syrian civil war
,Category:French involvement in the Syrian civil war
,Category:German involvement in the Syrian civil war
,Category:Hezbollah involvement in the Syrian civil war
,Category:Iran–Israel conflict during the Syrian civil war
,Category:Iranian involvement in the Syrian civil war
,Category:Iraqi involvement in the Syrian civil war
,Category:Israeli involvement in the Syrian civil war
,Category:Jordanian involvement in the Syrian civil war
,Category:Lebanon's role in the Syrian civil war
,Category:Qatari involvement in the Syrian civil war
,Category:Russian involvement in the Syrian civil war
,Category:Saudi Arabian involvement in the Syrian civil war
,Category:Turkish involvement in the Syrian civil war
History-related lists,Category:History-related lists by country
,Category:Prehistory-related lists
,Category:Ancient history-related lists
,Category:Middle Ages-related lists
,Category:Lists by time
,Category:Archaeology-related lists
,Category:Lists of archives
,Category:Cultural history-related lists
,Category:Lists of disasters
,Category:Lists of events
,Category:Lists of expeditions
,Category:Lists of book-based war films
,Category:Lists of former entities
,Category:Lists of history lists
,Category:Lists of massacres
,Category:Lists by military conflict
,Category:Lists of monuments and memorials
,Category:Lists of historic places
,Category:Social history-related lists
,Category:History-related lists of superlatives
,Category:Wikipedia timelines
Articles with unsourced statements from August 2021,
Articles with unsourced statements from August 2015,
Military units and formations established in 1979,
CS1 uses Armenian-language script (hy),
Articles with unsourced statements from August 2014,
Pages using multiple image with auto scaled images,Category:Flora of the United States
Organizations designated as terrorist by Paraguay,
Leaders of political parties in Israel,Category:Agriculture and Development leaders
,Category:Alignment (Israel) leaders
,Category:Arab Democratic Party (Israel) leaders
,Category:Balad (political party) leaders
,Category:General Zionists leaders
,Category:Hadash leaders
,Category:Independent Liberals (Israel) leaders
,Category:Israeli Labor Party leaders
,Category:Kadima leaders
,Category:Left Camp of Israel leaders
,Category:Liberal Party (Israel) leaders
,Category:Likud leaders
,Category:Maki (political party) leaders
,Category:Mapai leaders
,Category:Mapam leaders
,Category:Meretz leaders
,Category:National Religious Party leaders
,Category:Religious Zionist Party leaders
,Category:Sephardim and Oriental Communities leaders
,Category:Shas leaders
,Category:Shinui leaders
,Category:Tehiya leaders
,Category:Telem (1981 political party) leaders
,Category:The Jewish Home leaders
,Category:Tzomet leaders
,Category:United Arab List leaders
,Category:United Torah Judaism leaders
Articles with unsourced statements from May 2014,
Sunni Muslim communities in Lebanon,Category:Sidon
Ethnic groups in Mexico,Category:Indigenous peoples in Mexico
,Category:Afro-Mexican
,Category:Arab Mexican
,Category:Asian Mexican
,Category:Ethnic enclaves in Mexico
,Category:European diaspora in Mexico
,Category:European Mexican
,Category:Jews and Judaism in Mexico
,Category:North American diaspora in Mexico
,Category:Ethnic organizations based in Mexico
Articles with dead external links from August 2017,
EngvarB from August 2019,
Pages with listed invalid ISBNs,Category:CS1 maint: ignored ISBN errors
Archaeological sites in Lebanon,Category:Archaeological sites in Nabatieh Governorate
,Category:Bronze Age sites in Lebanon
,Category:Phoenician sites in Lebanon
,Category:Roman sites in Lebanon
,Category:Sidon
Bashar al-Assad,Category:Syrian civil war
Articles with unsourced statements from January 2015,
Spillover of the Syrian civil war,Category:ISIL terrorist incidents
,Category:Kurdish–Turkish conflict (2015–present)
,Category:Syrian civil war spillover in Lebanon
,Category:Turkey–ISIL conflict
