Name,Location,Date,Target,Type,Perpetrators,Combatant1,Combatant2,Combatant3,Combatant4,Commander1,Commander2,Commander3,Commander4,Part of
1974–75 Shatt al-Arab clashes,"Shatt al-Arab, Iran–Iraq border",April 1974 – March 1975,-,-,-,Iran,Iraq,-,-,"(Shah of Iran),Mohammad Reza Pahlavi,Iran,1964","(de facto head of state),(Vice President of Iraq),1963,Iraq,Saddam Hussein",-,-,-
1980 Turkish coup détat,Turkey,12 September 1980,-,-,-,"* National Security Council,* Turkish Armed Forces","Opposition of Turkey,* Government of Turkey",-,-,"Nejat Tümer,Nurettin Ersin,Tahsin Şahinkaya,Sedat Celasun,*Kenan Evren","Bülent Ecevit,*Süleyman Demirel",-,-,Cold War
1983 U.S. Embassy bombing,-,"April 18, 1983",-,Suicide car bomb,"Islamic Jihad Organization (claimed responsibility),Hezbollah (court finding)",-,-,-,-,-,-,-,-,the Lebanese Civil War
1984 United States embassy annex bombing,"Beirut, Lebanon","September 20, 1984",-,Suicide car bomb,"Hezbollah,Islamic Republic of Iran",-,-,-,-,-,-,-,-,the Lebanese Civil War
1986 United States bombing of Libya,Libya,15 April 1986,-,-,-,,Libya,-,-,Ronald Reagan,Muammar Gaddafi,-,-,the Cold War
1991 uprisings in Iraq,Iraq,"1 March – 5 April 1991,(  )",-,-,-,"*  Iraqi Army,Baath Party,*  Republican Guard,Intelligence Service,Special Security,PDKI,Popular Army,MEK,General Security","Pro-Syrian Baathists,IMK,SCIRI/Badr Brigades,Dawa,CPK,KDP,Peshmerga:,Army and militia deserters / defectors,PUK,Opposition:,Communist Party",-,-,"Ali Hassan al-Majid,Tariq Aziz,Izzat Ibrahim al-Douri,Maryam Rajavi,Massoud Rajavi,Taha Yasin,Saddam Hussein,Qusay Hussein,Hussein Kamel al-Majid","Fawzi Mutlaq al-Rawi,Jalal Talabani,Abdul Aziz al-Hakim,Mohammad al-Hakim,Massoud Barzani,Hadi Al-Amiri",-,-,-
Attack on the Israeli embassy in Buenos Aires,"Buenos Aires, Argentina","17 March 1992,14:42 pm (UTC-3)",Israeli embassy,suicide bombing,"Hezbollah operative Imad Mughniyah charged by Argentina,Islamic Jihad Organization claimed responsibility",-,-,-,-,-,-,-,-,Spillover of the South Lebanon conflict (1985–2000)
Bombing of Iraq(Operation Desert Fox),Iraq,16–19 December 1998,-,-,-,,"Iraq,Support:",-,-,"George Robertson,Anthony Zinni,William Cohen,Michael Boyce,Elizabeth II,Bill Clinton,Tony Blair","Sultan al-Tai,Saddam Hussein",-,-,Iraqi no-fly zones
2000 Hezbollah cross-border raid,Lebanon–Golan Heights border,"October 7, 2000",-,-,-,,border]] Hezbollah,-,-,-,-,-,-,"the 2000–2006 Shebaa Farms conflict, Hezbollah–Israel conflict, Israeli–Lebanese conflict, and the Iran–Israel proxy conflict"
2000-2006 Shebaa Farms conflict,"Shebaa Farms, Golan Heights–Lebanon border; elsewhere in Lebanon and Israel","October 7, 2000 – July 12, 2006",-,-,-,border]] Israel,"Supported by:,border]] Hezbollah",-,-,"border]]  Ehud Olmert,border]]  Ariel Sharon,border]] Moshe Katsav,border]] Ehud Barak","border]] Hassan Nasrallah,border]] Imad Mughniyah",-,-,"the Hezbollah–Israel conflict, Israeli–Lebanese conflict, and the Iran–Israel proxy conflict"
2005 Hezbollah cross-border raid,"Ghajar, Golan Heights / Lebanon","November 21, 2005",-,-,-,,border]] Hezbollah,-,-,Gal Hirsch,border]] Muhammad Qanso (Sajid ad-Duwayr),-,-,"the 2000–2006 Shebaa Farms conflict, Hezbollah–Israel conflict, Israeli–Lebanese conflict, and the Iran–Israel proxy conflict"
"Operation ""Autumn Clouds""","Beit Hanoun, Gaza Strip",31 October – 8 November 2006,-,-,-,* IDF,"style,PRC,pad,Flag of Hamas]] Hamas",-,-,"Chief of Staff,D. Halutz,,Y. Galant,,style,ISC,Israel","Hamas military leader,style,Flag of Hamas]] K. Mashal,,Hamas leader,Flag of Hamas]] M. Deif,",-,-,the Gaza–Israel conflict and the Israeli–Palestinian conflict
2006 Lebanon War,"Lebanon, Northern Israel and the Golan Heights",12 July – 14 August 2006,-,-,-,"bullets,Supported by:,no,United States",-,-,-,-,-,-,-,the Israeli–Lebanese conflict and the Iran–Israel proxy conflict
2008 Lebanon conflict,Lebanon,"May 7, 2008 – May 14, 2008 (main phase, sporadic clashes continued into July)",-,-,-,"March 14 Alliance,Future Movement,Progressive Socialist Party","FPM,SSNP,Hezbollah,March 8 Alliance,LDP,Arab Democratic Party,Amal Movement",-,-,"Walid Jumblatt,Saad Hariri","Hassan Nasrallah,Michel Aoun",-,-,-
June 2010 West Bank shooting,"Route 60, West Bank (near Beit Hagai)","June 14, 2010",Israeli police officers,Highway shooting ambush,Palestinian Fatah claimed responsibility,-,-,-,-,-,-,-,-,-
2011 southern Israel cross-border attacks,"Near the Ein Netafim spring, on Highway 12, Southern Israel",,-,"spree killing, shooting attack, bombings, rocket attack, suicide bombing, fiight","Presumably 12 assailants. Israel has stated that the attacks were orchestrated by the Gaza based Popular Resistance Committees, who deny involvement. Egyptian sources report that three of the attackers were Sinai-based Egyptians.",-,-,-,-,-,-,-,-,Sinai insurgency and the Gaza–Israel conflict
2012 Bangkok bombings,"Watthana, Bangkok, Thailand",14 February 2012,"Israeli Embassy, Bangkok",Conspiracy,,-,-,-,-,-,-,-,-,Iran–Israel proxy conflict
Operation Pillar of Defense,Gaza Strip,"(  ),14–21 November 2012",-,-,-,,"Militants in the Gaza Strip,PFLP * PRC * Al-Aqsa Martyrs * Jaysh al-Ummah,PIJ * PFLP-GC",-,-,"Amir Eshel,Benjamin Netanyahu,Ehud Barak,Benny Gantz,Yoram Cohen","Abu Jamal,Ahmed Jabari,Mohammed Deif,Ramadan Shallah,Ismail Haniyeh",-,-,"the Gaza–Israel conflict, and the Israeli–Palestinian conflict"
Operation Protective Edge 2014,"Israel,Gaza Strip",8 July – 26 August 2014 (7 weeks),-,-,-,,"Hamas,Islamic Jihad,Gaza Strip,DFLP * PFLP * PRC * al-Aqsa Martyrs Brigades * Abdullah Azzam Brigades * Jaysh al-Ummah",-,-,"Ram Rothberg,Benjamin Netanyahu,Amir Eshel,Moshe Yaalon,Sami Turgeman,Mickey Edelstein,Benny Gantz,Yoram Cohen","Ismail Haniyeh,Mohammed Deif,Ramadan Shalah,Khaled Mashal",-,-,the Gaza–Israel conflict and Iran–Israel proxy conflict
Israeli–Palestinian conflict (2015–16),"Israel, Palestine",September 2015 – June 2016,-,-,-,"Israel Police,*  Magav,Shin Bet,*  IDF",*  Hamas *Palestinian lone wolves *Arab Israeli lone wolves,-,-,-,-,-,-,the Israeli–Palestinian conflict
2019 Israeli airstrikes in Iraq,Iraq,"July 19 – September 22, 2019",-,-,-,Supported by:,"*IRGC,Popular Mobilization Forces",-,-,-,-,-,-,the Iran–Israel proxy conflict
2019–2021 Persian Gulf crisis,"Iraq, Persian Gulf region (including Gulf of Oman, Strait of Hormuz, and Arabian Sea)","5 May 2019 – present,(  )",-,-,-,"Australia,Japan,Indonesia,Bahrain,size,Peoples Mujahedin of Iran,Estonia,Egypt,(2019-2020),Supported by:,IMSC:,UAE,Saudi Arabia,Albania,flagicon image,Lithuania","(political support),Iraqi militias,Supported by:,(military support),China,(political and military support),Hezbollah,Houthis (political and military support),Syria,Russia,flagicon image",-,-,"Naftali Bennett (2021–present),Lloyd Austin (2021–present),King Salman,Joe Biden (2021–present),Ben Wallace,Scott A. Howell,Boris Johnson (2019–present),Theresa May (2019),Mark Esper (2019–2020),Isaac Herzog (2021–present),Scott Morrison,Benjamin Netanyahu (2019–2021),Donald Trump (2019–2021),Mohammed bin Salman,Linda Reynolds,Kenneth F. McKenzie Jr.,Reuven Rivlin (2019–2021),Penny Mordaunt,Benny Gantz (2021–present)","Ebrahim Raisi (2021–present),Abu Mahdi al-Muhandis,Esmail Ghaani,Falih Al-Fayyadh,Hossein Khanzadi,Mohammad-Reza Gharaei Ashtiani (2021–present),Mohammad Bagheri,Hossein Salami,Abdolrahim Mousavi,Ali Khamenei,Amir Hatami (2019–2021),Qasem Soleimani,Alireza Tangsiri,Ahmadali Godarzi,Hassan Rouhani (2019–2021),Qasem Rezaee,Shahram Irani,Alireza Sabahifard,Amir-Ali Hajizadeh",-,-,"the Iran–Saudi Arabia proxy conflict, the Iran–Israel proxy conflict and Cold War II"
2021 Beirut clashes,"Tayouneh, Beirut, Lebanon",14 October 2021,-,-,-,Lebanese Forces (alleged),Lebanese Armed Forces,Amal Movement,-,-,-,-,-,-
2021 Khalde clashes,"Khalde, Lebanon",1 August 2021,-,-,-,(alleged),Future Movement (alleged),-,-,-,-,-,-,-
AMIA bombing,"Buenos Aires, Argentina",18 July 1994,Asociación Mutual Israelita Argentina,Suicide car bombing,"Suspected Hezbollah and Iranian involvement Ansar Allah, an alleged Hezbollah front, reportedly claimed responsibility.",-,-,-,-,-,-,-,-,the spillover of the South Lebanon conflict
Abu Nidal Organization internal executions,,1987&ndash;1988,-,-,,-,-,-,-,-,-,-,-,Palestinian political violence
Aden Emergency,"Western and Eastern Protectorates, Aden Protectorate, Middle East","(  ),14 October 1963 – 30 November 1967",-,-,-,"Protectorate of South Arabia
Supported by:  United States,*  Federation of South Arabia","Egypt,FLOSY
Supported by,Yemen,1962,North Yemen,flagicon image,Soviet Union,NLF,South Yemen",-,-,"Adm. Michael Le Fanu,Harold Wilson,air force,Air Cdre. Michael Beetham,army,Lt. Col. Colin Campbell Mitchell,United Kingdom,naval","Abdullah Al Asnag,Egypt,1958,Gamal Abdel Nasser,Qahtan Muhammad al-Shaabi,flagicon image",-,-,"the Cold War, the Arab Cold War, and the Decolonization of Asia"
Majed Rebellion,Emirate of Transjordan,1923-09-16,-,-,-,Sultan Adwans forces,"Abdullah Is forces,Pro-Hashemite tribesmen,United Kingdom",-,-,Sultan Majed Adwan,"Shiekh Kraiem Bin Nahar,Frederick Peake,Mithqal Al Fayez,Emir Abdullah I of Jordan,Sheikh Minwar Hadid",-,-,-
Al-Qaeda insurgency in Yemen,Yemen,30 December 1998 — present,-,-,-,"al-Qaeda in the Indian Subcontinent,AQAP,*  al-Qaeda Emirate in Yemen,Al-Nusra Front,al-Shabaab,Hadrami Domestic Council faction *al-Dhahab tribesmen
Supported by:,al-Qaeda,*Ansar al-Sharia,Council of Sunni Scholars and al-Jamaa,**Aden-Abyan Islamic Army,al-Qaeda in the Islamic Maghreb","Yemeni Air Force
Supported by:,Supported by:,Supported by  ----  Houthis,*  Yemeni Republican Guard,Yemen Army,Republic of Yemen","Wilayah al-Bayda,Wilayah Green Brigade,Wilayah Shabwah,Wilayat Sanaa *  Wilayat Aden-Abyan,Wilayah Hadramawt
Supported by:,Wilayah Lahij,Wilayah al-Yemen,Wilayah Ataq",-,"Ibrahim al-Asiri,Ibrahim al-Qosi,Qasim al-Raymi,Mohamed Atiq Awayd Al Harbi,Ibrahim al-Banna,Nasir al-Wuhayshi,Khalid Batarfi,Muhammad Said Ali Hasan,Nasser bin Ali al-Ansi,Fahd al-Quso,Shawki al-Badani,Samir Khan,Jalal Balaidi,Said Ali al-Shihri,Othman al-Ghamdi,Harith bin Ghazi al-Nadhari,Ibrahim al-Rubaysh,Anwar al-Awlaki","Abdrabbuh Mansur Hadi,(2012–present),(1998–12),(2017–21),Barack Obama,Donald Trump,(2009–17),(2001–09),George W. Bush,Joe Biden,(2021–present),Ali Abdullah Saleh,(1998–2001),Bill Clinton","Abu Osama al-Muhajir,Abu Bilal al-Harbi",-,the War on terror and the Yemeni Civil War
Al-Wathbah uprising,-,January 1948,-,-,-,Iraqi Police,"Kurdish Democrats,* Student Cooperation Committee (communists),Student wings of the National Democratic Party and the Independence Party,Progressive Democrats,Populists",-,-,-,Yusuf Salman Yusuf (Fahd),-,-,-
Alwaziri coup,Mutawakkilite Kingdom of Yemen,"17 February – March, 1948,(  )",-,-,-,The Alwazirs,"border]] The Hamidaddins,Jemens flagg",-,-,Abdullah bin Ahmad al-Wazir,"border]] Ahmad bin Yahya,border]] Yahya Muhammad Hamid ed-Din,Jemens flagg",-,-,Yemeni internal conflicts
Anglo-Iraqi War,Kingdom of Iraq,"Mercol, Gocol, and Harcol operations against guerrillas continued into June.",-,-,-,"*  *  Abd al-Ilah loyalists
Air and naval support :,Greece,*  *  Assyrian Levies,Allied powers :","Air support :,Axis powers :",-,-,"Archibald Wavell,John DAlbiac,William Fraser,Claude Auchinleck,Ouvry Roberts,Edward Quinan,William Slim,H. G. Smart","Mahmud Salman,Salah al-Sabbagh,Kamil Shabib,Rashid Ali al-Gaylani,Fawzi al-Qawuqji,Fahmi Said,Amin al-Husseini,Werner Junck",-,-,the Second World War
Anglo-Soviet Invasions of Iran,Imperial State of Iran,25–31 August 1941,-,-,-,United Kingdom,Imperial State of Iran,-,-,"Dmitri T. Kozlov,William Slim,Edward Quinan,Sergei Trofimenko","Mohammad Shahbakhti,Shah Rezā Pahlavi,Ali Mansur,Gholamali Bayandor   Ahmad Nakhjavan,Mohammad-Ali Foroughi",-,-,the Mediterranean and Middle East theatre of the Second World War
Arab Cold War,Arab world,"23 July 1952 – 11 February 1979,(  )",-,-,-,"Tunisia,Kingdom of Egypt (1922–1953),date,Somalia (1969–1977)  *Arab Nationalist Movement  *Abu Nidal Organization  ----,Somalia,(until 1984),Polisario Front / Sahrawi Arab Democratic Republic,Arab Nationalist Movement,Somalia (1969–1977),Republic of Egypt (1953–1958),South Yemen,Egypt (until 1973),SADR,Baathist Iraq,cn,1959,Iraqi Republic (1958–1968),(1954–1961, since 1963)  *   Libya (after 1969)  *   *  Sudan (1969–1985)  *   *  (1962–1970)  *   *  (until 1984)  *  Republic of Kuwait (1990)  *  Palestine Liberation Organization / State of Palestine  *  Polisario Front / Sahrawi Arab Democratic Republic,Libyan Arab Republic (1969–1977),Libya (after 1969),Second Syrian Republic,flagicon image,Iraq (after 1958),Arab Islamic Republic  ----
United Arab States,*,(1954–1961, since 1963),United Arab Republic,North Yemen,Republic of Kuwait (1990),link,Syria,Socialist Peoples Libyan Arab Jamahiriya,Federation of Arab Republics,Palestine,(1962–1970),Sudan (1969–1985),Palestine Liberation Organization / State of Palestine,History of Egypt under Anwar Sadat#Domestic policy and the Infitah,May 2021,Algeria,flagdeco,Mauritania,Sudan,Kuwait","Oman,1970,date,Zanzibar (until 1964),Bahrain,Somalia,Mutawakkilite Kingdom of Yemen,August 2021,(until 1958),Imamate of Oman (until 1959),Iraq,Jordan,Libya,Muscat and Oman (until 1970),(since 1970)  *   Zanzibar (until 1964),Egypt,Protectorate of South Arabia (until 1967),cn,United Arab Emirates,Syria (before 1954, 1961–1963),Saudi Arabia,flagicon image,(after 1971),Kingdom of Iraq,Somalia (since 1978),Flag of the Muslim Brotherhood.gif,(until 1970),*   *   *   (before 1969, since 1985)  *  Somalia (since 1978)  *   *  Muslim Brotherhood  ----  *  *  ----,North Yemen,Qatar,Republic of the Sudan (1956–1969),link,Syria,(since 1970),June 2021,Kingdom of Libya,1972,South Arabia,Kingdom of Yemen,Morocco,May 2021,(before 1969, since 1985),flagdeco,Kuwait,Sudan,1932,Federation of the Emirates of the South / Federation of South Arabia (until 1967),(until 1969),(since 1974)",-,-,"Hafez al-Assad,Kingdom of Egypt (1922–1953),United Arab Republic,Saddam Hussein,Palestine Liberation Organization,Baathist Iraq,Algeria,Gamal Abdel Nasser,Houari Boumédiène,link,Socialist Peoples Libyan Arab Jamahiriya,Syria,Muammar Gaddafi,Libyan Arab Republic (1969–1977),flagicon image,Republic of Egypt (1953–1958),Yasser Arafat","Oman,1970,Bahrain,Morocco,Emir Isa bin Salman,Emir Jaber,Sultan Qaboos,King Hussein,Kuwait,Saudi Arabia,King Hassan,King Faisal,Jordan",-,-,the Cold War
Arab Revolt,"Hejaz, Transjordan, Syria, Southern Arabian Peninsula, of the Ottoman Empire",June 1916 – October 1918,-,-,-,<hr>Support:,<hr>Support:,-,-,"Hussein bin Ali,Abdullah bin Hussein,Ali bin Hussein<hr>  T. E. Lawrence,Faisal bin Hussein,Edmund Allenby","Fakhri Pasha,Djemal Pasha,Muhittin Akyüz,Mehmed V,Saud bin Abdulaziz<hr>  Otto Liman von Sanders",-,-,the Middle Eastern theatre of World War I
Arab separatism in Khuzestan,"Khuzestan, Iran","1922 – present,(  )",-,-,-,Sublime State of Persia (1918–1925),"Sheikhdom of Mohammerah,1922–1924",-,-,"Ruhollah Khomeini,Reza Shah,Ali Khamenei,Mohammad Reza Shah","Oan Ali Mohammed  ----
Habib Jabr al-Kabi
Ahmad Mullah Nissi  Salah Abusharif Al-Ahwazi,Khazal al-Kabi",-,-,Iran–Saudi Arabia proxy conflict (from 1980)
Arab–Israeli conflict,Middle East,"Main phase: 1948–1982,15 May 1948 – ongoing,(  )",-,-,-,"(1956 Suez Crisis),Supported by:,(1973–),South Lebanon Army (1984–2000),&nbsp;France,Free Lebanon State (1978–1984),*Mahal volunteers (1947–1949)","(1948–),*AHW (1947–1949),*Fedayeen (1949–1964)  (1964–1993),(1967–1991),Supported by:,(1948–1994),(1948–2020),(2000–2005),*  (1948–1978),(1948–1959),(2006–2012),Gaza Strip (2006–)
Supported by:",-,-,David Ben-Gurion (1948–1963)  Yigael Yadin (1948–1952)  Yaakov Dori (1948–1949)  Yitzhak Rabin (1948–1995)  Ariel Sharon (1948–2005)  Ehud Barak (1948–2013),John Bagot Glubb (1948–1986)  Habis al-Majali (1948–2001)   Abd al-Qadir al-Husayni   Hasan Salama   Ahmed Ali al-Mwawi (1948–1979)  Haj Amin Al-Husseini (1948–1974)  King Farouk I (1948–1965)  Ahmad Ali al-Mwawi (1948–1979)  Muhammad Naguib (1948–1984)  Saad El Shazly (1948–2011),-,-,-
Ararat rebellion,"Karaköse Province (present day Ağrı Province), Turkey","October 1927 – September 17, 1930",-,-,-,,"Armenian Revolutionary Federation,Republic of Ararat,Supported by:",-,-,"Fevzi Pasha,Gazi Mustafa Kemal,Salih Pasha,İzzettin Pasha,İsmet Bey,İbrahim Tali Öngören","Ibrahim Heski,Halis Öztürk,Ihsan Nuri,Ferzende",-,-,Kurdish rebellions in Turkey
Armenian genocide,Ottoman Empire,1915–1917,Ottoman Armenians,"Genocide, death march, forced Islamization","child,label1,data1,Trials,yes",-,-,-,-,-,-,-,-,World War&nbsp;I
Battle of At Tiri,At Tiri,6-12 April 1980,-,-,-,border]] South Lebanon Army,"Fiji,Netherlands,Ireland,border]] UNIFIL",-,-,border]] Saad Haddad,David Taylor,-,-,the Lebanese Civil War
Bab al-Tabbaneh–Jabal Mohsen conflict,"Tripoli, Lebanon",1976 – 2015,-,-,-,"Local Armed Groups,Free Syrian Army,Islamic State of Iraq and the Levant,Jabhat al-Nusra",Arab Democratic Party,-,-,"Ziad Alloukeh,Jalal Dandashi,Hashem Minkara,Husam Al Sabbagh,Other weaponsmiths and warlords,Said Shaaban,Amer Arish","Rifaat Eid,Ali Eid",-,-,-
Battle of Karameh,"Karameh, Jordan",21 March 1968,-,-,-,Israel (IDF),"Jordan (JAF),PLO",-,-,"Uzi Narkiss,Levi Eshkol,Moshe Dayan",-,-,-,the War of Attrition
Battle of Sidon,"Sidon, Lebanon",2 - 6 July 1991,-,-,-,"Supported by:,Lebanese Government","Palestine Liberation Organization,Democratic Front for the Liberation of Palestine *Popular Front for the Liberation of Palestine",-,-,Elias Hrawi,Unknown,-,-,the Lebanese Civil War
Battle of Tripoli,"Tripoli, Lebanon",November – 20 December 1983,-,-,-,"Supported by:,Pro-Syrian Palestinian factions","Palestine Liberation Organization,Islamic Unification Movement",-,-,"Hafez al-Assad,Said al-Muragha (""Abu Musa""),Suleyman al-Issa,Abu Khalid al-Amla","Yassir Arafat,Sheikh Saeed Shaaban,Khalil al-Wazir",-,-,the Lebanese Civil War
معركة زحلةBattle of Zahle,"Zahle, Lebanon","December 22, 1980 – June 30, 1981",-,-,-,Lebanese Forces,"Hannache Group,Palestine Liberation Organization,Arab Deterrent Force,Syrian Armed Forces",-,-,Bachir Gemayel,"Hafez Al Assad,Elias Hannache",-,-,the Lebanese Civil War
