Sentence,Label
"''They should lag a rapidly rising stock market,'' he explained, ''because hedging has a cost.''",Distant_Evaluation
The money continues to flow into hedge funds.,Distant_Evaluation
"Hedge Fund Research, a Chicago-based research firm, estimates that $110 billion flowed into new funds through November.",Cause_General
A study released by Deutsche Bank yesterday surveyed investors who represent $900 billion of the total $1.4 trillion in the industry and predicted that $110 billion will flow into the sector in 2007.,Distant_Expectations_Consequences
"''I don't think demand will slow down anytime soon unless we see a lot of disasters,'' Mr. Griswold said.",Distant_Expectations_Consequences
''There's a bit of a herd mentality here.,Distant_Evaluation
"If you are not in hedge funds, people look funny at you, like, 'Why aren't you?'",Distant_Evaluation
'',Distant_Evaluation
Heavy investments in alternatives and hedge funds in particular have paid off for endowments.,Distant_Evaluation
"More than 79 percent of the growth in endowments with assets of $500 million to $1 billion resulted from investment returns (as opposed to gifts, for example).",Cause_General
"Institutions with more than $1 billion derived more than 75 percent of their returns from their investments, according to the Commonfund survey.",Cause_General
"A separate study conducted by Casey, Quirk & Associates last fall also showed satisfied customers.",Cause_General
About 72 percent of respondents said that hedge fund returns came within 1 percentage point of their target.,Cause_General
A surprising 25 percent of investors said they did better than expected: 19 percent exceeded their target by 1 to 5 percentage point.,Cause_General
Only 3 percent said their investment underperformed.,Cause_General
There are other reasons to expect robust growth.,Distant_Evaluation
"Pension funds are wading in, raising their investments in alternatives in general and hedge funds in particular.",Distant_Evaluation
"The Casey, Quirk study estimated that institutions globally will add $1 trillion in money by 2010, compared with $360 billion today.",Distant_Expectations_Consequences
"The growing role of institutions has tempered expectations about returns: 80 percent of those surveyed by Casey, Quick said they expected returns below 10 percent, with the bulk anticipating 8 to 9 percent.",Distant_Expectations_Consequences
Only 20 percent expected more than 10 percent.,Distant_Expectations_Consequences
"Megabucks compensation, meanwhile, still draws talent to hedge funds.",Cause_General
"''Hedge funds are here to stay because of the compensation,'' Mr. Griswold said.",Cause_Specific
''This is where the best and brightest managers are gravitating to.'',Distant_Evaluation
The unforgiving nature of the industry means that those who do not perform will be booted out.,Distant_Evaluation
"According to Hedge Fund Research, since the beginning of 2005 almost 1,300 hedge funds have closed.",Cause_General
"During that time, more than 3,000 have been started.",Cause_General
"There will be more Amaranth Advisors (which was based in Greenwich, Conn.) -- funds that blow up because of bad and greedy bets.",Distant_Expectations_Consequences
There will be frauds and there may be a market meltdown.,Distant_Expectations_Consequences
"But alternative investing -- in private companies, with hedge fund managers who more aggressively try to time the markets, and in forests and wineries, is thriving.",Distant_Evaluation
STREET SCENE: INSIDER,NA
"MANY investors have been heeding market strategists' advice to reduce portfolio risk by putting more money into stable, high-quality, dividend-paying stocks.",Distant_Evaluation
"But instead of plowing this money into large-capitalization companies based in the United States, investors have redirected much of it into shares of blue-chip foreign companies based largely in Western Europe and Japan.",Main
"Indeed, foreign large-cap blend funds -- which primarily invest in blue-chip growth and value stocks in developed markets -- were the most popular category of funds through the first 11 months of 2006, according to the Financial Research Corporation in Boston.",Cause_Specific
Foreign large-blend funds attracted $43.8 billion of net new money during this stretch.,Cause_General
"By comparison, highflying diversified emerging-market stock funds attracted $6.6 billion and domestic large-blend funds drew $4 billion, according to Financial Research.",Cause_General
"But does investing in blue chips abroad achieve the same results for a portfolio as investing in big, high-quality domestic stocks?",Distant_Evaluation
"The answer is still no, given the currency risks that you inevitably take on when investing abroad.",Distant_Evaluation
"Yet a growing number of people argue that foreign and domestic stocks are becoming more alike, given the increased correlation among the world's markets.",Distant_Evaluation
"Since 1970, for example, the Morgan Stanley Capital International EAFE index, for European, Australian and Far Eastern stocks, has returned 11.6 percent a year, on average.",Cause_General
That is nearly identical to the annualized gain of 11.2 percent for the Standard & Poor's 500-stock index of domestic blue chips.,Cause_General
"But keep in mind that those slightly higher gains came with slightly higher risk, as foreign stocks on their own are still more volatile than domestic equities.",Distant_Evaluation
"Sometimes, a modest dose of a risky asset can make an entire portfolio less volatile.",Distant_Evaluation
"From 1970 to 2005, a 100 percent stock portfolio invested in the S.& P. 500 would have earned 11.1 percent, annualized, according to S.& P. And that is with a so-called standard deviation -- a popular measure of volatility -- of 16.8.",Cause_General
"But by moving 25 percent of that money from the S.& P. 500 to the EAFE index, the portfolio would have earned 11.4 percent a year, on average, with a slightly lower standard deviation of 16.4.",Cause_General
"Add too much, however, and more volatility enters the mix.",Cause_General
"In this case, had 75 percent of the equity stake been invested in the EAFE index and 25 percent in the S.& P. 500, the portfolio would have earned the same 11.4 percent, annualized, from 1970 to 2005.",Cause_General
But the portfolio's volatility would have shot up to 19.1.,Cause_General
"This shows that while the global markets may be moving more in sync, ''the world markets aren't completely integrated yet,'' said James D. Peterson, vice president of the Schwab Center for Investment Research in San Francisco.",Distant_Evaluation
Consider the recent performance of foreign and domestic blue chips.,Cause_General
"Over the last five years, the average foreign large-blend fund returned 13.8 percent a year, on average, according to Morningstar Inc., the fund tracker, as many foreign economies have grown faster than that of the United States and as the dollar has weakened of late.",Cause_General
"By comparison, domestic large-cap blend funds advanced only 6.3 percent a year, on average, during this stretch.",Cause_General
"And last year, foreign blue-chip funds soared 25.1 percent, beating the returns of domestic blue-chip funds by more than 10 percentage points.",Cause_General
"Arguably, much of the investor interest in foreign blue chips can be attributed to their outperformance, not to their similarities to their domestic counterparts.",Cause_Specific
"''A lot of people just want to be exposed to foreign because it's been doing so well,'' said Ronald W. Rogé, a financial planner in Bohemia, N.Y. ''It's performance chasing.''",Distant_Anecdotal
"To be sure, the correlation between the S.& P. 500 and the EAFE index has been 0.8 over the last three years, according to Morningstar.",Cause_General
"On paper, that is fairly high, because a correlation of 1.0 implies that two assets are moving in perfect tandem.",Cause_General
"But consider that over this same stretch, the correlation between the S.& P. 500 and the Russell 2000 index of small domestic stocks was actually greater, 0.83, according to Morningstar.",Cause_General
Yet investors take it on faith that large-cap and small-cap stocks are entirely different asset classes.,Distant_Evaluation
There are several reasons for continuing to treat foreign and domestic blue-chip stocks separately.,Distant_Evaluation
"''A big reason is the issue of currency,'' Mr. Peterson said.",Distant_Evaluation
"Investors who put money to work in a foreign market should consider that market's volatility, as well as that of the currency in which its stocks trade.",Distant_Evaluation
"In 2006, the EAFE index rose 13.8 percent when measured in local currencies, according to MSCI.",Cause_General
"But for Americans to make an investment abroad, money must first be converted from dollars to those local currencies to buy the securities.",Cause_General
"And when it comes time to sell, the money has to be reconverted back into dollars.",Cause_General
"In dollar terms, the EAFE index actually returned much more last year: 23.5 percent.",Cause_General
That is because the dollar lost value against the euro.,Cause_General
A weakening dollar is a tailwind for Americans investing abroad because each share of their foreign stock becomes worth that much more in dollars.,Distant_Evaluation
SO isn't this good news for domestic investors?,Distant_Evaluation
It certainly was last year.,Distant_Evaluation
"But what happens if the dollar turns around this year and appreciates, as it did in 2005?",Distant_Expectations_Consequences
"In that case, investors could see a big chunk of their foreign stock market gains evaporate -- even if the global stock markets are highly correlated -- simply because the dollar gained value.",Distant_Expectations_Consequences
"This is one reason that investors should always assess several factors in the risk and return of a particular stock, said Francis M. Kinniry Jr., a principal in the investment counseling and research department at the Vanguard Group.",Distant_Evaluation
"These include its industry, its value or growth orientation, its market cap and the region where it operates.",Distant_Evaluation
"''While issues of style and cap size are always important, in many cases they would be secondary to geographic regions,'' Mr. Kinniry said, because stocks will always be affected by their regional economies and local currencies.",Distant_Evaluation
"In other words, while geography may not be as important a subject as it used to be for investors, it is still one to be studied.",Distant_Evaluation
FUNDAMENTALLY Paul J. Lim is a financial writer at U.S. News & World Report.,NA
E-mail: fund@nytimes.com.,NA
"THE dollar fell against many currencies in 2006, and many Wall Street analysts are predicting more of the same this year.",Main
"That needn't worry investors, who could profit from a continued decline in many ways.",Distant_Evaluation
But some strategists caution that it may be wiser to try to benefit indirectly from a weaker dollar -- by holding stocks or stock funds focused on certain industries and countries -- than by betting directly on foreign currencies.,Distant_Evaluation
"''You've got to know your limitations,'' said Sam Stovall, the chief investment strategist at Standard & Poor's.",Distant_Evaluation
"''Unless you make millions of dollars on Wall Street, you probably shouldn't be speculating in currencies.''",Distant_Evaluation
"In 2006, the dollar fell 10.2 percent against the euro and 12 percent against the British pound, although it rose 1.1 percent against the Japanese yen.",Cause_General
"Mr. Stovall said the best move for most individual investors would be to stock up on the shares of American multinational corporations that earn a lot of their revenues abroad, as well as on foreign stocks.",Distant_Evaluation
"''We feel that many foreign economies are not as far along in their economic cycle, and they have good growth potential now,'' he said.",Distant_Expectations_Consequences
"He recommended that individual investors allocate 40 percent of their total portfolios to domestic stocks, 20 percent to foreign stocks, 25 percent to domestic bonds and 15 percent to cash instruments like money market accounts and certificates of deposit.",Distant_Evaluation
"In terms of domestic stocks, he favors large stocks like those in the S.& P. 500- stock index.",Distant_Evaluation
"On average, the companies in this index earn 41 percent of their revenue in foreign countries.",Cause_General
"''If you believe that international economies are going to do fairly well, and the dollar is likely to weaken,'' Mr. Stovall said, ''then you could get a good bit of tailwind if you transfer those foreign profits back to U.S.",Distant_Expectations_Consequences
dollars.'',Distant_Expectations_Consequences
But averages can hide wide variances.,Distant_Evaluation
Some industries represented in the S.& P. 500 draw much more of their revenue abroad than others.,Cause_General
"Companies in the energy and technology sectors, for example, generate well over half of their sales outside the United States, while the utilities and telecommunications companies in the index produce a vast majority of their revenue at home.",Cause_General
"For example, the handful of telecommunications providers in the index get just 3 percent of their revenue, on average, in foreign countries.",Cause_General
"Stuart A. Schweitzer, global markets strategist at JPMorgan Asset Management, has recommended European stocks for a few years.",Distant_Evaluation
"He said that individual investors should now focus on developed markets -- and that if they have made a lot of money in emerging markets funds in recent years, they may want to consider rebalancing their portfolios.",Distant_Expectations_Consequences
"''You have to be a little bit concerned that emerging-markets debt and equity may have gotten a bit ahead of themselves,'' he said.",Distant_Evaluation
Mr. Schweitzer said that any further appreciation of the euro could be modest this year.,Distant_Expectations_Consequences
"Still, he added, European stocks were appealing investments for a host of other reasons.",Distant_Evaluation
"He pointed out that the average dividend yield in the S.& P. 500 index was now 1.8 percent, compared with 3.2 percent for the MSCI United Kingdom index and 2.5 percent for the MSCI Europe index, excluding Britain.",Cause_General
"For Americans investing in Britain or on the continent, a further slide by the dollar against the pound or the euro could bolster those dividend advantages.",Distant_Expectations_Consequences
"''Meanwhile, European companies are cutting costs and restructuring, and that's starting to show up in their earnings growth,'' Mr. Schweitzer said.",Distant_Evaluation
"Earnings per share for European stocks, he said, grew almost twice as fast in the first five years of this decade as they did during the last five years of the 1990s.",Cause_General
"On the fixed-income side of their portfolios, some investors may be tempted to profit directly from a falling dollar by buying foreign bonds or CDs.",Distant_Expectations_Consequences
"But Martin J. Mauro, the fixed-income strategist at Merrill Lynch, said he didn't think the time was ripe for investing in foreign bonds.",Distant_Evaluation
"Interest rates are likely to fall in the United States this year but rise in many other countries, Mr. Mauro said.",Distant_Expectations_Consequences
"Bond prices move in the opposite direction of interest rates, so both European and Asian bonds would generally be unattractive for American investors, he said.",Distant_Evaluation
Many economists predict that the dollar will fall further against the Japanese yen than it will against the euro -- largely because the dollar rose slightly against the yen in 2006.,Main
S.& P. forecasts a dollar decline of 6.8 percent against the yen this year; Merrill Lynch sees a decline of 10 percent.,Main
But Mr. Mauro said American investors would be giving up too much yield if they bought Japanese bonds or CDs.,Distant_Evaluation
"Short-term interest rates are less than 1 percent in Japan, versus 5 percent in the United States.",Cause_General
And Mr. Mauro said he expected the dollar to fall by only an additional 1 percent or so against the euro -- which he said wouldn't be quite enough to make up for the yield that Americans would sacrifice by buying European bonds or CDs.,Main
"One-year government bills in the United States currently pay around 5 percent, versus 3.9 percent in Germany.",Cause_General
"For now, he recommends high-quality domestic bonds.",Distant_Evaluation
"He said typical individual investors should put at most 5 percent of their bond portfolios into high-yield bonds, and none into emerging-market debt.",Distant_Evaluation
"Although short-term rates are relatively high, he recommends intermediate maturities -- 5 to 15 years -- because he expects domestic interest rates to be lower next year.",Distant_Expectations_Consequences
"''If we're right, and the economy weakens and the Fed cuts rates, then what investors will earn on short-term rates will be a lot less next year,'' he said.",Distant_Expectations_Consequences
"''It's a tough move to make now, but they'll be better off a year from now'' if they buy longer-maturity bonds or CDs today.",Distant_Evaluation
"FINALLY, if investors are really worried about the dollar, Michael Metz, the chief investment strategist at Oppenheimer & Company, advises them to put about 5 percent of their portfolios into gold.",Distant_Evaluation
He recommends buying the metal through an exchange-traded fund like StreetTracks Gold Shares or the iShares Comex Gold Trust -- both of which are backed by bars of gold in a vault.,Distant_Evaluation
"He predicted that gold could rise as much as 20 percent in 2007, to around $750 an ounce.",Distant_Expectations_Consequences
"A falling dollar, Mr. Metz said, may prompt foreign central banks to sell some their dollar reserves to buy gold.",Distant_Expectations_Consequences
He also said that rising incomes across Asia could become a factor.,Distant_Expectations_Consequences
"''The great theme of this century,'' he said, ''will be the enormous transfer of wealth to developing nations, where they have traditionally used gold as a store of value.''",Distant_Expectations_Consequences
SUNDAY MONEY: INVESTING,NA
"As the court-appointed guardian and self-described fixer of some of America's most wayward companies, Richard C. Breeden, the former top securities regulator, is considered a pillar of corporate ethics and governance.",Distant_Evaluation
Now he trying to become another paragon -- that of savvy investor in troubled companies.,Main
And in the coming months he will face his first major test: taking on the Applebee's International restaurant chain in a proxy fight.,Distant_Expectations_Consequences
"Mr. Breeden's fledgling advocacy hedge fund, Breeden Partners, which owns a 5.2 percent stake in Applebee's, began its battle last month, when Mr. Breeden nominated four close friends to its board.",Cause_General
"Hedge funds, the lucrative private investment pools for institutions like endowments and pensions, and for the wealthy, are nearly always managed by former Wall Street traders or money managers.",Distant_Evaluation
Mr. Breeden -- a Harvard-trained securities lawyer -- has no investing experience.,Cause_General
But he is seeking to bring his knowledge of securities laws and corporate governance into investing in underperforming companies.,Main
Some in the business are skeptical.,Distant_Evaluation
"''I guess I wonder, how does a guy with no investment management experience run a hedge fund?''",Distant_Evaluation
"asked Philip Goldstein of Bulldog Investors, which runs hedge funds similar in style and intent to that of Mr. Breeden.",Distant_Evaluation
"''You get the guys leaving Goldman Sachs and raising $2 billion, but this is even more astonishing -- he doesn't have a track record.''",Distant_Evaluation
Mr. Goldstein added that ''it's kind of like starting at the top -- you'd think you'd want to work at a hedge fund for a while.'',Distant_Evaluation
"But what Mr. Breeden may lack in investing experience, he makes up for in other ways, according to his friends, who cite his hard-driving nature, his intellect, his attention to detail and his decisiveness, if marred at times by a divalike attitude.",Distant_Evaluation
"''If it's a bad idea, Richard will kick it down the toilet and flush,'' said Laurence E. Harris, a lawyer in Washington who is one of four close friends that Mr. Breeden nominated last month to the board of directors at Applebee's, with a view to gaining a say in how the company is run.",Distant_Anecdotal
"Mr. Breeden ''knows what to look for,'' Mr. Harris said.",Distant_Anecdotal
"''He's a lot less likely to be fooled than a lot of people who are pure investors, because he understands the mechanics of corporate governance and securities laws.''",Distant_Anecdotal
"Mr. Breeden, 57, declined to comment for this article.",Cause_General
"He has not only has a new professional life, but a new personal one as well.",Distant_Historical
"Last year, Mr. Breeden married a trust administrator of the Bennett Funding Group, which he had overseen as the court-appointed monitor.",Distant_Historical
"(He and his first wife, Holly, were divorced in 2005 after 27 years of marriage.)",Distant_Historical
Mr. Breeden is now perhaps the most senior former government official ever to run a hedge fund.,Distant_Evaluation
Mr. Breeden oversaw the Securities and Exchange Commission from 1989 to 1993.,Distant_Historical
"He then ran one of the world's largest accounting firms, Coopers & Lybrand, before establishing his private firm, Richard C. Breeden & Company, in Greenwich, Conn., to advise companies hobbled by ethics and governance problems.",Distant_Historical
"In recent years, he has served as the high-profile outside monitor for scandal-plagued firms like WorldCom, which filed for bankruptcy in 2002 and Conrad Black's former company, Hollinger International.",Distant_Historical
"It was when he was overseeing the bankruptcy of WorldCom, later MCI, that Mr. Breeden first began thinking about starting a hedge fund, according to friends and associates.",Cause_Specific
"Seeing the roles played by the Mexican tycoon Carlos Slim Helú and Mark Neporent of the hedge fund Cerberus Capital as investors in MCI, he asked Mr. Harris, ''I'm thinking of starting a hedge fund -- what do you think?''",Distant_Anecdotal
"Mr. Harris, who recalled the conversation, said Mr. Breeden told him, ''The one thing I don't want to do is fail.''",Distant_Anecdotal
"Mr. Breeden's right-hand man at Breeden Partners is his friend Steven J. Quamme, a one-time mergers-and-acquisitions lawyer with whom Mr. Breeden once worked at Baker Botts, the Washington law firm.",Distant_Evaluation
"When asked who was running the hedge fund -- in other words, picking companies in which to invest, Mr. Harris replied, ''I don't think you can actually separate Richard and Steve -- they're joined at the hip.''",Distant_Anecdotal
Mr. Quamme did not return calls requesting comment.,Cause_General
"An entrepreneur as well as an investor, Mr. Quamme has picked some winners in his past jobs, including a chain of video stores that was sold to Blockbuster Video early last decade and a chunk of the Einstein Brothers Bagels franchises.",Distant_Historical
"Mr. Quamme, whom Mr. Breeden also nominated to serve on the Applebee's board, has also endured some setbacks.",Distant_Evaluation
"His 50 percent stake in Boston Chicken, through Mayfair Partners, an investing partnership that he ran in the mid-1990s, went stale in 1998 when the restaurant and the partnership both filed for bankruptcy.",Distant_Historical
"It is, of course, far too early to tell whether Mr. Breeden's knowledge and experience will make his hedge fund, whose philosophy is to invest in American companies with fixable problems in policy and governance, a winner.",Distant_Evaluation
Some analysts do not see his fund making an impact on Applebee's.,Distant_Evaluation
"''We do not see a dramatic shift near-term in the company's strategic direction that would lead to the 'value creating' programs proposed by the activist,'' Andrew Barish, an analyst with Banc of America Securities wrote earlier this month.",Distant_Evaluation
Applebee's declined to comment on Mr. Breeden's proposals.,Cause_General
"The fund sought to raise $1.25 billion but has so far brought in only around $500 million, including $400 million from Calpers, the California pension fund.",Cause_General
"The hedge fund earned 7.73 percent in the third quarter of 2006, according to the most recent available data from Calpers.",Distant_Historical
"To some, Mr. Breeden's leap into the hedge fund business on the heels of serving as a court-appointed monitor for so many large companies raises questions.",Distant_Evaluation
"''It's an appearances problem, and it bothers me,'' said Michael Feiner, an ethics professor at Columbia Business School, adding that he thought government officials should be required to wait two years before working at hedge funds or lobbying groups.",Distant_Evaluation
''I'm disappointed that he is doing this.'',Distant_Evaluation
Mr. Breeden's spokesmen declined to answer questions on whether Breeden Partners would prohibit itself from investing in companies for which Mr. Breeden had served as a court-appointed monitor.,Cause_General
And the transparency that Mr. Breeden championed at the troubled companies he has overseen may go by the wayside with his new venture.,Distant_Expectations_Consequences
"Like many hedge funds, Breeden Partners has affiliated entities registered in the Cayman Islands, to take advantage of generous offshore tax benefits.",Cause_General
STREET SCENE,NA
"Correction: January 23, 2007, Tuesday An article on the Street Scene page of Business Day on Friday about Richard C. Breeden, the former top securities regulator who is started a hedge fund aimed at troubled companies, misstated his former position at the accounting firm Coopers & Lybrand.",Distant_Historical
He was a co-chairman of the firm's international business; he did not run the firm.,Distant_Historical
"American investors, having seen the dollar weaken and foreign stock markets consistently outperform the American market, are putting record amounts of money into overseas securities.",Main
"Figures released this week by the Treasury Department showed that Americans spent a net $40.3 billion on overseas securities in March, making that the second-heaviest outflow ever, trailing only the $48.7 billion figure for last December.",Cause_Specific
"The accompanying chart shows 12-month totals for such purchases, with smaller charts breaking down stock and bond transactions.",Cause_General
"All figures are net, the difference between securities purchased and sold, so negative numbers show when Americans were net sellers.",Cause_General
"For the 12 months through March, Americans bought a record $277 billion in foreign long-term securities.",Cause_Specific
"Those purchases pale next to the offsetting purchases of American securities by foreigners, which came to $1.15 trillion over the most recent 12 months.",Distant_Evaluation
"Nonetheless, they are important because the United States needs to attract foreign investments to offset the huge trade deficit, which is only starting to decline.",Distant_Evaluation
"For the 12 months through March, that deficit came to $754 billion.",Cause_General
"With Americans clamoring to buy foreign securities -- not to mention the foreign cars, toys and other goods that make up the trade deficit -- the dollar has lost value, particularly against the euro and the British pound, the two principal currencies whose central banks do not intervene to keep them from rising.",Distant_Evaluation
The figures show that Americans bought a net $168.9 billion of foreign bonds over the 12-month period.,Cause_Specific
"By contrast, for all of 2005 the figure was only $45.1 billion.",Distant_Historical
"The attraction of foreign stocks has also been strong, but is not at record levels.",Distant_Evaluation
"The $108.3 billion purchased during the 12-month period is well below the record of $140 billion, set in the 12 months through last May.",Distant_Evaluation
The popularity of foreign stocks has come as foreign markets consistently have done better than the American one.,Distant_Evaluation
"For the 12 months through April, the Standard & Poor's 500, a prominent index of large American companies, was up 13.1 percent.",Cause_Specific
"But the Morgan Stanley Capital International EAFE index, which covers all developed countries except the United States, rose 17 percent.",Cause_Specific
"It was the 44th consecutive month that the EAFE index has shown a better 12-month performance than the S.&P., matching the record length of a stretch that ended in February 1989, another time of dollar weakness.",Cause_General
"By contrast, Americans were net sellers of foreign stocks in 1999, a time when the dollar was strong and the American stock market was roaring ahead.",Distant_Historical
"For 56 months that ended in August 1999, the S.&P.",Distant_Historical
500 showed better 12-month performance than did the EAFE index.,Distant_Historical
If Americans keep sending their dollars overseas -- whether to buy socks or stocks -- that could put further pressure on the value of those dollars.,Distant_Expectations_Consequences
OFF THE CHARTS,NA
"For the two bidders for Clear Channel Communications, the third time may be the charm.",Distant_Expectations_Consequences
"The company, which owns the largest radio network in the nation, agreed yesterday to accept a revised buyout offer from Bain Capital and Thomas H. Lee Partners, potentially clinching a deal that had eluded the two private equity firms for months.",Main
"Unlike the previous offers, the latest one was drawn up with guidance by several shareholders, Scott Sperling, managing director of Thomas H. Lee, said yesterday.",Distant_Evaluation
"""We were guided to this spot by the shareholders,"" Mr. Sperling said, specifically highlighting the roles played by Highfields Capital Management and Fidelity Investments in reaching the new deal.",Distant_Evaluation
Investors will receive $39.20 a share.,Cause_General
"Alternatively, they have the option of rolling their holdings into a cumulative 30 percent stake in the newly private Clear Channel, in what is known as stub equity.",Cause_General
"The portion available to investors is worth about $1.2 billion, but no shareholder may hold more than 9.9 percent of the new company.",Cause_General
"Bain and Thomas H. Lee have also agreed to limit their fees from the deal, as well as to allow for two independent directors for the new company.",Cause_General
"Highfields will choose one, while the other shareholders will elect the other, according to people briefed on the negotiations.",Cause_General
"A spokesman for Calpers, the California public employee pension fund, said it supported the latest offer; Calpers holds 3.3 million shares of Clear Channel.",Distant_Evaluation
"''What we focus on is what will get the highest value for our members,'' the spokesman, Brad Pacheco, said.",Distant_Evaluation
"Shares of Clear Channel closed at $38.23 yesterday, up 1.2 percent.",Cause_General
The deal is substantially the same that Bain and Thomas H. Lee offered earlier this month -- and that Clear Channel initially rejected.,Distant_Evaluation
"But a few days later, several institutional investors, including Highfields, a hedge fund, urged the company to take more time to consider the offer.",Cause_Specific
"After Clear Channel's announcement on May 7 that it would reconsider the revised buyout offer, the company took about a week before agreeing to the new bid.",Cause_Specific
"The six-month-long contest illustrates the increased assertiveness of public investors, as private equity firms have acquired scores of companies.",Distant_Evaluation
"In the bidding for Clear Channel, the power of shareholders was amplified by the law in Texas, where the company is based.",Cause_General
"Under that state's regulations, approval of a buyout requires the support of two-thirds of all shareholders -- not just those voting.",Cause_General
"Shortly after Clear Channel announced its first agreement with the buyout firms, at $37.60 a share in cash, several major shareholders, as well as proxy advisory firms, complained that the company was being sold too cheaply.",Cause_Specific
"The bidders raised their offer to $39, which Clear Channel accepted, but the offer again met resistance from investors.",Cause_Specific
"But after Clear Channel's initial rejection of the third buyout bid, the company received worried phone calls from scores of investors.",Cause_Specific
"Though some technical details remain unresolved, the deal is expected to go through.",Distant_Expectations_Consequences
"Clear Channel said it would postpone a vote on the deal, originally scheduled for a special meeting on May 22.",Distant_Expectations_Consequences
"The company will instead set a new record date and a new vote, which will probably take place within the next three months, pending the filing of amended registration materials with federal regulators.",Distant_Expectations_Consequences
"The occasional activist has stirred up a revolt at an annual general meeting, led a no-confidence vote against management and even taken executives to court.",Distant_Evaluation
Those have been the extreme cases.,Distant_Evaluation
"But in Europe, shareholder activism -- a term that brings to mind Carl C. Icahn or Kirk Kerkorian, unseating directors and forcing spinoffs with elbows-out tactics -- now seems to be moving toward Main Street and into the hands of ordinary investors.",Main
"These no-frills activists are changing the dynamics at the top, their measured but pointed agitation pitting previously passive shareholders, who are used to expressing displeasure by simply selling their shares, against senior management.",Main
"In many cases, the shareholders are gaining the upper hand, nudging up share prices and sometimes forcing out an executive or forcing the sale of the company.",Main
"Most recently, the Children's Investment Fund turned dissatisfaction into deal-making at ABN Amro, leading to rival bids for the bank, the largest in the Netherlands.",Cause_Specific
"Then Peter Paul de Vries, the feisty head of the Dutch shareholder association VEB, successfully took ABN Amro's management to court, accusing it of bypassing shareholders when selling one of the bank's most attractive assets.",Cause_Specific
"''What we have seen so far may only be the beginning,'' said Antonio Borges, chairman of the European Corporate Governance Institute and a vice chairman at Goldman Sachs in London.",Distant_Evaluation
''There are many more opportunities as there are many more underperforming companies.'',Distant_Evaluation
"Prudential, one of Britain's largest insurers, on May 17 faced calls from Hermes, a London-based hedge fund, and other shareholders to break itself up.",Cause_Specific
"Deutsche Börse, the operator of the Frankfurt Stock Exchange, this month removed from the agenda of its annual shareholder meeting a motion that would have made it easier to issue new shares without asking shareholders -- mainly to appease rebellious Atticus Capital, a New York-based hedge fund.",Cause_Specific
"A number of recent cases have shown that shareholder activism can pay: the UK Focus Fund of Hermes, which has taken an activist tack, had annual returns of 4.9 percentage points above the FTSE All-Share Index from 1998 to 2004, according to a 2006 study by the London Business School and the European Corporate Governance Institute.",Cause_Specific
"Yet, activism does not come cheap.",Distant_Evaluation
The Children's Investment Fund hired its own press relations specialist to send out almost daily updates to journalists about its ABN Amro campaign.,Cause_Specific
