الاسم,الإيديولوجيا,الموقف السياسي,المؤسس (المؤسسون)
حزب العمال الكردستاني ,"مشاعية ,ماركسية لينينية ,جيولوجيا (مترجمه),مناهضة الرأسمالية ,Antirevisionism الليبرتارية الاشتراكية Anticapitalism (مترجمه),شيوعية ,قائمة عادية (مترجمه),قومية كردية ,الكونفدرالية الديمقراطية (مترجمه),اشتراكية تحررية ,مناهضة التفسخ (مترجمه)",-,"بيسيه حوزات (مترجمه),جميل بايق ,أسير ,مصطفى كاراسو الأسير (مترجمه),سوزدار أفستا (مترجمه),باهوز اردال (مترجمه),عبد الله أوجلان ,الدرع الدائم (مترجمه),مراد قرايلان "
حزب العمل (توضيح) ,"صهيونية اشتراكية ,حل ذو دولتين (مترجمه),ديمقراطية اجتماعية ",سنترليفت (مترجمه),"ميراف ميخائيلي ,كانوا هيرموني (مترجمه)"
القوات اللبنانية ,"محافظة ليبرالية ,قومية مسيحية ,محافظة وطنية ,قومية لبنانية ",يمينية ,"سمير جعجع ,بشير الجميل "
القوات اللبنانية ,"قومية مسيحية ,سياسة محافظة ",-,
الجبهة اللبنانية ,"قومية لبنانية ,أنتيبان (مترجمه),معاداة الشيوعية ",-,
ليكود ,"صهيونية تصحيحية ,سياسة محافظة ,صهيونية ,محافظة ليبرالية ,ليبرالية وطنية ,الشعبوية اليمينية (مترجمه),ليبرالية اقتصادية ","مركزية (مترجمه),يمينية ",
الإخوان المسلمون ,"سياسة محافظة ,معاداة الشيوعية ,محافظة اجتماعية ,معاداة الصهيونية ,عقيدة الإسلام (مترجمه),السلفية ,إسلاموية ,الصوفية الجديدة (مترجمه)",يمينية ,
كونترا ,معاداة الشيوعية ,-,
منظمة التحرير الفلسطينية ,قومية فلسطينية ,-,
جيش التحرير الفلسطيني ,"معاداة الصهيونية ,قومية فلسطينية ",-,
منظمة التحرير الفلسطينية ,قومية فلسطينية ,-,
جبهة التحرير الفلسطينية ,قومية عربية ,-,
جبهة النضال الشعبي الفلسطيني ,"القومية اليسارية (مترجمه),قومية فلسطينية ,اشتراكية ",-,
حزب الكتائب اللبنانية (مترجمه),"معاداة الشيوعية ,الكتائب (مترجمه),محافظة اجتماعية ,قومية لبنانية ,ديمقراطية مسيحية ,مارونية سياسية ","مركزية (مترجمه),يمينية ,اقصى اليمين (مترجمه)","سامي الجميل ,بيار الجميل "
الجبهة الشعبية لتحرير فلسطين ,"قومية عربية ,ماركسية لينينية ,معاداة الاستعمارية ,معاداة الصهيونية ,علمانية ,حل واحد (مترجمه),قومية فلسطينية ,العروبة (مترجمه),اشتراكية ثورية ",أقصى اليسار (مترجمه),
الجبهة الشعبية لتحرير فلسطين – القيادة العامة ,"قومية عربية ,قومية فلسطينية ",-,أحمد جبريل 
الجبهة الشعبية لتحرير فلسطين – القيادة العامة ,"قومية عربية ,قومية فلسطينية ",-,أحمد جبريل 
لجان المقاومة الشعبية ,"معاداة الصهيونية ,الفلسطينية (مترجمه),قومية فلسطينية ,الأصولية الإسلامية (مترجمه),حرب ",-,
الحزب التقدمي الاشتراكي ,"الاشتراكية الديمقراطية ,قومية عربية ,طرف خارجي ,العروبة (مترجمه),ديمقراطية اجتماعية ","يسارية ,مركز (توضيح) ,الوسط (مترجمه)",
الخلايا الثورية (مترجمه),"ماركسية ,معاداة الاستعمارية ,معاداة الصهيونية ,نسوية ",-,
الحزب السوري القومي الاجتماعي ,"عموم سوريا (مترجمه),معاداة الصهيونية ,هناك حاجة إلى صفحة مناهضة الشيوعية (مترجمه),القومية السورية ,علمانية ,قومية يسارية ,قومية اقتصادية ,أغسطس ,نفى رسميا قائمة قابلة للطي (مترجمه),نفى رسميا (مترجمه),الصفحة المطلوبة (مترجمه),معاداة السامية ,الوحدوية السورية (مترجمه)","توفيق بين الأديان ,قائمة Leftwing قابلة للطي (مترجمه)",فارس السعد (مترجمه)
الحزب السوري القومي الاجتماعي ,"عموم سوريا (مترجمه),معاداة الصهيونية ,هناك حاجة إلى صفحة مناهضة الشيوعية (مترجمه),القومية السورية ,علمانية ,قومية يسارية ,قومية اقتصادية ,أغسطس ,نفى رسميا قائمة قابلة للطي (مترجمه),نفى رسميا (مترجمه),الصفحة المطلوبة (مترجمه),معاداة السامية ,الوحدوية السورية (مترجمه)","توفيق بين الأديان ,قائمة Leftwing قابلة للطي (مترجمه)",فارس السعد (مترجمه)
الحزب السوري القومي الاجتماعي ,"عموم سوريا (مترجمه),معاداة الصهيونية ,هناك حاجة إلى صفحة مناهضة الشيوعية (مترجمه),القومية السورية ,علمانية ,نقابوية ,قومية يسارية ,أغسطس ,نفى رسميا قائمة قابلة للطي (مترجمه),نفى رسميا (مترجمه),الصفحة المطلوبة (مترجمه),الوحدوية السورية (مترجمه)","توفيق بين الأديان ,يسارية ",
