Sentence,Label,Label_general
"An-Nahar, the First Qaimaqam of Tyre and Bint Jbeil, Mr. Ghassan Haidar, announced that a new operation to annihilate the Lebanese lands adjacent to the international borders in the south is the property of Muslims or Christians.",Main,main_contents
"He pointed out that the war in the camps revealed an external conspiracy targeting the two peoples and the Lebanese, and used the available methods and means to set up between them.",Cause_General,context_informing_contents
"It makes us make clear that the truth is going against the pretext, as a month and a half and our camps are besieged, and the siege is accompanied by preventing the entry of medical and food supplies, the arrest of dozens of our people, the expulsion of families, the failure to bring in reconstruction materials and their father, and the constant provocations.",Cause_Specific,context_informing_contents
And it's not the first time. Let's people know the details of what happened in the past. There is now a justification for stockpiling weapons in Sidon camps,Distant_Evaluation,additional_supportive_contents
Wounded as a result of his participation in heroic operations in southern Lebanon in the year,Distant_Historical,additional_supportive_contents
The unity of the Palestine Liberation Organization and its legitimate struggle to restore the usurped rights and lands intensified,Distant_Expectations_Consequences,additional_supportive_contents
The national resistance has proven its usefulness against Israel,Cause_General,context_informing_contents
Liquidating the Palestinian resistance in Lebanon and ensuring the security of Israel. The face of any Palestinian attacks on Lebanon,Distant_Expectations_Consequences,additional_supportive_contents
"The Palestinian national, progressive and resistance parties and forces in the north held their regular meeting yesterday, the office of the dissidents, the leadership of the Fatah movement, the Beddawi camp, and discussed the political, security and social conditions in the north, especially Lebanon.",Main,main_contents
"The patriotic parties and the forces of Arab resistance and steadfastness, led by Syria, have made an effort to bring down the renewed version of Camp David II, pushing it to a stable strategic position, with “unique political solutions and a sure alliance.”",Distant_Evaluation,additional_supportive_contents
"Unfortunately, the resistance held a general cease-fire, the Israeli enemy",Main,main_contents
Which confirms that the attacks will continue to achieve the goals of the conspiracy,Distant_Expectations_Consequences,additional_supportive_contents
"Security Council resolutions call on Israel to withdraw from Lebanese territory, deploy international forces along the border, and continue pressure to achieve through the Lebanese national resistance a legitimate Lebanese action for liberation and the replacement of Palestinian self-security or Arab or international security borrowed with the security of Lebanese legitimacy.",Cause_General,context_informing_contents
"The nature of the distinguished relations, Syria and Lebanon",Cause_General,context_informing_contents
"As for Gemayel and Soslikow, they offered relations and the Turk's visit to Moscow soon. The situation will separate the south from the rest of the Lebanese regions.",Cause_General,context_informing_contents
"Arafat requested a letter to the Secretary-General of the United Nations and the Security Council in which to put an end to the attacks on the camps, stressing the responsibility of the United Nations to maintain the security of the civilian population, the South Refugees",Cause_Specific,context_informing_contents
"A press conference praised the position of the Progressive Socialist Party, Hezbollah, the Movement of the Nasserites, Al-Mourabitoun, for their refusal to fight alongside Amal.",Cause_Specific,context_informing_contents
"We hope everyone will control the difficult circumstances and work to end the situation as soon as possible, and that all efforts will be directed to fighting the Israeli enemy to end the occupation and liberate the Lebanese and Palestinian lands.",Distant_Expectations_Consequences,additional_supportive_contents
"At the end of the party, the Women's Union distributed aid and gifts to the sons of the Palestinian resistance men",Main,main_contents
"And if there are movements around Jordan that will lead to ashes, then I am waiting for the coalition to bring about arbitrariness and about the destruction and burning of the land of Lebanon, despite the strikes of the resistance, because it wants the stew to be cooked.",Distant_Evaluation,additional_supportive_contents
"And if the confrontation ends with Abu Ammar defeating Lebanon, he will be definitively withdrawing Syria’s hand, the Palestinian card, and he will choose, with complete independence, the path of a peaceful settlement.",Distant_Expectations_Consequences,additional_supportive_contents
"Lebanon announced a just solution, and the Muslims financed it and expressed its opposition to the return of the Palestinian resistance to the Lebanese capital",Main,main_contents
The committee will hold a meeting this morning to discuss ways to publish,Main,main_contents
"Therefore, Israel's threats to strike the Palestinian resistance under the pretext that it is violating the cease-fire allows it to violate the south, where the world is, targeting the resistance as much as targeting the south itself in order to achieve its goals, and they are threats that will be implemented at the appropriate time for its own needs",Distant_Evaluation,additional_supportive_contents
"It proceeded with disagreement at times and the exchange of indiscriminate bombing sometimes, but the economy of the missiles due to the high prices and the financial crises of all",Cause_General,context_informing_contents
"The Palestinian National Struggle Front announced that a delegation headed by Abu Khaled al-Shamal and its membership, Mr. Ibrahim al-Saadi Abu Riyad Abu Nidal, met a delegation of the Democratic Front for the Liberation of Palestine, Fahd and Mr. Salih Zaidan, and they consulted the Lebanese and Palestinian situations in light of the continued Israeli raids on the camps of our people in the south and the southern villages.",Main,main_contents
"We are not against any national solution, and we will work to restore unity. We struggle with the factions of the Salvation Front, the Democratic Front and the Communist Party. For the unity of the struggle of the Palestinian resistance movement is a national foundation and a program",Distant_Expectations_Consequences,additional_supportive_contents
"A biography of Wehba's life was distributed. He was born in the Arab Republic of Egypt, Minya Governorate, Mallawi Center, Upper Egypt.",Distant_Historical,additional_supportive_contents
"He stressed the need to understand Israel's strategy for the region, the world, and regional problems, which were made by Israel.",Cause_General,context_informing_contents
"Monday, Fadlallah, the ministerial meetings do not contribute to a Palestinian solution to the resistance, the West Bank, Jordan",Cause_Specific,context_informing_contents
"In addition, the return of the Palestinian resistance to the south would re-link the Lebanese cause with the Palestinian cause.",Distant_Expectations_Consequences,additional_supportive_contents
"Because the destruction of southern Lebanon by the Zionist enemy constitutes a victory for the Lebanese people only, a victory for the Arab nation and its central cause is terrorism, the source of which is the party and Israel in dollars, the rings, the monopoly of medicine, foodstuffs, the livelihood, and liters of gasoline.",Distant_Expectations_Consequences,additional_supportive_contents
It is rumored that the battles of the Palestinian camps will take place. The south enters the door of the Western media campaign to distort the image of the situation and divert attention,Distant_Expectations_Consequences,additional_supportive_contents
"The series of attacks launched by our proud resistant people, the areas surrounding the Palestinian camps, whether Beirut or the southern suburbs, are clear and confirmed by the conversations, statements and statements made by Yasser Arafat and the loyalists, secretly and publicly, through the various media.",Distant_Evaluation,additional_supportive_contents
"It was emphasized that the meeting was necessary to cement the fateful cohesion of the Lebanese and Palestinian national forces, and to escalate the method of armed struggle in the occupied Palestinian territories.",Cause_General,context_informing_contents
"He praised the sons of the south, who offered the most precious way to liberate their land from the clutches of the occupation, the resistance",Cause_General,context_informing_contents
"What is required is to unite the ranks of the Lebanese resistance, the Palestinian resistance, in order to liberate the south and Palestine",Cause_General,context_informing_contents
"He criticized the absence of national responsibility for the Arab consensus projects, which were spectators striking the Palestinian and Lebanese resistance in the south during the occupation days",Cause_General,context_informing_contents
Saudi Arabia and Kuwait are ready to attend the follow-up committee meeting that would be feasible,Distant_Evaluation,additional_supportive_contents
"Because Lebanon is a state of war lasting only eleven years, and this week is the week of remembrance.",Cause_Specific,context_informing_contents
"President Hafez al-Assad exposed the conspiring regimes and clans, the Arab issues running behind the swarms of surrender solutions.",Cause_Specific,context_informing_contents
"Lebanon News Agency asked Mr. Fakih the truth about the arrival of weapons to the Palestinian camps and the possibility of a battle in them. He always answered, and at times the situation turns to a national solution and the parties work together to find the homeland, a cycle of fighting, separation and work",Distant_Expectations_Consequences,additional_supportive_contents
"He said when the Palestinian resistance began with active practices and abuses, we stood up for the oppressed, and now we reject such abuses and reject the return of the Palestinian resistance, which it was before the Israeli invasion of Lebanon",Cause_General,context_informing_contents
"Just as supporting the resistance requires more unity, the Lebanese national forces, the Palestinian national forces, and Syria",Distant_Evaluation,additional_supportive_contents
"And the way to the south is resistance to the south, that is, bypassing the transfer of a crime committed against Lebanon",Distant_Evaluation,additional_supportive_contents
"Fourthly, considering the Arabness of Lebanon as an identity and an approach to measure the sectarian dimension of Lebanon, and the establishment of distinguished relations with Syria determines the restoration of cohesion between the Lebanese and Palestinian peoples.",Cause_Specific,context_informing_contents
"The National Salvation Front, Wednesday, the attacks of Nabatiyeh and the eastern Bekaa, the resistance in the south, today",Main,main_contents
"Speaking about the special situation in the south, Tuenyan stressed the Lebanese against the existence of the Palestinian resistance, and we are in solidarity with them. Rather, the Lebanese land is sacred to us completely. Their land is sacred to them, and we are not ready to waste any inch of land.",Cause_General,context_informing_contents
This stage requires awareness and awareness to confront the conspiracy that seeks to stir up strife and widen the rift,Distant_Expectations_Consequences,additional_supportive_contents
"The south is the base of everyone’s commitment to the southern Lebanese Sidonian national decision, and everyone’s affiliation under the banner of the Lebanese national resistance, and everyone’s realization that the Lebanese-Syrian-Palestinian National Alliance is the long-standing pillar of the Israeli occupation of the Lebanese arena",Distant_Evaluation,additional_supportive_contents
In addition to rejecting attempts to adhere to the Cairo Agreement and considering the Palestinian withdrawal east of Sidon as a necessary prelude to restoring the desired cohesion.,Cause_Specific,context_informing_contents
And that the security of the camps should be the protection of the Lebanese authority when its sovereignty extends over the land,Cause_General,context_informing_contents
Lebanon demanded that it accept the security arrangements it wants and accept that the forces will remain until guarantees are obtained for the return of the Palestinian resistance to the south and the cessation of the activity of the Lebanese national resistance,Cause_Specific,context_informing_contents
"The parties and the resistance issued a statement, beginning, expressing their growing concern over the fighting around the camps, Beirut, the ranks and the strengthening of the Lebanese-Palestinian-Syrian alliance.",Main,main_contents
"The American-Zionist conspiracy and its systems, so here is the historical leader Hafez Al-Assad. Greetings and appreciation",Cause_General,context_informing_contents
Especially since the next stage will be the stage of a collective international approach that is necessary and required that will keep the Palestinians weak,Cause_Specific,context_informing_contents
"The reality of the West Bank and in southern Lebanon, the reality expresses the spirit of the nation and its aspirations and liberation is matched by another reality today, and the tragedy of the war is that the Palestinian leaderships get involved",Distant_Expectations_Consequences,additional_supportive_contents
Defeating the Marines and escaping were conditions for the arrogant Zionist enemy who entered Lebanon to impose American projects,Distant_Evaluation,additional_supportive_contents
"It proves that Arafat's current role is to liquidate the mujahideen resistance in the south, liquidate the Palestinian resistance and turn it into Arafat's bodyguard.",Distant_Evaluation,additional_supportive_contents
"They praised the Syrian role in Lebanon and demanded the support of the national resistance in the south and the generalization of the Zahle and Tripoli model. They took the approach of Mr. Yasser Arafat, the head of the Palestine Liberation Committee, and accused him of being behind the Tripoli events.",Cause_General,context_informing_contents
"The speech of the leader al-Assad makes us certain that the Palestinian cause must win, despite Yasser Arafat's nose",Distant_Expectations_Consequences,additional_supportive_contents
He considered the escalation of the Israeli raids on the Palestinian camps and the attacks on the villages as an open attempt to achieve revenge.,Distant_Evaluation,additional_supportive_contents
"Lebanon, the socialists are hope, and Syria is against the return, for it armed and armed the Palestinian camps, and it covered the operations of the national resistance in the south, and it brought Hezbollah into Lebanon.",Distant_Evaluation,additional_supportive_contents
It was emphasized that the method of struggle against the Zionist enemy is the only way to expel the enemy and liberate the usurped land through national resistance and escalating the national role of the two parties.,Distant_Evaluation,additional_supportive_contents
"Land and people, achieving Lebanese-Palestinian solidarity, ensuring the protection of the Palestinian revolution and strengthening its struggle role against the Sahboni enemy.",Distant_Expectations_Consequences,additional_supportive_contents
"The second episode of the regional storm, its clouds overflowing in the south, the point of convergence of all the eastern hurricanes, the Israeli crisis, the Palestinian tragedy, the Iranian revolution, the Lebanese resistance, and the Syrian concerns",Distant_Evaluation,additional_supportive_contents
"President al-Assad affirmed Syria's unlimited support for the valiant national resistance, as the enemy incurred the heaviest losses in the south",Cause_Specific,context_informing_contents
"The Lebanese army expressed its opinion and those who support its positions learn that the army is based on a correct theory and a valid doctrine to change their organization and since it exists, so we rely on the black army in the southern suburbs and the mountain.",Distant_Expectations_Consequences,additional_supportive_contents
"Yesterday, the official Yugoslav news agency reported the Chairman of the Executive Committee of the Palestine Liberation Organization, Mr. Yasser Argat, that Israel",Main,main_contents
"The cars of Suleiman Theeb, Daoud Datson, Jean Kfoury, Volkswagen, and Gerges Kfoury Beck, were damaged in the third place, exactly the same place for the reality and that of the General Union, Hassan Fadlallah is related to the bullets of indiscriminate activity to the south",Main_Consequence,main_contents
He stated that the revolution fought the mountain and contributed to its liberation and the liberation of the southern suburbs and national Beirut,Distant_Historical,additional_supportive_contents
"She put an end, according to her belief, to the Palestinian resistance launched in the south when it carried out its military operation under the name Salama Al-Jalil",Distant_Evaluation,additional_supportive_contents
"The forces of change and revolution, the Palestinian resistance, represented by the National Salvation Front, and all the nationalist and nationalist forces struggled, and still are, to put an end to the American Zionist conspiracy.",Distant_Evaluation,additional_supportive_contents
"The basis remains to drop the Israeli project today, represented by the alliance of forces and battalions",Distant_Evaluation,additional_supportive_contents
"So what do you think? Sorayan replied, in place of the Palestinian, Islamic and Lebanese resistance, the land of the south and inside Palestine",Cause_Specific,context_informing_contents
"If the war can be half of the Israeli south, Beirut, in a year, will resist it, and what is the war with?",Distant_Evaluation,additional_supportive_contents
"The representative of Karami spoke first, the representative of the head of government, the lawyer Bassam Al-Dayeh, the celebration because they allowed the space",Main,main_contents
"Saad delivered a speech in which he said, ""We are pleased to open the exhibition. Memories of the launch of the democratic front, especially at a time when the Lebanese and Palestinian national issues are going through difficult circumstances.""",Main,main_contents
"He said Syria and Lebanon are one people, and our decision is to stand by Lebanon and provide its assistance",Main,main_contents
"Indicators warn that it will launch a new, massive aggression against brotherly Lebanon to strike and liquidate the escalating national resistance. The context of the hateful attack launched by the American-Israeli coalition and some reactionary governments against the Palestine Liberation Organization in order to strike its unity and the great success achieved by the Palestinian National Council",Cause_Specific,context_informing_contents
"And this was clear from Yasser Arafat’s movements and his statements clearly revealing his involvement in the scheme to strike the unity of the Islamic ranks, forgetting the Palestinian issue in whole and in detail, and pledging to do what Israel can do, whether for the pretext of helping it continue to obstruct the implementation of international resolutions related to the south or an argument of stabbing the Lebanese national resistance by trying to strike the supportive national and Islamic ranks",Distant_Evaluation,additional_supportive_contents
Southern Nabatiyeh District and Tyre. Sweeping bullets inflicted casualties. The resistance men launched an attack on the Israeli and Lebanese army positions.,Main,main_contents
"Not withdrawing from the south except to ensure the arrival of a President of the Republic in Lebanon ready to enter, such as negotiations and acceptance of the settlement of the Palestinians, Lebanon controlling their armed presence, and this can be achieved through the establishment of a strong and capable state and an effective central authority",Distant_Expectations_Consequences,additional_supportive_contents
"In parallel to the movement in Lebanon and in the direction of Saudi Arabia, the results will inevitably be reaped by the operations of the southern resistance, which target the security belt, especially the suicide bombers.",Distant_Expectations_Consequences,additional_supportive_contents
The meeting urgently appeals to the sons of Sidon to be aware of the tricks of the Zionist enemy and to ensure that their unity and full awareness of security and Arab bifurcation remain.,Cause_General,context_informing_contents
It is difficult and unacceptable to implement the powers of the oversight body to ban resistance weapons,Distant_Evaluation,additional_supportive_contents
The decision comes at a time when Israel continues to launch its brutal attacks on the Lebanese villages and the Palestinian camps in the south,Cause_Specific,context_informing_contents
Sidon The Islamic Group issued a statement reminding the Arab rulers that the intensification of the operations of the Islamic resistance in our Lebanese south and in the depths of the occupied Palestinian territories would confuse our Israeli enemy and hasten his departure.,Cause_Specific,context_informing_contents
"The June Damascus Agreement, the framework regulating Lebanese-Palestinian relations, is an alternative to the Cairo Agreement",Cause_Specific,context_informing_contents
"In Baalbek, a member of the organization’s leadership, Mr. Salim al-Haq, spoke at a political symposium that was held at the headquarters of the Baalbek Division, the memory and goals, and in the Palestinian camp of Galilee",Main,main_contents
"Member of the Palestinian National Council, the session that the cowardly hand extended to assassinate him, but it was aimed at assassinating his national positions over many years spent in giving, glory and effort for the cause and the homeland in particular",Cause_Specific,context_informing_contents
"We have proven, and we will continue to prove, Fethiye south Lebanon and the Lebanese national resistance, and we are with you on the way. Greetings, brothers, the occupied Palestinian land.",Distant_Evaluation,additional_supportive_contents
"The Palestinian Qatari leadership held the Italian Confederation Festival for Workers, and promised to support projects",Main,main_contents
"Yesterday, the delegation of the General Cotefederation of the Italian Trade Union Confederation ended its visit to Lebanon, during two days of meetings, which included the Prime Minister, Mr. Shaid Karami, the Minister of Labor, President Salim El-Hoss, and political and social actors in the Bekaa, the South and Beirut",Main,main_contents
"The challenge now is directed to everyone who supports the Lebanese legitimacy in the south, is committed to the unity of the organization, and affirms relations with Syria",Cause_General,context_informing_contents
"The past was, and before the war broke out in Lebanon in a year, the Palestinian resistance used to launch attacks on Israeli villages and launch shells on their residents from the south, and the southerners endured displacement, displacement, killing and destruction.",Distant_Evaluation,additional_supportive_contents
"The resistance is its sacred cause, the afflicted Lebanese extermination",Distant_Evaluation,additional_supportive_contents
"In order for Israel not to invoke the return of the Palestinian resistance to the south, its withdrawal means the return of the situation to the way it was before the invasion. Lebanon requested the Palestinian leaders from the Arab countries to influence the leaders to stop the military activity of Lebanon and across its borders, because Israel would thus be given a pretext to justify the continuation of its occupation of parts of the south under the pretext of protecting the security of its northern borders",Distant_Evaluation,additional_supportive_contents
"The leadership of the Palestinian resistance factions in the south issued a statement that focused on the following: the leadership was surprised by the escalation of the Amal movement for weeks, its attacks, raids, arrests, torture, liquidation and deportation of our Palestinian masses, Tire camps",Main,main_contents
"The Fatah Movement region in Lebanon announced its commitment to a security plan aimed at ensuring stability and security for all, and affirmed the strengthening of the Palestinian liberation unit",Cause_General,context_informing_contents
"And after she considered that the southern situation was very, very dangerous, she said that the Palestinian National Salvation Front, time salutes the sincere efforts made by Syria, the steadfastness and the Lebanese national forces to stop the bleeding.",Distant_Evaluation,additional_supportive_contents
"In addition to the position of the Soviet Union, despite its support for the sovereignty of Lebanon and its affirmation of respect for sovereignty and the refusal of chaos and Palestinian transgressions, the survival of weapons in the camps should regulate their use against Israel during the Lebanese-Palestinian resistance",Cause_Specific,context_informing_contents
"Lebanon is still suffering, reassured by the complete withdrawal of its territory, despite the clear and explicit Security Council resolutions",Distant_Evaluation,additional_supportive_contents
"Finally, the meeting declares that the Palestinian cause is the cause of all Arabs, and the responsibility of Muslims and Christians is that whether its sanctity can be lost if its sanctity affects any transient disturbing events.",Main,main_contents
And that the struggle of the Lebanese resistance is limited to the liberation of the south only,Cause_Specific,context_informing_contents
"The reasons make Peres, the moderate looking to America, the successful Israeli and American calculations, the loser, as usual, because the successes of the Middle East can be one-sided.",Distant_Evaluation,additional_supportive_contents
Reconnecting the issue of Lebanon to the issue of the region,Cause_General,context_informing_contents
The basis for dedicating Lebanon's unity and Arabism to establish a true democratic system based on the principle of justice and equality Political rights Discrimination,Cause_Specific,context_informing_contents
"With the continuation of popular steadfastness and its strengthening in the occupied areas, the internal political situation remains a weakening factor for the cause of the south, instead of being a pushing factor",Distant_Evaluation,additional_supportive_contents
"Al-Wahda newspaper published a statement by Mr. Salah Khalfabo Iyad, a member of the Central Committee of the Fatah movement, announcing that the camps were set up by the Liberation Organization, its forces in Beirut were closed, and that the forces in Tunisia were transferred to southern Lebanon and Iraq",Main,main_contents
"The force of the chapter will be led by Captain Walid Sukkarieh, who is expected to start its movement at noon",Main,main_contents
"The May agreement dropped the basis of participation, the project of the Lebanese national forces and the project of developing the Lebanese national resistance in the south",Main,main_contents
We can describe an operation when Israeli commandos sweep the streets of the capital and assassinate the leaders of the Palestinian resistance,Distant_Historical,additional_supportive_contents
"Sources close to the presidential palace say that President Gemayel expects Israel to withdraw completely from the south, and that his previous date may be delayed, perhaps for bargaining and blackmail.",Distant_Anecdotal,additional_supportive_contents
Response The event of the last period was unfortunate events around the Palestinian camps in the south,Cause_General,context_informing_contents
"The Ba'ath Party organization and the leadership of the Thunderbolt in the south issued a statement that came around 2 o'clock this afternoon, on the eve of the hand of treachery and labor, to assassinate one of the symbols of the Palestinian national resistance, Hatem Kaush, a member of the National Congress of the Arab Socialist Ba'ath Party.",Main,main_contents
"And it will make the Lebanese Muslims a focus of conflict, and their homes will be around them",Distant_Expectations_Consequences,additional_supportive_contents
And that the state is responsible for the security of the Lebanese and Palestinian citizens,Cause_General,context_informing_contents
"The abhorrent Israeli occupation is based on the first degree, the existing alliance, the Lebanese, Palestinian and Syrian national forces, steadfast and militant",Distant_Evaluation,additional_supportive_contents
The Amal movement wants to close the southern areas to the armed Palestinian struggle to avoid Israeli reactions,Distant_Evaluation,additional_supportive_contents
"They want to eliminate the Palestinian cause and the heroic resistance in southern Lebanon, and they shed crocodile tears for you",Distant_Evaluation,additional_supportive_contents
"The experience of Lebanon, the Palestinian resistance movement, before, especially the south and Beirut, was a harsh experience. The people lived in chaos, more on the level of political, security and partisan chaos.",Distant_Evaluation,additional_supportive_contents
"Political declarations, legislated stances, and specific goals can change or alter the reality of reality, and therefore they are unable to transform the national and its sound argument.",Distant_Evaluation,additional_supportive_contents
The Struggle Front said that the meeting agreed to study ways to strengthen the resistance to confront the Israeli attacks and ways to strengthen the confrontation with the Israeli occupation and its isolationist projects in Lebanon.,Main,main_contents
"And the implementation of the desire will be through highlighting the terrorist face of Lebanon and depicting it as a preparation ground for terrorists and their outlet to the world, by convincing the world to give Israel a green light to strike terrorism in order to rid itself of torment, pain and danger.",Distant_Evaluation,additional_supportive_contents
"The southern front is fought by the Lebanese Mujahideen, and the Palestinians are fighting it on their side if they want. The fronts, regardless of the difficult circumstances",Cause_Specific,context_informing_contents
Fighting alongside the Palestinian revolution and the Lebanese national forces in southern Lebanon,Distant_Historical,additional_supportive_contents
He added that the position of legitimacy is clear regarding the return of the Palestinian resistance to the south,Cause_General,context_informing_contents
"They brought the armed Palestinians back to Lebanon, but they returned the way to Syria through the Palestinian National Rescue Tent. Arafatism became its access to the camps and through Syria's allies.",Distant_Evaluation,additional_supportive_contents
"The result was that the south had for years endured the Palestinian resistance and Israel's reactions, and endured an Israeli invasion of the southern section, which ended with the entry of international forces to secure the withdrawal of the occupied section, a wider invasion that included the south, Beirut and other parts of Lebanon.",Main_Consequence,main_contents
"Our Lady of Mantara building, Maghdousheh, five officers, a sergeant, and a soldier, who were handed over last Monday evening to the Southern Military District Command",Main,main_contents
I warned the second side of the scheme and the judge to stir up sedition in the suburbs of Sidon by agents and some Lebanese-Palestinian forces.,Distant_Evaluation,additional_supportive_contents
They know that you mentioned France can play the role of mediator because this issue is meaningful and that the solution can be a mediator,Distant_Evaluation,additional_supportive_contents
"The head of the Defense Committee for Democratic Liberties, Lawyer Sinan Bragg, considered that the methods of kidnapping, intimidating and killing foreigners, hostility to imperialism and Zionism, is a matter of terrorism for terrorism.",Distant_Evaluation,additional_supportive_contents
"We appreciate the sacrifices made by sister Syria to support the national and progressive forces in Lebanon, especially its support for the Lebanese national resistance from the Israeli enemy in southern Lebanon, as well as its political support for the Lebanese necessity.",Cause_Specific,context_informing_contents
"Otherwise, how can the author of the permit agree to the PLO’s public apology to Israel in a statement it issued, occupying the southern villages, attacking the people of Lebanon, Beirut, the suburbs, and the south, killing our innocent people, destroying buildings and housing, and trying to confiscate them from the national decision?",Distant_Evaluation,additional_supportive_contents
"The case is with the fulfillment of the people’s aspirations and there is no aggression, but we also accept that the Palestinian attacks the Lebanese citizen and that Lebanon creates a situation that contributes to striking the Lebanese national resistance and isolating the southern region and the rest of the Lebanese regions",Distant_Expectations_Consequences,additional_supportive_contents
"Here it is necessary to focus on facts that occurred before the invasion, including that Israel prevented the spread of the Lebanese army in the south and contributed to facilitating the south's surrender to the Palestinian resistance",Cause_General,context_informing_contents
"Asking to stop, we say that the Palestinian resistance is participating in the Lebanese national resistance in carrying out operations against the Israeli forces in the south",Cause_General,context_informing_contents
"Sixth: Not to return to a year ago and support the Lebanese national resistance and consider support as a duty and a right for all Lebanese as an exception, considering the liberation of the land in the south, in the western Bekaa and in any other occupied area, a Lebanese duty to distinguish or separate the basis of the region, sect, sect, party, as an inch of Lebanon’s land is precious to all Lebanese.",Main,main_contents
Arafat accused the Amal movement of having made a secret agreement with Israel to impede the activity of the Palestinian and Lebanese resistance in the south.,Main,main_contents
"He asked the work of the national resistance in the south, and the Palestinian woman replied: We are proud of our sister, the Lebanese national resistance inflicted the greatest losses on the Zionist enemy and forced it to withdraw most of the areas occupied in June",Cause_Specific,context_informing_contents
"The Amal movement demanded that the weapons used in the clashes be handed over to the Salvation Front factions, and it did not request it for itself. The reason is that the weapons are used against Israel or its agents, but were used against the resistance and its heroes.",Cause_Specific,context_informing_contents
And return the Palestine Liberation Organization to its national line rejecting all treacherous and humiliating settlements for our people,Cause_General,context_informing_contents
"He announced Syria's continued support for the valiant Lebanese resistance, the withdrawal of the Israeli forces from southern Lebanon, and the liberation of the last inch of Lebanese territory.",Main,main_contents
The detained soldiers were received by the Deputy Secretary-General of the organization,Main,main_contents
"The Democratic Youth Organization, the Communist Youth Union, the Youth Organization, the Vanguard Organization and the Palestinian Youth, issued a joint statement in the North, considering that the general Zionist aggression aimed at striking the public presence of the resistance, disrupting the balance of power for the benefit of the hostile forces, and sowing despair and despondency in the hearts of the masses of our people to pass the liquidation plots.",Main,main_contents
A large part of the effectiveness of the Palestinian cause and any hope of reform will be spent on political correctness of the Lebanese Muslims,Distant_Expectations_Consequences,additional_supportive_contents
"The coalition brought down the Israeli project, the general invasion",Cause_Specific,context_informing_contents
"Support for the Palestinian cause, support for the National Resistance Front in southern Lebanon, and continued support in order to stop the Gulf War and resolve liberation issues. The world will remain the framework of support, support and support.",Distant_Expectations_Consequences,additional_supportive_contents
He described the event of South Yemen as a major disaster,Distant_Evaluation,additional_supportive_contents
"The fifth anniversary of the launch of the Lebanese National Resistance Front overlooks us today. The Israeli occupation continues over a large area in the south, especially the Zionist enemy implementing its renewed destructive plan against the Lebanese and Palestinian peoples, and waving more escalation to strike the national site embodied in the city of Sidon and uprooting Ahmad Muntash the Palestinian camps adjacent to it",Main,main_contents
