الاسم,الإيديولوجيا,الموقف السياسي,المؤسس (المؤسسون)
حزب العمال الكردستاني ,"مناهضة الرأسمالية ,جيولوجيا (مترجمه),قومية كردية ,الكونفدرالية الديمقراطية (مترجمه),قائمة عادية (مترجمه),مشاعية ,شيوعية ,مناهضة التفسخ (مترجمه),ماركسية لينينية ,اشتراكية تحررية ,Antirevisionism الليبرتارية الاشتراكية Anticapitalism (مترجمه)",-,"باهوز اردال (مترجمه),الدرع الدائم (مترجمه),بيسيه حوزات (مترجمه),جميل بايق ,عبد الله أوجلان ,مراد قرايلان ,سوزدار أفستا (مترجمه),مصطفى كاراسو الأسير (مترجمه),أسير "
الحزب الشيوعي اللبناني ,"ماركسية لينينية ,شيوعية ",أقصى اليسار (مترجمه),
القوات اللبنانية ,"محافظة ليبرالية ,محافظة وطنية ,قومية لبنانية ,قومية مسيحية ",يمينية ,"سمير جعجع ,بشير الجميل "
القوات اللبنانية ,"سياسة محافظة ,قومية مسيحية ",-,
الجبهة اللبنانية ,"قومية لبنانية ,معاداة الشيوعية ,أنتيبان (مترجمه)",-,
الإخوان المسلمون ,"معاداة الشيوعية ,إسلاموية ,محافظة اجتماعية ,معاداة الصهيونية ,الصوفية الجديدة (مترجمه),عقيدة الإسلام (مترجمه),السلفية ,سياسة محافظة ",يمينية ,
منظمة التحرير الفلسطينية ,قومية فلسطينية ,-,
جبهة التحرير الفلسطينية ,قومية عربية ,-,
منظمة التحرير الفلسطينية ,قومية فلسطينية ,-,
جبهة النضال الشعبي الفلسطيني ,"اشتراكية ,قومية فلسطينية ,القومية اليسارية (مترجمه)",-,
حزب الكتائب اللبنانية (مترجمه),"قومية لبنانية ,معاداة الشيوعية ,الكتائب (مترجمه),محافظة اجتماعية ,ديمقراطية مسيحية ,مارونية سياسية ","يمينية ,اقصى اليمين (مترجمه),مركزية (مترجمه)","سامي الجميل ,بيار الجميل "
الجبهة الشعبية لتحرير فلسطين ,"العروبة (مترجمه),معاداة الاستعمارية ,اشتراكية ثورية ,قومية عربية ,حل واحد (مترجمه),علمانية ,ماركسية لينينية ,معاداة الصهيونية ,قومية فلسطينية ",أقصى اليسار (مترجمه),
الجبهة الشعبية لتحرير فلسطين – القيادة العامة ,"قومية عربية ,قومية فلسطينية ",-,أحمد جبريل 
لجان المقاومة الشعبية ,"الفلسطينية (مترجمه),معاداة الصهيونية ,حرب ,قومية فلسطينية ,الأصولية الإسلامية (مترجمه)",-,
الخلايا الثورية (مترجمه),"معاداة الصهيونية ,نسوية ,معاداة الاستعمارية ,ماركسية ",-,
,"معاداة الصهيونية ,الشيعة ",-,
الحزب السوري القومي الاجتماعي ,"قومية يسارية ,نفى رسميا قائمة قابلة للطي (مترجمه),الصفحة المطلوبة (مترجمه),القومية السورية ,الوحدوية السورية (مترجمه),معاداة السامية ,علمانية ,معاداة الصهيونية ,نفى رسميا (مترجمه),قومية اقتصادية ,عموم سوريا (مترجمه),هناك حاجة إلى صفحة مناهضة الشيوعية (مترجمه),أغسطس ","قائمة Leftwing قابلة للطي (مترجمه),توفيق بين الأديان ",فارس السعد (مترجمه)
الحزب السوري القومي الاجتماعي ,"قومية يسارية ,نفى رسميا قائمة قابلة للطي (مترجمه),الصفحة المطلوبة (مترجمه),القومية السورية ,الوحدوية السورية (مترجمه),معاداة السامية ,علمانية ,معاداة الصهيونية ,نفى رسميا (مترجمه),قومية اقتصادية ,عموم سوريا (مترجمه),هناك حاجة إلى صفحة مناهضة الشيوعية (مترجمه),أغسطس ","قائمة Leftwing قابلة للطي (مترجمه),توفيق بين الأديان ",فارس السعد (مترجمه)
